,ygcW
Cr_1,-0.0007076911275599188
Cr_2,-0.002349408855682853
Cr_3,-0.006389951997167472
Cr_4,-0.009571736735052152
Cr_5,-0.01193063364681565
Cr_6,-0.01613778049749185
Fe_1,-0.009621556237008845
Fe_2,-0.023525352763199805
Fe_3,-0.03891508612108365
Fe_4,-0.057328765325242885
Fe_5,-0.06979347766986847
Fe_6,-0.07122260642024017
Cd_1,-0.001243322806281829
Cd_2,0.0006135903957501023
Cd_3,-0.0011164881380801893
Cd_4,-0.001586470069356109
Cd_5,-0.007232225829419867
Cd_6,-0.0053029880812304865
Zn_1,-0.010865774303499528
Zn_2,-0.009984588279487864
Zn_3,0.0036866532290590437
Zn_4,0.02345884564040859
Zn_5,0.036005146585135414
Zn_6,0.05118373386795808
Cu_1,0.006232225303807772
Cu_2,0.011106806951561072
Cu_3,0.01518208503109655
Cu_4,0.020713304320402536
Cu_5,0.022913659235006382
Cu_6,0.025881331437206525
Pb_1,0.001373601586475536
Pb_2,0.004008076045344536
Pb_3,0.004558053255074391
Pb_4,0.0017258776873908433
Pb_5,0.003957089154481284
Pb_6,0.007886175068155732
