,slyB
Cr_1,0.0016541040338205893
Cr_2,0.006152057566055508
Cr_3,0.01484005694805537
Cr_4,0.02397615268751726
Cr_5,0.0269882585589352
Cr_6,0.0235001707994834
Fe_1,0.008041412682296488
Fe_2,-0.052957850495112216
Fe_3,-0.08224758242497478
Fe_4,-0.0875085559313122
Fe_5,-0.07378836926587018
Fe_6,-0.03971567173075557
Cd_1,0.00886114798321827
Cd_2,0.018491979477171117
Cd_3,0.030053543120299037
Cd_4,0.04240111014660401
Cd_5,0.04603148014902413
Cd_6,0.050086412948121814
Zn_1,0.0048270963608718215
Zn_2,-0.01705917358000036
Zn_3,-0.0228132975221388
Zn_4,-0.028847989694142977
Zn_5,-0.03374243372366431
Zn_6,-0.06652249866840439
Cu_1,0.001253510504310349
Cu_2,-0.0003325054081381768
Cu_3,0.003286540973340108
Cu_4,0.006182480703296188
Cu_5,0.009115817139066772
Cu_6,0.014888576746867471
Pb_1,-0.005464423089964225
Pb_2,-0.006100726360722591
Pb_3,-0.008195863465690399
Pb_4,-0.007612975244101799
Pb_5,-0.0055037403804333645
Pb_6,-0.004433042236577296
