,condition,X_avg,X_std,n,rep1_idx,rep1_X,rep2_idx,rep2_X,rep3_idx,rep3_X,rep4_idx,rep4_X,rep5_idx,rep5_X,rep6_idx,rep6_X
0,Control__wt_glc,1.3056729098000002,0.013017771212084556,2.0,0.0,1.2964679555,1.0,1.3148778641,,,,,,,,
1,Fur__wt_dpd,1.9455216615,0.3497449687655531,2.0,2.0,1.6982146224,3.0,2.1928287006,,,,,,,,
2,Fur__wt_fe,1.0059142561,0.0798651908064523,2.0,4.0,0.9494410381,5.0,1.0623874741,,,,,,,,
3,Fur__delfur_dpd,2.0286544167500002,0.03517241329275077,2.0,6.0,2.0535250687,7.0,2.0037837648,,,,,,,,
4,Fur__delfur_fe2,1.14931949055,0.023280832242021817,2.0,8.0,1.1328574562,9.0,1.1657815249,,,,,,,,
5,Acid__wt_ph5,1.80872742175,0.468883194548987,2.0,10.0,2.1402779082,11.0,1.4771769353,,,,,,,,
6,Acid__delgadx_ph5,1.581293155,0.35486264094220477,2.0,12.0,1.8322189348,13.0,1.3303673752,,,,,,,,
7,Acid__delgadw_ph5,1.6217178896500002,0.26506594256596805,2.0,14.0,1.8091478151,15.0,1.4342879642000002,,,,,,,,
8,Acid__delgade_ph5,1.8727224836,0.24749964242505199,2.0,16.0,1.6977138081,17.0,2.0477311591,,,,,,,,
9,Oxidative__wt_pq,1.56965914915,0.2227073319615848,2.0,18.0,1.4121812845,19.0,1.7271370138000002,,,,,,,,
10,Oxidative__deloxyr_pq,1.5764944838000001,0.1636995995226671,2.0,20.0,1.6922475807000001,21.0,1.4607413869,,,,,,,,
11,Oxidative__delsoxr_pq,1.7192492892,0.022813533018210576,2.0,22.0,1.7031176853,23.0,1.7353808930999999,,,,,,,,
12,Oxidative__delsoxs_pq,1.39084372345,0.06257905400899559,2.0,24.0,1.34659365,25.0,1.4350937969,,,,,,,,
13,Nac/NtrC__wt_csn,1.80137354985,0.03347832163379409,2.0,26.0,1.8250462981000002,27.0,1.7777008016,,,,,,,,
14,Nac/NtrC__wt_cytd,1.20744888265,0.41657388726454486,2.0,28.0,0.9128866621,29.0,1.5020111032,,,,,,,,
15,Nac/NtrC__wt_gln,1.0713359630500001,0.5089899595448076,2.0,30.0,0.7114257111000001,31.0,1.431246215,,,,,,,,
