,A,Cra
R2,,0.10462569765946839
xmin,,-7.274693064499999
xmid,,
xmax,,2.0021776035000016
ystart,,14.428992178271153
yend,,-0.5037555640515246
control__wt_glc__1,0.0240431182184686,0.030889191500000912
control__wt_glc__2,-0.0240431182185096,-0.030889191500000024
fur__wt_dpd__1,0.6979124497297662,-1.1877552404999996
fur__wt_dpd__2,0.7998598459003068,-1.1737682104999996
fur__wt_fe__1,0.8425500269141263,-0.3327269624999989
fur__wt_fe__2,0.6971883330635307,-0.2594009254999996
fur__delfur_dpd__1,0.7829040020410851,-1.0912162294999996
fur__delfur_dpd__2,0.7501745194604963,-1.0673563794999996
fur__delfur_fe2__1,-0.2137354743684253,-0.5522316354999992
fur__delfur_fe2__2,-0.1209395001743237,-0.5848465774999987
acid__wt_ph5__1,0.6495132875326884,-0.23737093049999916
acid__wt_ph5__2,0.8503213834497594,-0.24076136349999902
acid__delgadx_ph5__2,0.6064305777492005,-0.20693287449999875
acid__delgadw_ph5__1,0.7899234171151889,-0.28221490649999925
acid__delgadw_ph5__2,0.1228386095888756,-0.2312081874999992
acid__delgade_ph5__1,0.8066031955146552,-0.1426848044999991
acid__delgade_ph5__2,0.6259124820248098,-0.21070986049999885
oxidative__wt_pq__1,1.284049874302711,-0.994895829499999
oxidative__wt_pq__2,0.4584885874129481,-1.0895483044999992
oxidative__deloxyr_pq__1,-1.1511385899098885,-0.22714133449999885
oxidative__deloxyr_pq__2,-1.436822962817813,-0.10890247049999946
oxidative__delsoxr_pq__1,1.1322389366588017,-0.817951483499999
oxidative__delsoxr_pq__2,0.9312821635527264,-0.8006893434999993
oxidative__delsoxs_pq__1,1.8222624011819932,-1.1173508365
oxidative__delsoxs_pq__2,1.8114384650352184,-0.9308994234999988
nac_ntrc__wt_csn__1,0.5691595184272839,-0.20684081349999767
nac_ntrc__wt_csn__2,0.2252812079198393,-0.2683508554999996
nac_ntrc__wt_cytd__1,0.0951257033316849,-0.08241336249999875
nac_ntrc__wt_cytd__2,0.0086682780856811,-0.1677115364999988
nac_ntrc__wt_gln__1,-0.0591613524259379,0.08012673550000038
nac_ntrc__wt_gln__2,0.7820036651202171,0.004370234500000514
nac_ntrc__bw_delnac_csn__1,2.3721951018422787,-0.3579043764999996
nac_ntrc__bw_delnac_csn__2,1.9107212744828053,-0.12338609149999955
nac_ntrc__bw_delnac_cytd__1,1.3491804354458736,-0.1845779244999992
nac_ntrc__bw_delnac_cytd__2,1.5988782217378583,-0.21771202549999916
nac_ntrc__bw_delnac_gln__1,1.0869256383438803,-0.0584145584999991
nac_ntrc__bw_delnac_gln__2,0.3689300275162012,0.02762072050000075
nac_ntrc__bw_delnac_nh4__1,0.7319900072584835,-0.18436413649999928
nac_ntrc__bw_delnac_nh4__2,0.5826343488671806,-0.2454034005000008
misc__wt_no_te__1,1.3381076315781382,-0.4672174874999984
misc__wt_no_te__2,0.9575252897903628,-0.2667226934999993
misc__bw_delcbl__1,1.5751593169444993,-0.2915494965000001
misc__bw_delcbl__2,1.2101725786335036,-0.28677707749999914
misc__bw_delfabr__1,0.937019614108198,-0.22013901449999904
misc__bw_delfabr__2,1.166961114389121,-0.3216772765
misc__bw_delfadr__1,0.0902386289457753,-0.20754403349999875
misc__bw_delfadr__2,0.537463949850541,-0.1982028294999996
misc__nitr_031__1,1.1615865034271602,-0.25270091049999976
omics__wt_glu__1,-1.2465009639312268,0.2896546634999995
omics__wt_glu__2,-0.6597470465070416,0.17850364850000044
omics__wt_gly__1,-0.5563587650155956,0.0584354255000008
omics__wt_gly__2,-0.6071298390802561,0.08485717250000048
omics__wt_thr__1,5.237800269692265,0.6122284505000009
omics__wt_thr__2,5.235368373836409,0.6146578484999994
omics__bw_ac__1,-1.9168633485773725,0.8817667035000003
omics__bw_ac__2,-1.924056806241612,0.8924773015000014
omics__bw_fum__1,-1.154727480600928,0.5877983865000012
omics__bw_fum__2,-1.3852788848388278,0.5226877135000008
omics__bw_glc__1,-0.484978043160952,0.0273994885000004
omics__bw_glc__2,-0.0245439112928029,0.07287797050000044
omics__bw_pyr__1,-2.004728329567019,0.4805777875000015
omics__bw_pyr__2,-2.372395041427735,0.567575230500001
ompr__wt_nacl__1,2.47491087796537,-1.5929679744999996
ompr__wt_nacl__2,2.1849932731118016,-1.7497737265
ompr__bw_delompr_nacl__1,3.5697111420212995,-1.7213951165
ompr__bw_delompr_nacl__2,3.3000923574642576,-1.8707998294999992
minspan__wt_ade__1,0.0926935278382521,-0.4489845904999994
minspan__wt_glc__2,1.2591271749310058,-0.22079240549999926
minspan__wt_glc__3,0.6192365827119701,-0.15323017049999876
minspan__wt_glc__4,0.8402112769225358,-0.16544272249999906
minspan__wt_glc_anaero__1,2.0843263080015344,0.7999081985000007
