,-0.21037269582235202,-0.10518634791117602,-2.7755575615628914e-17,0.10518634791117598,0.21037269582235196,0.315559043733528,0.420745391644704,0.52593173955588,0.6311180874670559,0.736304435378232,0.8414907832894081,0.9466771312005839,1.05186347911176,1.157049827022936,1.262236174934112,1.3674225228452879,1.472608870756464,1.57779521866764,1.682981566578816,1.788167914489992
thresh,-0.052593173955588,0.052593173955588,2,,,,,,,,,,,,,,,,,
unreg,1,1,4175,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cra,1,0,65,9,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0
unreg_genes,['cra'],['fbp'],[],['psuG' 'psuK'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
Cra_genes,['ppsA'],[],"['aceA' 'aceB' 'aceK' 'icd' 'aroP' 'pdeL' 'crp' 'acnB' 'csgF' 'csgG'
 'sgrT' 'cydA' 'fbaB' 'cyoA' 'csgE' 'prpB' 'mtlR' 'cyoD' 'cyoE' 'prpD'
 'pdhR' 'mtlD' 'hypF' 'prpC' 'lpd' 'betT' 'prpE' 'eda' 'cyoB' 'poxB'
 'cydB' 'pck' 'crr' 'betI' 'aceE' 'cyoC' 'betA' 'glcC' 'marA' 'yibQ'
 'betB' 'marB' 'acnA' 'mtlA' 'csgD' 'cysG' 'aceF' 'setA' 'mpl' 'zwf'
 'marR' 'edd' 'envC' 'ptsH' 'ptsI' 'nirC' 'manZ' 'manY' 'ppc' 'manX'
 'tpiA' 'eno' 'pykF' 'nirD' 'yeaD']",['gapA' 'glk' 'pfkA' 'nirB' 'fbaA' 'pgk' 'gpmM' 'adhE' 'epd'],[],[],['fruA' 'fruK'],['fruB'],[],[],[],[],[],[],[],[],[],[],[],[]
