,A,FucR,ExuR
R2,,0.5915112166047223,0.08437361216725303
xmin,,-2.54109873,-0.968322694
xmid,,0.4070495232798919,
xmax,,4.559281553,2.358366192
ystart,,0.33503336981238885,-0.4294678717211827
yend,,20.499007892244677,4.17839535587966
control__wt_glc__1,-0.0452742666,0.135851033,0.07036958900000001
control__wt_glc__2,0.0452742666,-0.135851033,-0.07036958900000001
fur__wt_dpd__1,1.9012226373,-0.35338198800000004,0.27630412400000004
fur__wt_dpd__2,2.1556970533,-0.35270599,0.47376728100000004
fur__wt_fe__1,-0.3059345187,-0.377280027,-0.37796754800000004
fur__wt_fe__2,-0.0311098507,-0.13763255900000002,-0.430697243
fur__delfur_dpd__1,1.0949603199,-0.37012220500000004,0.061481536
fur__delfur_dpd__2,0.8844576014000001,-0.572514798,0.091716848
fur__delfur_fe2__1,-0.26179175790000003,0.219657184,-0.490955921
fur__delfur_fe2__2,-0.25691345400000004,0.11272718200000001,-0.604288567
acid__wt_ph5__1,0.3607390448,-0.09779157200000001,0.012454104
acid__wt_ph5__2,0.4533573108,-0.019828711000000002,0.00920579
acid__delgadx_ph5__2,0.10919980280000001,-0.078526068,0.156568186
acid__delgadw_ph5__1,0.0168072539,-0.127233806,-0.054778125000000004
acid__delgadw_ph5__2,0.042212318400000004,-0.003185574,-0.005454734
acid__delgade_ph5__1,0.6144159437000001,-0.02109144,0.042528118000000004
acid__delgade_ph5__2,0.5455068252,-0.020719634,0.07534884500000001
oxidative__wt_pq__1,5.1452921955,-0.108049328,1.932045271
oxidative__wt_pq__2,4.8729060454,-0.14521351300000002,1.9554017140000002
oxidative__deloxyr_pq__1,3.2768142172,0.48626910500000003,1.737433711
oxidative__deloxyr_pq__2,3.2562057642,0.42520843900000005,1.774830648
oxidative__delsoxr_pq__1,5.7701790323,0.109170971,2.278279104
oxidative__delsoxr_pq__2,5.4772448249,0.12447121800000001,2.142817064
oxidative__delsoxs_pq__1,4.3050669787,-0.046083949000000006,2.213791474
oxidative__delsoxs_pq__2,4.9850342173,0.0010803540000000002,2.222568586
nac_ntrc__wt_csn__1,0.2597047429,0.16201336300000002,0.7000416220000001
nac_ntrc__wt_csn__2,0.1867138709,-0.026121804000000002,0.6596161190000001
nac_ntrc__wt_cytd__1,0.47154360980000004,-0.116825997,0.196156237
nac_ntrc__wt_cytd__2,0.23510525240000002,-0.060783773000000006,0.31985014
nac_ntrc__wt_gln__1,-0.12090744910000001,0.21447591200000002,0.08531010700000001
nac_ntrc__wt_gln__2,-0.42334752740000003,0.14100775200000001,0.093274964
nac_ntrc__bw_delnac_csn__1,1.8103618101999999,0.16561183000000002,0.888542032
nac_ntrc__bw_delnac_csn__2,1.5144187953000001,0.122774825,1.065243456
nac_ntrc__bw_delnac_cytd__1,1.0066129777,0.307791364,0.575482915
nac_ntrc__bw_delnac_cytd__2,1.1198518744000001,0.26299706,0.516280087
nac_ntrc__bw_delnac_gln__1,1.0510313399,0.418270695,0.294312935
nac_ntrc__bw_delnac_gln__2,0.4009525451,0.286200392,0.38263235700000003
nac_ntrc__bw_delnac_nh4__1,0.5273940304,0.28734276000000003,0.13886389999999998
nac_ntrc__bw_delnac_nh4__2,0.9180392299000001,0.387071765,0.078579957
misc__wt_no_te__1,3.1191870301,0.066390902,0.977764952
misc__wt_no_te__2,0.530829575,0.209444179,0.48394129300000005
misc__bw_delcbl__1,2.1244966025,0.040350217,0.158620176
misc__bw_delcbl__2,1.6533864450000002,-0.036398389,0.285634949
misc__bw_delfabr__1,1.3364736406,0.10317060900000001,-0.0068566750000000004
misc__bw_delfabr__2,1.5295600344,-0.060689677000000004,0.048482137
misc__bw_delfadr__1,1.3673753296,0.00063018,0.261977391
misc__bw_delfadr__2,1.0652780541,0.162038061,0.150204219
misc__nitr_031__1,0.7436034922,-0.14324713,0.113603433
omics__wt_glu__1,-0.018392312600000002,0.377238748,0.343946605
omics__wt_glu__2,0.0788569214,0.350270693,0.297058904
omics__wt_gly__1,0.18687933650000002,0.28573102100000003,-0.39770826800000003
omics__wt_gly__2,0.008470805100000001,0.29813094,-0.416909621
omics__wt_thr__1,2.9016475908,1.467174526,1.239746095
omics__wt_thr__2,2.5180441175,1.792553366,1.072411819
omics__bw_ac__1,2.8850024739,2.133923243,0.124882851
omics__bw_ac__2,2.8156535187,2.223517891,0.18189955600000002
omics__bw_fum__1,1.6952525107,1.8317390420000002,0.300733236
omics__bw_fum__2,1.4397217346,1.94256487,0.33099737700000004
