,condition,X_avg,X_std,n,rep1_idx,rep1_X,rep2_idx,rep2_X,rep3_idx,rep3_X,rep4_idx,rep4_X,rep5_idx,rep5_X,rep6_idx,rep6_X,rep7_idx,rep7_X,rep8_idx,rep8_X
0,LB__LBexp,7.846666666666667,0.15502687938977985,3.0,0.0,7.67,1.0,7.96,2.0,7.91,,,,,,,,,,
1,LB__LBtran,7.633333333333333,0.046188021535170105,3.0,3.0,7.66,4.0,7.66,5.0,7.58,,,,,,,,,,
2,LB__LBstat,7.906666666666666,0.14571661996262938,3.0,6.0,7.79,7.0,8.07,8.0,7.86,,,,,,,,,,
3,LB__LBGexp,7.696666666666666,0.16289055630494145,3.0,9.0,7.51,10.0,7.77,11.0,7.81,,,,,,,,,,
4,LB__LBGtran,7.735,0.12020815280171303,2.0,12.0,7.82,13.0,7.65,,,,,,,,,,,,
5,LB__LBGstat,7.636666666666667,0.23501772982763083,3.0,14.0,7.64,15.0,7.4,16.0,7.87,,,,,,,,,,
6,Life Cycle__S0,9.033333333333333,0.52624455658309,3.0,17.0,9.6,18.0,8.56,19.0,8.94,,,,,,,,,,
7,Life Cycle__S1,7.803333333333334,0.266520793435209,3.0,20.0,7.91,21.0,8.0,22.0,7.5,,,,,,,,,,
8,Life Cycle__S2,7.7799999999999985,0.4550824101193102,3.0,23.0,8.24,24.0,7.77,25.0,7.33,,,,,,,,,,
9,Life Cycle__S3,8.065,0.5444722215136413,2.0,26.0,8.45,27.0,7.68,,,,,,,,,,,,
10,Life Cycle__S4,8.979999999999999,0.23430749027719977,3.0,28.0,8.83,29.0,9.25,30.0,8.86,,,,,,,,,,
11,Life Cycle__S5,9.423333333333334,0.06110100926607831,3.0,31.0,9.49,32.0,9.37,33.0,9.41,,,,,,,,,,
12,Life Cycle__S6,9.88125,0.1971538558008516,8.0,34.0,10.07,35.0,10.16,36.0,9.85,37.0,10.05,38.0,9.7,39.0,9.61,40.0,9.88,41.0,9.73
13,Life Cycle__S7,10.573333333333332,0.15275252316519508,3.0,42.0,10.54,43.0,10.44,44.0,10.74,,,,,,,,,,
14,Life Cycle__S8,10.235,0.33234018715767777,2.0,45.0,10.47,46.0,10.0,,,,,,,,,,,,
15,Life Cycle__G135,8.04,0.2262741699796948,2.0,47.0,8.2,48.0,7.88,,,,,,,,,,,,
16,Life Cycle__G150,7.993333333333332,0.49642052066099507,3.0,49.0,7.95,50.0,7.52,51.0,8.51,,,,,,,,,,
17,Life Cycle__G180,7.723333333333333,0.3350124375800593,3.0,52.0,8.02,53.0,7.36,54.0,7.79,,,,,,,,,,
18,Stress Time Course__C30,10.370000000000001,0.5656854249492372,2.0,55.0,9.97,56.0,10.77,,,,,,,,,,,,
19,Stress Time Course__C90,9.01,1.3010764773832473,2.0,57.0,9.93,58.0,8.09,,,,,,,,,,,,
20,Biofilm__BI,9.54,0.4525483399593896,2.0,59.0,9.22,60.0,9.86,,,,,,,,,,,,
21,Biofilm__BC,10.959999999999999,0.6255131226974108,4.0,61.0,11.51,62.0,10.68,63.0,11.44,64.0,10.21,,,,,,,,
22,Biofilm__Sw,14.254999999999999,0.09192388155425173,2.0,65.0,14.19,66.0,14.32,,,,,,,,,,,,
23,Life Cycle__BT,9.495000000000001,0.33234018715767777,2.0,67.0,9.73,68.0,9.26,,,,,,,,,,,,
24,Life Cycle__B36,11.309999999999999,0.7495331880577407,2.0,69.0,11.84,70.0,10.78,,,,,,,,,,,,
25,Life Cycle__B60,13.4,0.014142135623730649,2.0,71.0,13.41,72.0,13.39,,,,,,,,,,,,
26,M9__M9exp,7.57,0.3026549190084307,3.0,73.0,7.81,74.0,7.67,75.0,7.23,,,,,,,,,,
27,M9__M9tran,7.79,0.04358898943540662,3.0,76.0,7.81,77.0,7.74,78.0,7.82,,,,,,,,,,
28,M9__M9stat,11.903333333333334,1.4326316111734139,3.0,79.0,10.32,80.0,13.11,81.0,12.28,,,,,,,,,,
29,Supplement__M+G,8.543333333333333,0.9324340906108767,3.0,82.0,9.62,83.0,8.01,84.0,8.0,,,,,,,,,,
30,Supplement__Glu,8.413333333333334,0.38083242158898845,3.0,85.0,8.85,86.0,8.24,87.0,8.15,,,,,,,,,,
31,Supplement__Fru,8.723333333333334,0.7414400402819732,3.0,88.0,8.97,89.0,9.31,90.0,7.89,,,,,,,,,,
32,Supplement__Mal,8.313333333333333,0.4860384072615384,3.0,91.0,8.15,92.0,8.86,93.0,7.93,,,,,,,,,,
33,Supplement__G+S,8.645,0.37476659402886975,2.0,94.0,8.91,95.0,8.38,,,,,,,,,,,,
