,fixC
Cr_1,0.00743602010435363
Cr_2,-0.0018061770981227519
Cr_3,0.0020820296557894423
Cr_4,0.00265176062697554
Cr_5,-0.007421175599643288
Cr_6,-0.0055090560603991
Fe_1,-0.010176104818672434
Fe_2,-0.0149852207289056
Fe_3,-0.035495948270593415
Fe_4,-0.03533441551592955
Fe_5,-0.03164346080874822
Fe_6,-0.02728026842059444
Cd_1,-0.002901099233368667
Cd_2,0.0021313777515643948
Cd_3,0.009669759597356728
Cd_4,0.00930647735522652
Cd_5,0.00826233554811091
Cd_6,0.008023116259775899
Zn_1,-0.003294708625076625
Zn_2,-0.012563731775480388
Zn_3,0.0022678870845358264
Zn_4,0.00988761713300644
Zn_5,0.02752899528874264
Zn_6,0.04921077144785577
Cu_1,0.007210092243704414
Cu_2,0.003358810915034097
Cu_3,0.00045493847641421445
Cu_4,-0.014506623049996363
Cu_5,-0.0206597415945392
Cu_6,0.00030206616379497013
Pb_1,-0.0027436603325856155
Pb_2,-0.005948145355977109
Pb_3,-0.021101289576542274
Pb_4,-0.02354637023767297
Pb_5,-0.01314219069328311
Pb_6,-0.013750182244525278
