,ybaT
Cr_1,0.0028942414497704185
Cr_2,0.012707041688717944
Cr_3,0.025385444735957458
Cr_4,0.025469121375992457
Cr_5,0.02401561736883531
Cr_6,0.017266706021034087
Fe_1,-0.05662274685486565
Fe_2,-0.12646800130589764
Fe_3,-0.18977180128545135
Fe_4,-0.2397535320718924
Fe_5,-0.29242304339763736
Fe_6,-0.34645791281549976
Cd_1,0.009059486708050716
Cd_2,0.022786118303695403
Cd_3,0.03911160425015228
Cd_4,0.05940179186487168
Cd_5,0.08031101269041277
Cd_6,0.10053775933316407
Zn_1,-0.0033226983495821217
Zn_2,-0.01172552719349263
Zn_3,0.021561239518046862
Zn_4,0.06407769707451694
Zn_5,0.08498655117359591
Zn_6,0.11758748967956975
Cu_1,0.008145317020456483
Cu_2,0.013808110910133429
Cu_3,0.021626535918396528
Cu_4,0.028860181050781544
Cu_5,0.03327574474842054
Cu_6,0.043812701085074186
Pb_1,-0.011653555038518336
Pb_2,-0.002633064069514477
Pb_3,0.00719536041918337
Pb_4,0.012040482323914059
Pb_5,0.021877261043023358
Pb_6,0.037263630260483016
