,yjgA
Cr_1,-0.005078980068929092
Cr_2,-0.00932532906919862
Cr_3,-0.007988291541594996
Cr_4,0.002983268985702078
Cr_5,0.015765870675830962
Cr_6,0.0190621076350516
Fe_1,-0.025625901076102436
Fe_2,-0.05101040432887663
Fe_3,-0.07063432979605698
Fe_4,-0.0808820671822328
Fe_5,-0.07325400699453732
Fe_6,-0.06086220304739645
Cd_1,-0.0007682086471490767
Cd_2,0.0036799217333553743
Cd_3,0.005873222032956832
Cd_4,0.008953889246230345
Cd_5,0.015400101973372675
Cd_6,0.01609254337947945
Zn_1,-0.017601123460297994
Zn_2,-0.03968917641016861
Zn_3,-0.05668611730077655
Zn_4,-0.06988779091652789
Zn_5,-0.07726602048928162
Zn_6,-0.08238709158367258
Cu_1,0.010345978527587212
Cu_2,0.016700908104147903
Cu_3,0.0248825861114384
Cu_4,0.036701986570666464
Cu_5,0.044877645134781895
Cu_6,0.05559268529178007
Pb_1,0.0007668732794780522
Pb_2,0.0016926129016805833
Pb_3,0.006613668208553371
Pb_4,0.01985452881371405
Pb_5,0.032432838610974984
Pb_6,0.04529840638889381
