,Value,list
TF,[Spo0A] / [DnaA],
reg_genes,231,"['S949' 'sinI' 'pdxT' 'S513' 'spoIIAB' 'skfA' 'ftsE' 'S567' 'dnaN' 'yqcG'
 'fliP' 'S584' 'cheA' 'tkt' 'ykqA' 'S1565' 'S12' 'kinC' 'S77' 'flhB'
 'parA' 'yabD' 'S252' 'S566' 'S1357' 'fliI' 'S1468' 'sdpB' 'spo0A' 'fliK'
 'S1293' 'fliR' 'S515' 'dnaA' 'S5' 'yisL' 'med' 'yqzD' 'gidA' 'yfmJ'
 'ylmE' 'pit' 'yybJ' 'dltD' 'spo0F' 'ywzH' 'S1263' 'spoIIAA' 'darB' 'yodL'
 'dltB' 'S1480' 'pdeH' 'vpr' 'ykuK' 'yisK' 'S1551' 'S954' 'S116' 'skfF'
 'epr' 'kinA' 'yqxJ' 'yerB' 'ftsX' 'sdpC' 'yfmI' 'cheC' 'S953' 'yxaL'
 'sunT' 'ktrC' 'phrA' 'yxbC' 'fliY' 'txpA' 'ugd' 'putC' 'sdpA' 'S565'
 'S935' 'yppE' 'yusE' 'dnaG' 'S1440' 'sda' 'flgE' 'dltA' 'thdF' 'flgB'
 'S24' 'S26' 'S924' 'S401' 'skfG' 'yydA' 'tagV' 'S1430' 'rok' 'flhA'
 'flhF' 'skfE' 'comK' 'fliG' 'S1106' 'gidB' 'S1' 'dltC' 'S1217' 'bdbA'
 'yybL' 'putP' 'lytE' 'flhG' 'S1564' 'pdxS' 'metS' 'tsaC' 'fliH' 'S328'
 'S517' 'rapA' 'fliF' 'cheY' 'swrB' 'S118' 'accA' 'fliQ' 'accD' 'fliJ'
 'ykuJ' 'flgD' 'rocE' 'S386' 'S459' 'S808' 'skfH' 'skfC' 'S585' 'yybM'
 'dltE' 'S807' 'sunA' 'yqxD' 'bdbB' 'ylmG' 'ccpC' 'S1547' 'sinR' 'rocD'
 'ylmD' 'yxaJ' 'fliZ' 'ylmH' 'S662' 'nfrA' 'yusD' 'putB' 'S973' 'yqcF'
 'yolJ' 'S516' 'cheB' 'ykaA' 'S3' 'yneF' 'BSU_misc_RNA_1' 'ywcH' 'yocH'
 'S1567' 'S1297' 'fliM' 'yqzC' 'yqxI' 'noc' 'sigF' 'BSU_misc_RNA_25'
 'abbA' 'yybK' 'S952' 'S1347' 'comZ' 'S23' 'S914' 'cheD' 'S1533' 'ptkA'
 'abrB' 'cheW' 'S366' 'parB' 'fliE' 'flgC' 'ptpZ' 'skfB' 'rocF' 'yerC'
 'fliL' 'refZ' 'S1578' 'S1262' 'yybN' 'S367' 'S1394' 'tkmA' 'S1577'
 'divIVA' 'yrrL' 'S78' 'sigA' 'S1128' 'sepF' 'yxbD' 'sigD' 'S1479' 'ylxF'
 'swrD' 'S514' 'yvyE']"
comp_genes,15,['S144' 'spoIIB' 'glcD']
both_genes,12,"['sirA' 'yppD' 'sigG' 'S1467' 'spoIIE' 'ywcI' 'sacT' 'S563' 'sigE' 'racA'
 'S564' 'spoIIGA']"
reg_genes2,0,
comp_genes2,0,
both_genes2,0,
reg_ops,77,
comp_ops,11,
both_ops,9,
