,A,Spo0A,DnaA
R2,,0.4097983595406268,0.31461573515248054
xmin,,10.4069,7.5174
xmid,,13.09140829996613,
xmax,,14.6801,14.7696
ystart,,5.8692342785105325,38.15441495797873
yend,,39.3780759803941,-0.28064052262676853
LBexp_1,2.036524164,12.7798,14.3735
LBexp_2,2.08628386,13.1243,13.6524
LBexp_3,2.8095918885,12.6478,13.4978
LBtran_1,5.4907883739,13.831900000000001,11.9048
LBtran_2,3.9831694572,13.2747,11.8616
LBtran_3,3.8675580784,13.0191,11.9176
LBstat_1,10.7905745874,13.1211,12.6096
LBstat_2,10.8559953472,12.6921,12.1886
LBstat_3,10.4845167407,12.4921,11.8923
LBGexp_1,0.9756157926000001,12.4997,14.1589
LBGexp_2,1.8906571712,12.9766,13.7993
LBGexp_3,0.8465677490000001,12.3604,13.937100000000001
LBGtran_2,6.7044114352,12.99,12.3564
LBGtran_3,4.4265398922,13.666,13.486
LBGstat_1,9.3400364373,12.1087,13.9846
LBGstat_2,11.523751173099999,11.6004,13.2035
LBGstat_3,5.8944930385,12.5306,12.9061
S0_1,5.7801155797,12.3417,12.4189
S0_2,5.7886454526,11.9172,12.6172
S0_3,4.795743807,12.0831,12.5975
S1_1,3.5559167379,13.8707,14.1691
S1_2,4.7935046139,13.600200000000001,13.9568
S1_3,5.0258534173,13.6234,14.0152
S2_1,40.4356943962,14.6764,12.8722
S2_2,44.0066337942,14.569,12.629
S2_3,44.7729376473,14.6801,12.5543
S3_1,34.9442725388,14.2784,12.3263
S3_2,34.8745979611,14.1227,12.3666
S4_1,27.3003429507,14.0109,12.1547
S4_2,27.7338366772,13.786,11.3164
S4_3,29.8604064087,13.5988,11.2247
S5_1,27.0286873696,13.8064,11.1255
S5_2,27.6636344572,14.0667,11.24
S5_3,27.9700862433,13.895199999999999,11.3956
S6_1,23.3960037777,13.3543,10.2529
S6_2,11.8252855168,12.4865,7.5174
S6_3,24.788762105700002,13.2377,10.6312
S6/t_1,22.6427330547,12.884,10.2056
S6/t_2,10.9918466631,11.6479,7.663
S6_4,22.7658331409,12.5137,9.9273
S6_5,23.7618904094,13.2926,10.3676
S6_6,23.6776880619,13.3281,10.4591
S7_4,23.0337122661,12.8561,10.359
S7_5,23.5334687829,12.7676,10.2278
S7_6,22.9126286803,12.8506,10.4656
S8_4,23.2337991468,12.5011,9.9736
S8_5,15.7591799246,11.5116,9.1421
G135_1,2.9534324774,11.8906,14.2828
G135_3,6.0945551597,10.4069,12.3514
G150_1,3.5692179288,11.8357,14.1114
G150_2,1.4838960282,12.0267,14.362
G150_3,2.4422871127,12.1046,14.5082
G180_1,2.8899000231,11.8392,14.1651
G180_2,1.7460514437999999,12.3114,14.5084
G180_3,3.3991741272000002,11.3566,13.4558
C30_1,5.0628205617,11.6734,12.8739
C30_2,4.3408562118,11.9146,12.9815
C90_1,5.6869296905,13.0652,12.539
C90_2,4.9289014317,13.2394,13.0122
BI_1,7.443688688,13.2505,12.84
BI_2,7.3765274538,13.3998,12.991
BC_2,25.8417774018,14.5792,11.9794
BC/t_1,22.5542717302,14.2206,11.5258
BC/t_2,21.5519476155,14.3408,11.8215
BC_1,23.9404309914,14.0161,11.7242
Sw_1,17.6275532692,13.6699,11.4736
Sw_2,18.589679996,13.8338,11.9018
BT_1,24.4394274128,13.8071,10.6559
BT_2,24.3382474414,13.4446,10.2755
B36_1,26.3061022843,14.1646,11.6304
B36_2,25.8749713477,13.9349,11.8157
B60_1,30.5278843137,14.168,12.115
B60_2,30.4951597741,14.0265,12.2289
M9exp_1,-0.8722627436,13.3843,13.8058
M9exp_2,0.46215895230000004,12.9849,13.4113
M9exp_3,0.4101037913,12.8075,13.3547
M9tran_1,7.0497324583,12.8649,13.0112
M9tran_2,5.5792200851,12.955,13.1424
M9tran_3,8.9739650767,13.311,13.2688
M9stat_1,47.3795295019,13.5318,10.1624
M9stat_2,42.1348823968,13.338799999999999,10.3575
M9stat_3,43.5061062825,13.1989,9.9452
M+G_1,4.7912419301,12.4525,13.1056
M+G_2,2.5011933151,12.777,13.2652
M+G_3,2.6572838172,12.836,13.1852
Glu_1,4.8415867873,13.2449,13.6407
Glu_2,4.3558394398,13.2102,13.5357
Glu_3,4.1666648146,13.3968,13.6089
Fru_1,2.8930846209,13.1049,13.527
Fru_2,9.6294468379,13.449,13.5504
Fru_3,7.2559686086,12.6845,13.0123
Mal_1,4.8553961527,12.0555,12.2744
Mal_2,3.5316763293999998,12.6314,12.9783
Mal_3,3.2031818535,12.688,13.2141
G+S_2,28.919470638900002,13.7473,12.5451
G+S_3,26.8161563269,13.7165,12.8668
Pyr_1,31.2814978014,13.3043,11.8032
Pyr_2,24.6979277223,13.3788,12.5333
Pyr_3,24.6863958202,13.2183,12.3998
Gly_1,6.0677221409,11.9001,11.1005
Gly_2,5.3313073357,12.5392,11.8051
Gly_3,6.3905088823,11.2735,10.1954
Glucon_1,16.8870361678,12.6,12.3034
Glucon_2,13.3610822723,13.0393,12.828
Glucon_3,9.2832552448,12.1006,11.9262
aero_1,0.1406134451,13.0035,14.1303
aero_2,2.9831392671,12.2607,12.9699
aero_3,-0.06542588120000001,13.0826,13.3394
nit_1,6.0365959223,12.7784,13.1165
nit_2,7.0613171338,13.3377,13.6549
nit_3,10.1668437201,12.9881,13.168
ferm_1,4.9978398594,12.708,13.3742
ferm_2,6.2188643844,12.6605,12.9763
ferm_3,8.9860083928,13.1559,13.3661
T-5.40H_1,14.1331204617,13.7658,13.822
T-4.40H_1,12.7024321813,13.467,13.6691
T-3.40H_1,10.9129660104,13.4315,13.5729
T-2.40H_1,10.4240079929,13.258,13.3636
T-1.40H_1,8.3013387465,13.2224,13.2556
T-1.10H_1,7.3192813166,13.196,13.3463
T-0.40H_1,5.4932524059,13.3502,13.4761
T0.0H_1,6.7141530384,13.2103,13.2183
T0.30H_1,10.2858555243,13.2425,12.8105
T1.0H_1,17.0612678127,12.6492,12.48
T1.30H_1,23.3342242311,12.8158,12.2602
T2.0H_1,28.5837684913,12.7982,12.2248
T2.30H_1,37.2473261082,13.6315,12.9663
T3.0H_1,41.4711499864,13.3845,12.1668
T3.30H_1,43.2177770484,13.7597,12.3025
