,tyrS
Cr_1,-0.006433756304801549
Cr_2,-0.008993042199266664
Cr_3,-0.014190855698521824
Cr_4,-0.02764462019852229
Cr_5,-0.043098188384555536
Cr_6,-0.053122052261481915
Fe_1,-0.025072848053578487
Fe_2,-0.07484272874889693
Fe_3,-0.14502844626378675
Fe_4,-0.2102129658110501
Fe_5,-0.2708067920680028
Fe_6,-0.3186848583408837
Cd_1,-0.00580902250633561
Cd_2,-0.01140042235858874
Cd_3,-0.01854455984042638
Cd_4,-0.022147595503248067
Cd_5,-0.031692830142858765
Cd_6,-0.0358350263951907
Zn_1,-0.0009341521074134552
Zn_2,-0.006425314840617018
Zn_3,-0.008620107830110718
Zn_4,0.00030286737547804466
Zn_5,0.02085354334669073
Zn_6,0.05771996935045329
Cu_1,0.006278045182303828
Cu_2,0.010940716630989687
Cu_3,0.01797121372691237
Cu_4,0.02479338654974594
Cu_5,0.0257114038138486
Cu_6,0.028719290871840164
Pb_1,0.009807509662108816
Pb_2,0.016164421662907606
Pb_3,0.02422946314582713
Pb_4,0.033951097937342266
Pb_5,0.04762315393497992
Pb_6,0.05660402637299096
