,yejG
Cr_1,0.000990902412803069
Cr_2,0.0027123284782225817
Cr_3,0.004634627299988135
Cr_4,0.009070061098521265
Cr_5,0.013259311951048295
Cr_6,0.014903331955097488
Fe_1,0.0023740792750925675
Fe_2,-0.0008092406392893196
Fe_3,0.00015693255690300958
Fe_4,-0.0044360827017478136
Fe_5,0.0004883072513670625
Fe_6,0.0025300384709684483
Cd_1,0.002791769433762574
Cd_2,0.008167165793083558
Cd_3,0.014411211587405588
Cd_4,0.02078177203314999
Cd_5,0.0243907501867488
Cd_6,0.028531607602383192
Zn_1,0.0005221208920285703
Zn_2,-0.00378194011465604
Zn_3,0.0030319280034071163
Zn_4,0.00479373091229301
Zn_5,0.0019314061215728363
Zn_6,-0.004102452174839008
Cu_1,0.0067821934568061785
Cu_2,0.020090866012576227
Cu_3,0.036742021372120265
Cu_4,0.0515099960799725
Cu_5,0.06475322993447083
Cu_6,0.07681755317847963
Pb_1,0.003292026228794404
Pb_2,0.010562664105449357
Pb_3,0.01838684240849598
Pb_4,0.021419826699728896
Pb_5,0.03234638907206752
Pb_6,0.038773621690331016
