,A,manR
nit_3,-0.7968229783830001,8.4713
ferm_1,1.35198103182,8.7842
ferm_2,-0.6128510300150001,8.2566
ferm_3,-1.21075720046,8.7189
T-5.40H_1,-0.355025678287,8.613
T-4.40H_1,-0.60752683158,8.4471
T-3.40H_1,0.28628975451600003,8.6226
T-2.40H_1,1.24968126991,8.6563
T-1.40H_1,1.10337378939,8.6291
T-1.10H_1,0.0506529890553,8.594
T-0.40H_1,0.00240910953678,8.2936
T0.0H_1,1.69545536694,10.3663
T0.30H_1,11.9495082123,11.8129
T1.0H_1,8.055150538480001,9.9223
T1.30H_1,5.08050931444,9.1384
T2.0H_1,4.6861049043000005,9.0575
T2.30H_1,4.80221496386,9.6302
T3.0H_1,3.83735126814,9.1198
T3.30H_1,2.8056030269,9.3134
T4.0H_1,1.8864163966900005,9.1551
T5.0H_1,1.70904940618,8.6969
HPh_1,0.703262591496,8.876
HPh_2,0.57774161737,8.4084
HPh_3,0.9210092030789999,8.8085
LPh_1,0.4807638876250001,8.7496
LPh_2,0.07270785594279999,9.0638
LPh_3,0.773606777719,8.8049
LPhT_1,-1.7921855294599998,7.9818
LPhT_2,-2.16832097128,7.7837
LPhT_3,-2.03270030368,7.9038
SMMPr_1,0.320274381127,8.5686
SMMPr_2,0.5435275485000001,8.5821
SMMPr_3,0.653597987666,8.8949
HiTm_1,4.59837713615,8.9142
HiTm_2,2.61659154001,9.4039
HiTm_3,2.10205653623,8.9878
LoTm_1,-1.17725961417,8.7347
LoTm_2,-1.0036174744600002,8.6987
LoTm_3,-0.8965989136720001,8.406
HiOs_1,4.49056338436,8.6365
HiOs_2,3.9300360351599997,8.4932
HiOs_3,3.98632365191,8.647
BMM_1,-1.11231522563,8.158999999999999
BMM_2,-1.10665343187,8.0542
BMM_3,-0.710771767403,8.1833
Heat_1,0.19587478471,9.4587
Heat_2,-0.23029579040399997,9.3007
Heat_3,1.10626697644,9.3109
Cold_1,-2.56072379154,7.7954
Cold_2,-1.22205370451,7.6897
Cold_3,-0.17617032099399998,7.7595
Etha_1,-0.143851914493,8.5448
Etha_2,0.9319844391680001,8.5918
Etha_3,0.0715682170703,8.5808
SMM_1,-0.605026509185,8.6584
SMM_2,-1.02268226764,8.523
SMM_3,-1.35815171877,8.4466
Salt_1,-2.01294885513,7.9163
Salt_2,-2.2762421098099996,7.852
Salt_3,-1.84210618532,7.9027
Mt0_1,10.0898505287,10.5298
Mt0_3,18.042098349,15.1415
M0t45_1,-1.85542100253,8.9983
M0t45_2,3.9017465482199998,10.9364
M0t45_3,2.84087029852,9.0575
M0t90_1,5.19546041542,9.8542
M0t90_2,2.6790486651900003,10.7602
M0t90_3,3.78698968477,10.5106
M40t45_1,-0.6791528119050001,9.5765
M40t45_2,-2.38232518401,10.7066
M40t45_3,2.30449957065,8.9186
M40t90_1,5.31942114547,9.8364
M40t90_2,3.6853073597800003,10.4833
M40t90_3,5.23032569234,10.9313
dia0_1,16.4897554522,14.2301
dia0_2,14.5204662773,12.2293
dia0_3,10.4235565508,11.4201
dia5_1,14.8430593358,12.1369
dia5_2,9.40552396237,11.3541
dia5_3,6.791272731059999,11.1181
dia15_1,7.86570594781,11.483
dia15_2,1.63290271611,9.4058
dia15_3,1.040304483,8.1905
Diami_1,8.91296410239,11.7328
Diami_2,11.865239996400001,12.5268
Diami_3,10.4770980322,12.342
Paraq_1,14.0847298455,14.6058
Paraq_2,16.093326676300002,15.1266
Paraq_3,14.241161919400001,13.6141
H2O2_1,13.224200229500001,14.2673
H2O2_2,13.696172461300002,14.4729
H2O2_3,11.954975955999998,13.6161
Oxctl_1,15.477248268499999,14.3074
Oxctl_2,16.008943224,14.3231
Oxctl_3,16.2926747231,14.8936
GM-0.1_1,0.24429883205800001,8.4659
GM-0.2_1,1.59539325839,8.5823
GM+5_1,-0.113891688742,8.1755
GM+15_1,-1.3180219177899999,8.0899
GM+25_1,-3.20390178615,7.9951
GM+45_1,-2.21577513451,8.2834
GM+60_1,-2.3669794446,7.9756
GM+90_1,-0.7156944876540001,8.2781
GM+120_1,2.6646502122099998,8.2646
GM+150_1,0.962903781736,8.5519
GM-0.1_2,-1.8466381333200002,8.7531
GM-0.2_2,0.7245290447149999,9.0986
GM+5_2,-0.68607193817,8.3823
GM+10_2,-1.2606421827,7.9989
GM+15_2,-0.89896411465,8.0416
GM+25_2,-2.21178882975,8.1621
GM+45_2,-2.26920589486,7.2526
GM+60_2,-0.494684087325,7.8284
GM+90_2,-0.7464092152670001,8.4884
GM+150_2,2.37371771076,8.2635
GM-0.1_3,-0.446651412265,8.8378
GM-0.2_3,-1.68260592861,8.4975
GM+5_3,-0.8056269691779999,8.4842
GM+10_3,0.08882960413619999,7.5764
GM+15_3,-1.12790873619,7.9892
GM+25_3,-0.9453605468520001,8.0041
GM+45_3,-0.501162191575,8.1154
GM+60_3,0.6691370818519999,8.1091
GM+90_3,0.889089125346,8.3238
GM+120_3,1.85007245267,8.7791
GM+150_3,1.06057220431,8.3962
MG-0.1_1,4.1251877923,9.8893
MG+5_1,2.59418544522,8.3828
MG+10_1,-0.57279091749,8.1603
MG+15_1,-0.163652965861,7.8217
MG+25_1,-1.8867796215500001,7.9511
MG+45_1,-0.259009294753,8.0125
MG+120_1,2.92372331586,8.4464
MG+150_1,1.5527840118399998,8.724
MG-0.1_2,4.411557387209999,9.1766
MG-0.2_2,3.87553183616,9.5579
MG+5_2,2.6466296304499997,8.0275
MG+10_2,0.47238687643,7.9515
MG+15_2,0.517636132862,8.7752
MG+25_2,-0.773684018936,7.8405
MG+45_2,0.164268237505,7.7389
MG+60_2,-0.484438309021,8.0824
MG+90_2,-0.4461571391300001,7.6406
MG+120_2,1.63140356137,8.7934
MG-0.1_3,4.71907981576,10.5418
MG-0.2_3,4.41055240336,10.1234
MG+5_3,3.5942959318699996,8.6616
MG+10_3,2.4552863447299997,8.1298
MG+15_3,-0.5260495628540001,8.4161
MG+25_3,-1.07405084843,8.2433
MG+45_3,-1.29582336604,8.4011
MG+60_3,0.0295982853185,8.2296
MG+90_3,-0.628236721039,8.4617
MG+120_3,2.2005080611400003,8.4519
MG+150_3,0.303629972845,8.504
