,name,x,y,cog,color,link
meta,start,0.5344709535315633,,,,
zntA,zntA,2199.0,0.0423007308319211,Unknown,#1e90ff,
rpoS,rpoS,993.0,-0.001661877742735669,Unknown,#1e90ff,
rihC,rihC,915.0,0.0004298016481334344,Unknown,#1e90ff,
ypfH,ypfH,699.0,-0.00044486253027571366,Unknown,#1e90ff,
alsI,alsI,450.0,-0.0025468869134783745,Unknown,#1e90ff,
ygdQ,ygdQ,714.0,-0.0032083886978216468,Unknown,#1e90ff,
yabP,yabP,579.0,0.002236436752136797,Unknown,#1e90ff,
ypfJ,ypfJ,864.0,-0.00039962478476809334,Unknown,#1e90ff,
talB,talB,954.0,0.003262332223821432,Unknown,#1e90ff,
yqeI,yqeI,810.0,-0.0051879087276756755,Unknown,#1e90ff,
yabI,yabI,765.0,-0.000941759990528226,Unknown,#1e90ff,
hda,hda,702.0,-0.002906810392159969,Unknown,#1e90ff,
talA,talA,951.0,0.0006806400453206151,Unknown,#1e90ff,
ygeH,ygeH,1377.0,0.0016019409708678725,Unknown,#1e90ff,
ilvI,ilvI,1725.0,0.002207393094431609,Unknown,#1e90ff,
yfgB,yfgB,384.0,0.0012705898704007267,Unknown,#1e90ff,
pfkB,pfkB,930.0,0.001680298229912296,Unknown,#1e90ff,
ygeY,ygeY,1212.0,-0.0002341046706715133,Unknown,#1e90ff,
secM,secM,513.0,-0.0015568561735562981,Unknown,#1e90ff,
iscS,iscS,1215.0,7.091592931828927e-05,Unknown,#1e90ff,
setB,setB,1182.0,-0.0016465308598708364,Unknown,#1e90ff,
ygiL,ygiL,552.0,-0.00045761637564282863,Unknown,#1e90ff,
yacL,yacL,363.0,-0.0005647396872518584,Unknown,#1e90ff,
iscR,iscR,489.0,0.003357845318969339,Unknown,#1e90ff,
crp,crp,633.0,-0.00030335104907862836,Unknown,#1e90ff,
eaeH,eaeH,872.0,-0.003506025341339409,Unknown,#1e90ff,
proB,proB,1104.0,-0.0025254706293344497,Unknown,#1e90ff,
yfjL,yfjL,1617.0,0.00057369934162125,Unknown,#1e90ff,
pdhR,pdhR,765.0,-0.0021718496480025357,Unknown,#1e90ff,
ykgD,ykgD,284.0,0.004748408175073564,Unknown,#1e90ff,
aroL,aroL,525.0,-0.00022584573525819,Unknown,#1e90ff,
ydaQ,ydaQ,216.0,0.0013567750388756394,Unknown,#1e90ff,
pykF,pykF,1413.0,-0.005986917121335864,Unknown,#1e90ff,
gsk,gsk,1305.0,-0.001360580027103424,Unknown,#1e90ff,
serC,serC,1089.0,0.00025847809010883795,Unknown,#1e90ff,
yohC,yohC,588.0,-0.007446470521390437,Unknown,#1e90ff,
sdhC,sdhC,390.0,-0.0032214463548734785,Unknown,#1e90ff,
smtA,smtA,786.0,-0.0014704938267823308,Unknown,#1e90ff,
cysB,cysB,975.0,0.005316381799057125,Unknown,#1e90ff,
csgC,csgC,333.0,0.0004293303855229169,Unknown,#1e90ff,
mngR,mngR,723.0,0.0018129000021144747,Unknown,#1e90ff,
amiA,amiA,870.0,9.263427236874123e-05,Unknown,#1e90ff,
aroH,aroH,1047.0,-0.002056000663433224,Unknown,#1e90ff,
mviN,mviN,511.0,0.006787085183896124,Unknown,#1e90ff,
tktA,tktA,1992.0,0.004055638806894421,Unknown,#1e90ff,
slp,slp,567.0,0.003542197616770863,Unknown,#1e90ff,
ycjL,ycjL,258.0,-0.00024837456658133306,Unknown,#1e90ff,
ycgM,ycgM,660.0,-0.00013542123750085009,Unknown,#1e90ff,
nuoM,nuoM,1530.0,0.0006322936934884637,Unknown,#1e90ff,
rfaD,rfaD,310.0,-0.003134299013763666,Unknown,#1e90ff,
ycjX,ycjX,1398.0,-0.0006656296027358621,Unknown,#1e90ff,
ycjM,ycjM,1680.0,-0.00012293348197999876,Unknown,#1e90ff,
insB_4,insB_4,167.0,0.0022761478414759038,Unknown,#1e90ff,
murC,murC,1476.0,0.004875826314091682,Unknown,#1e90ff,
yncE,yncE,1062.0,-0.004472561166621745,Unknown,#1e90ff,
ycbR,ycbR,699.0,-0.000534795984858647,Unknown,#1e90ff,
hydN,hydN,528.0,-0.002522040682379157,Unknown,#1e90ff,
mrcB,mrcB,2535.0,-0.002559242215938866,Unknown,#1e90ff,
yneJ,yneJ,882.0,-0.0013088576833251864,Unknown,#1e90ff,
ycbB,ycbB,615.0,0.01733726218342781,Unknown,#1e90ff,
hycB,hycB,612.0,0.0010121447138953957,Unknown,#1e90ff,
fhuA,fhuA,2244.0,0.0018245272920466961,Unknown,#1e90ff,
ydiQ,ydiQ,765.0,-0.001748507265001535,Unknown,#1e90ff,
hemG,hemG,546.0,-0.003415651028044522,Unknown,#1e90ff,
cueO,cueO,1551.0,-0.0021757496334612373,Unknown,#1e90ff,
rpoH,rpoH,855.0,0.0008933185267960653,Unknown,#1e90ff,
b4285,b4285,1041.0,0.0008821448864182457,Unknown,#1e90ff,
cusC,cusC,1374.0,-0.0023859963030554354,Unknown,#1e90ff,
nac,nac,918.0,0.00045330338209168973,Unknown,#1e90ff,
yiaT,yiaT,741.0,0.0003325280168792233,Unknown,#1e90ff,
wrbA,wrbA,597.0,-0.0016070920228958131,Unknown,#1e90ff,
