,condition,A_avg,A_std,n,rep1_idx,rep1_A
0,Cr__1,2.0254152822494507,,1.0,0.0,2.0254152822494507
1,Cr__2,3.2102981400489807,,1.0,1.0,3.2102981400489807
2,Cr__3,3.668045117855072,,1.0,2.0,3.668045117855072
3,Cr__4,3.747616243362427,,1.0,3.0,3.747616243362427
4,Cr__5,4.007229809761046,,1.0,4.0,4.007229809761046
5,Cr__6,3.984640257358551,,1.0,5.0,3.984640257358551
6,Fe__1,-0.12686283901333809,,1.0,6.0,-0.12686283901333809
7,Fe__2,0.001052863794611767,,1.0,7.0,0.001052863794611767
8,Fe__3,-0.07693637251853942,,1.0,8.0,-0.07693637251853942
9,Fe__4,-0.12711622804403305,,1.0,9.0,-0.12711622804403305
10,Fe__5,-0.09384645968675613,,1.0,10.0,-0.09384645968675613
11,Fe__6,-0.09817388415336607,,1.0,11.0,-0.09817388415336607
12,Cd__1,0.045929786600172516,,1.0,12.0,0.045929786600172516
13,Cd__2,0.07785603240132331,,1.0,13.0,0.07785603240132331
14,Cd__3,0.017237059343606233,,1.0,14.0,0.017237059343606233
15,Cd__4,-0.04600191555917263,,1.0,15.0,-0.04600191555917263
16,Cd__5,-0.08261019855737686,,1.0,16.0,-0.08261019855737686
17,Cd__6,-0.09239764176309108,,1.0,17.0,-0.09239764176309108
18,Zn__1,0.006830607242882252,,1.0,18.0,0.006830607242882252
19,Zn__2,0.005093329685041681,,1.0,19.0,0.005093329685041681
20,Zn__3,0.008666722825728355,,1.0,20.0,0.008666722825728355
21,Zn__4,-0.012285259533673524,,1.0,21.0,-0.012285259533673524
22,Zn__5,-0.02256488686427474,,1.0,22.0,-0.02256488686427474
23,Zn__6,-0.023263232838362454,,1.0,23.0,-0.023263232838362454
24,Cu__1,0.011652735490351916,,1.0,24.0,0.011652735490351916
25,Cu__2,0.018878312688320874,,1.0,25.0,0.018878312688320874
26,Cu__3,0.024397726580500604,,1.0,26.0,0.024397726580500604
27,Cu__4,0.023294517528265717,,1.0,27.0,0.023294517528265717
28,Cu__5,0.028059622962027787,,1.0,28.0,0.028059622962027787
29,Cu__6,0.043708197921514515,,1.0,29.0,0.043708197921514515
30,Pb__1,-0.008622636059299112,,1.0,30.0,-0.008622636059299112
31,Pb__2,-0.013282610606402158,,1.0,31.0,-0.013282610606402158
32,Pb__3,-0.004225010997615754,,1.0,32.0,-0.004225010997615754
33,Pb__4,-0.0035459643555805095,,1.0,33.0,-0.0035459643555805095
34,Pb__5,0.007391340201720596,,1.0,34.0,0.007391340201720596
35,Pb__6,0.00337218448985368,,1.0,35.0,0.00337218448985368
