,cbpA
Cr_1,-0.011758294022768056
Cr_2,-0.014329033712246787
Cr_3,-0.014978889821174641
Cr_4,-0.01498383321968475
Cr_5,-0.0125281409900528
Cr_6,-0.009678753147429959
Fe_1,-0.026630228288718596
Fe_2,-0.05458892959105231
Fe_3,-0.07600035431291148
Fe_4,-0.10347619944301807
Fe_5,-0.13402059161264274
Fe_6,-0.16664012774173295
Cd_1,-0.0064020502548488385
Cd_2,-0.009041791237796491
Cd_3,-0.016256337987646412
Cd_4,-0.027518779068940395
Cd_5,-0.03696280848571815
Cd_6,-0.037036876408833366
Zn_1,-0.016133183259517073
Zn_2,-0.03365850510945037
Zn_3,-0.04904904635554517
Zn_4,-0.06319664984703302
Zn_5,-0.07380927373411021
Zn_6,-0.08024585613665147
Cu_1,0.011566415731501977
Cu_2,0.02811757575855148
Cu_3,0.04044741472552247
Cu_4,0.042924577906273735
Cu_5,0.047783110916087085
Cu_6,0.05128595213711714
Pb_1,0.0017437928610284392
Pb_2,0.0028948489510551892
Pb_3,0.014161368562658254
Pb_4,0.021184329962127244
Pb_5,0.02527007700254124
Pb_6,0.03775443321220396
