,yphF
Cr_1,-0.003949010062692115
Cr_2,-0.002723965891209869
Cr_3,0.003595304298369753
Cr_4,0.014834872418455146
Cr_5,0.02164223670820289
Cr_6,0.033544789910872286
Fe_1,-0.002845205884580997
Fe_2,-0.03962206647168737
Fe_3,-0.07939298856030831
Fe_4,-0.11888373589505218
Fe_5,-0.14293042167024214
Fe_6,-0.16501262906019373
Cd_1,-0.003424482305626167
Cd_2,-0.0019615836380761933
Cd_3,-0.0007461747482142687
Cd_4,0.006886487506047557
Cd_5,0.011327898540588672
Cd_6,0.020171461812350862
Zn_1,-0.008519527901466633
Zn_2,0.006015788295177745
Zn_3,0.007108353225634656
Zn_4,0.03540730293382082
Zn_5,0.06669782750493804
Zn_6,0.10496319326601523
Cu_1,-0.001996893048982156
Cu_2,0.00398786885712835
Cu_3,0.00708582325890677
Cu_4,0.014095082333154447
Cu_5,0.01802854331826441
Cu_6,0.026746972883238282
Pb_1,0.005239133369785519
Pb_2,0.010772433745768237
Pb_3,0.028457327262463306
Pb_4,0.05122823707481621
Pb_5,0.0709795289709065
Pb_6,0.08754964643485184
