,-0.06985248101700571,-0.058210400847504756,-0.0465683206780038,-0.03492624050850285,-0.023284160339001894,-0.01164208016950094,1.3877787807814457e-17,0.011642080169500968,0.023284160339001922,0.034926240508502876,0.04656832067800383,0.05821040084750477,0.06985248101700574,0.0814945611865067,0.09313664135600765,0.10477872152550859,0.11642080169500955,0.12806288186451054,0.13970496203401145,0.15134704220351242
thresh,-0.040747280593253325,0.040747280593253325,2,,,,,,,,,,,,,,,,,
unreg,1,0,3,19,176,1156,2013,532,116,38,20,3,4,4,1,0,0,0,0,0
SigE,0,0,0,0,1,13,52,41,39,32,22,11,6,6,6,5,3,2,0,0
unreg_genes,['sboA'],[],['yczN' 'ykzV' 'BSU_14568'],[],[],[],[],[],[],[],"['yozN' 'yraF' 'cotF' 'cypA' 'ypzH' 'sspC' 'putC' 'yhfM' 'yutG'
 'BSU_18596' 'putB' 'yozP' 'gdh' 'BSU_36575' 'sprC' 'yflJ' 'yuzL' 'lonB'
 'ymaF' 'yjzK']",['tcaB' 'yitE' 'gerW'],['dacF' 'yckD' 'tasA' 'sacT'],['psrF' 'comER' 'ytfI' 'ywcI'],['spoIIQ'],[],[],[],[],[]
SigE_genes,[],[],[],[],['yusR'],"['ybaK' 'yuzH' 'ydcA' 'yotH' 'yosX' 'coaE' 'phoP' 'cotV' 'cotG' 'ylxW'
 'yhjQ' 'yabR' 'yabM']","['comZ' 'spcF' 'ynzB' 'uxaB' 'tgl' 'spsE' 'murE' 'ispG' 'yabN' 'ywrJ'
 'cotX' 'sbp' 'bdbD' 'yotJ' 'yugU' 'trmL' 'polA' 'ctaA' 'yotC' 'phoR'
 'ylmC' 'ypjB' 'cotY' 'mmgF' 'yoaW' 'yotM' 'cotW' 'ycgG' 'divIB' 'yckC'
 'murB' 'mutM' 'uxaA' 'vbfA' 'bdbC' 'yqkF' 'ldeE' 'yrrS' 'ylxX' 'hslR'
 'cotH' 'ytxC' 'med' 'yocL' 'mraY' 'bofA' 'spsA' 'mbl' 'yyaD' 'murD'
 'murG' 'yxeD']","['spsI' 'yfnD' 'yotK' 'yqfZ' 'spsB' 'yusS' 'ldeG' 'yozE' 'ypqA' 'cotB'
 'yhjR' 'divIC' 'ydjO' 'slpH' 'sigKc' 'yotG' 'sgpA' 'spoVE' 'mmgE' 'ldeF'
 'spoVD' 'spmH' 'phoB' 'cotZ' 'yfhS' 'yotE' 'yfnF' 'ictI' 'pbpI' 'spsG'
 'ytrH' 'spcQ' 'yhcO' 'yotD' 'spsK' 'yjcA' 'spcP' 'spsL' 'yfnE' 'slpS'
 'yusQ']","['vbfB' 'yesJ' 'cotT' 'spsC' 'yesK' 'yotB' 'cwlD' 'cwlJ' 'sprB' 'cotM'
 'ldeHA' 'cotQ' 'stoA' 'mmgD' 'exuR' 'spmG' 'yeaA' 'yxjF' 'fisB' 'ldeI'
 'spsD' 'spoIVCA' 'yisY' 'nucB' 'yqfD' 'mmgA' 'yteV' 'uxuB' 'yhbB' 'scoB'
 'sigKn' 'mmgC' 'spoIID' 'yodR' 'yotI' 'uxuA' 'spsJ' 'ydjP' 'scoA']","['yppG' 'spsF' 'spoVV' 'yjmD' 'ydhF' 'yrzE' 'citH' 'mciZ' 'alrB' 'spoVB'
 'kamA' 'glgP' 'spoIIM' 'glgC' 'exuT' 'spoL' 'mmgB' 'yhaL' 'spoVK' 'yobW'
 'lgeHB' 'yqxA' 'ctpB' 'yjaV' 'spoVM' 'ykvI' 'ytrI' 'gerR' 'ykvU' 'ymxH'
 'cotIC' 'yxjC']","['ldeJ' 'sodF' 'yokU' 'glgD' 'sqhC' 'glgA' 'yndA' 'yqfC' 'glgB' 'spoIIIAD'
 'kamB' 'spoIIIAE' 'yhaX' 'safA' 'ydcC' 'asnO' 'spoIVFB' 'glnM' 'yodS'
 'spaD' 'yodQ' 'yhbH']","['sleL' 'ytvI' 'pdaB' 'spoIIP' 'yjdH' 'yjfA' 'yjmC' 'spoIVFA' 'spoVR'
 'glnP' 'yodT']",['spaC' 'yhxC' 'glnQ' 'yqhV' 'spoIIIAA' 'dacB'],['sppO' 'spmA' 'spoIIIAB' 'cotO' 'spoVID' 'spmB'],['cotN' 'cotJC' 'cotE' 'prkA' 'spoIVA' 'glnH'],['spoIIIAC' 'gerM' 'spoIIIAH' 'spoIIIAG' 'spoIIIAF'],['spoIIID' 'usd' 'gerQ'],['cotJB' 'cotJA'],[],[]
