,A,MalR
R2,,0.0007998453341844236
xmin,,-2.757
xmid,,
xmax,,2.183
ystart,,-9.534182634152506
yend,,-6.713618942994946
LBexp_1,-8.7758156482,0.252
LBexp_2,-8.7023292948,0.1027
LBexp_3,-9.2024995816,-0.0495
LBtran_1,-11.6747579188,-0.2386
LBtran_2,-11.6337694461,-0.228
LBtran_3,-12.7746605027,-0.2938
LBstat_1,-13.6107186247,0.1563
LBstat_2,-12.451245312,-0.1573
LBstat_3,-12.0816940957,-0.6194000000000001
LBGexp_1,-5.7293139161,0.1434
LBGexp_2,-6.1609851426,0.0315
LBGexp_3,-6.630250792,-0.0352
LBGtran_2,-6.8509113476,0.35650000000000004
LBGtran_3,-8.042072139,0.7506
LBGstat_1,-6.3996201585,0.4736
LBGstat_2,-6.867069474,-0.7583000000000001
LBGstat_3,-3.3330020666,0.30860000000000004
S0_1,-10.9026355109,-0.3791
S0_2,-10.4695615634,-0.33540000000000003
S0_3,-10.7940441695,-0.1841
S1_1,-11.1446610177,0.16
S1_2,-11.2241027197,0.15380000000000002
S1_3,-11.8998949741,0.1492
S2_1,-11.8748875368,-0.5428000000000001
S2_2,-12.7897790907,-0.7504000000000001
S2_3,-12.9660150782,-0.4698
S3_1,-10.3707783206,-0.25670000000000004
S3_2,-12.583262642,-0.42410000000000003
S4_1,-11.7664808474,-0.0674
S4_2,-11.1093759281,-0.1847
S4_3,-11.888935140000001,-0.43910000000000005
S5_1,-9.5166561327,-0.19060000000000002
S5_2,-9.7251390241,-0.0013000000000000002
S5_3,-10.3316109913,-0.232
S6_1,-8.8548815238,-0.9252
S6_2,-5.9524098984,-2.3502
S6_3,-10.3798465071,-0.7129000000000001
S6/t_1,-7.5888005923,-1.1604
S6/t_2,-4.6352965474,-2.757
S6_4,-9.2162605998,-1.1185
S6_5,-9.4379536331,-0.8408
S6_6,-9.5016941519,-0.5079
S7_4,-8.413958052,-0.8092
S7_5,-7.406207305,-1.0981
S7_6,-7.0262864447,-0.8668
S8_4,-6.4977372025,-1.2416
S8_5,-4.7139290968,-1.5869
G135_1,-7.5074262545,0.2149
G135_3,-7.5338982438,-1.3825
G150_1,-7.2454333621,-0.2089
G150_2,-5.965839595,0.2303
G150_3,-7.0549639866,0.1683
G180_1,-8.6693597267,-0.16140000000000002
G180_2,-8.7006150866,0.43670000000000003
G180_3,-8.9468860543,-0.7102
C30_1,-10.1861927446,-0.1403
C30_2,-9.9977102029,0.0533
C90_1,-12.1322570903,0.6541
C90_2,-12.4432583774,0.9222
BI_1,-13.5559859891,0.48710000000000003
BI_2,-13.0485081803,0.7026
BC_2,-13.7901692753,-0.16870000000000002
BC/t_1,-11.1037400851,-0.7476
BC/t_2,-10.2538297048,-0.38
BC_1,-12.7969596677,-0.6988000000000001
Sw_1,-12.6441390773,0.3693
Sw_2,-13.2774380916,0.7526
BT_1,-8.2082212997,-1.3766
BT_2,-7.5326273517,-1.701
B36_1,-6.2244930136,-0.45230000000000004
B36_2,-5.2970514468,-0.7935
B60_1,-6.7835001025,-0.36360000000000003
B60_2,-6.7743015643,-0.26380000000000003
M9exp_1,0.6192580286,0.2852
M9exp_2,-0.3550863862,0.0083
M9exp_3,-0.2641716424,-0.29350000000000004
M9tran_1,-13.8072459683,-0.543
M9tran_2,-13.4154604198,-0.403
M9tran_3,-13.2456513674,-0.24050000000000002
M9stat_1,-9.7235863272,-2.0737
M9stat_2,-11.3703130179,-2.1738
M9stat_3,-11.1269993944,-2.3585000000000003
M+G_1,-3.150010856,-0.257
M+G_2,-0.0488324573,-0.1819
M+G_3,-0.2235328322,-0.1471
Glu_1,-11.75204203,0.2785
Glu_2,-11.6498840251,0.2126
Glu_3,-10.8145466234,0.1731
Fru_1,-13.4103462441,0.0835
Fru_2,-10.9138241982,0.24280000000000002
Fru_3,-10.4029842792,-0.31070000000000003
Mal_1,0.5999094143,-0.5428000000000001
