,A,GntR
R2,,0.022954196710767594
xmin,,-4.7283419584
xmid,,
xmax,,2.1187954295
ystart,,1.9391814499131321
yend,,-1.0624398213441586
aat__00m_00s__1,0.1380865001,-0.0161569888
aat__00m_30s__1,-0.2788492356,-0.2450299562
aat__01m_00s__1,-0.2092725735,-0.3129320767
aat__02m_00s__1,-0.9130183599,-0.34946025480000004
aat__05m_00s__1,-0.9660703586,-0.36048484010000004
aat__10m_00s__1,-0.8991685188,-0.36780886500000004
aat__00m_00s__2,-0.4813710624,-0.094026065
aat__00m_30s__2,-0.6835994642000001,-0.09469589440000001
aat__01m_00s__2,-0.5273202092,-0.30003344460000003
aat__02m_00s__2,-1.7320757239,-0.3106266256
aat__05m_00s__2,-1.1576364537,-0.4918277305
aat__10m_00s__2,-0.0824284611,-0.45985567050000004
aat__00m_00s__3,0.34328456220000003,0.1101830538
aat__00m_30s__3,-0.2564904747,-0.2857525991
aat__01m_00s__3,-0.8815592803000001,-0.28203815860000003
aat__02m_00s__3,-1.6595564994,-0.1015508858
aat__05m_00s__3,-0.7023181663,-0.3116660904
aat__10m_00s__3,-0.5525548967,-0.2056428315
abx_mega__dmso-2__1,-3.2932171182,1.4908940722000001
abx_mega__ery_dmso__1,-2.9638735578,-0.6279493614
abx_mega__nal_naoh__1,-1.5591292827,1.2927530343
abx_mega__dmso-5__1,-2.3341427485,-0.1235159547
abx_mega__rif_dmso__1,-0.0837226551,-0.7308181093
abx_mega__novo_h2o__1,2.2986101897,0.4649748587
abx_mega__rach_dmso__1,-1.7044225655,-0.3160787742
abx_mega__metro_dmso__1,-0.9391220747000001,0.393874918
abx_mega__dmso-6__1,-2.8671022427,0.24598730770000002
abx_mega__chl_h2o__1,-0.8178412557,-1.2764814687000001
abx_mega__cst_h2o__1,0.45897951670000003,0.3069378786
abx_mega__tec_h2o__1,-4.942144882,1.2928177817
abx_mega__str_h2o__1,-1.6052517037,1.2445354994
abx_mega__ctx_h2o__1,-1.0995713932,-0.008461199800000001
abx_mega__nal_naoh__2,-0.8430691912,0.495214388
abx_mega__phos_h2o__1,-2.1481965562,-0.21648444220000002
abx_mega__dmso-5__2,-1.5881307841,-0.15612616540000002
abx_mega__polmyx_h2o__1,-0.45710274770000003,0.2504189075
abx_mega__h2o-8b__1,-0.4195214568,0.36388029510000003
abx_mega__h2o-6__1,0.8556130686000001,0.4609139037
abx_mega__thio_dmso__1,1.363635449,-0.7836564415
abx_mega__phos_h2o__2,1.2698634183,0.3549999428
abx_mega__ctx_h2o__2,-0.0255710236,0.09142898220000001
abx_mega__lzd_dmso__1,0.0414614674,-0.744517298
abx_mega__naoh-9__1,-0.6782926562,0.1890761183
abx_mega__dox_dmso__1,-0.1898388741,-0.9541285439
abx_mega__phos_ethanol__1,-0.6117907911,-0.0289948667
abx_mega__teix_dmso__1,-3.8504632516,-0.3828169077
abx_mega__dmso-10__1,-1.2350927218,0.07082288860000001
abx_mega__van_dmso__1,1.4574952105,-2.4570797057
abx_mega__ramo_h2o__1,-1.839052268,-0.5351794833
abx_mega__tec_h2o__2,-2.4006094377,-0.266002937
abx_mega__h2o-7__1,-1.0295820237,-0.14534927920000001
abx_mega__cro_h2o__1,-0.9207199447000001,-0.1194454568
abx_mega__tric_ethanol__1,-4.3218107917,-0.0904430595
abx_mega__nor_naoh__1,0.4871924334,0.4824086242
abx_mega__teix_dmso__2,-2.325920423,-0.0156816483
abx_mega__nal_naoh__3,-1.0543179786,0.3865977498
abx_mega__novo_h2o__2,0.9941132286000001,0.4613231794
abx_mega__dmso-10__2,-2.4320555845,0.09784816780000001
abx_mega__phos_h2o__3,0.7018617649000001,0.4802676778
abx_mega__dmso-6__2,-2.6218246175,-0.08471392700000001
abx_mega__rfp_ethanol__1,-1.9172958631,-1.7222124515
abx_mega__dmso-5__3,-2.0069979844,0.3870665405
abx_mega__amyc-d_dmso__1,0.2963217105,-0.1687424536
abx_mega__sxt_dmso__1,-1.7264811021000002,-0.31755960710000003
abx_mega__dmso-1__1,-2.3599198423,-0.2700950979
abx_mega__pen_h2o__1,0.492529109,-0.42286990820000003
abx_mega__dmso-10__3,-1.51866344,0.2081384453
abx_mega__nal_naoh__4,-1.1441538718,0.0990676523
abx_mega__cip_naoh__1,-1.2396541003000001,0.1706995459
abx_mega__pen_h2o__2,-0.3594900929,-0.34446320680000003
