,yeaP
Cr_1,-0.0006191274883255781
Cr_2,0.0013972532885342544
Cr_3,0.005815714388935154
Cr_4,0.008723931049860665
Cr_5,0.011930584953565412
Cr_6,0.014243920608604696
Fe_1,0.0009564455423309678
Fe_2,0.017032840113316832
Fe_3,0.04502215190884254
Fe_4,0.06757298341788573
Fe_5,0.08932213254916062
Fe_6,0.10824839389669123
Cd_1,0.0010102652985728305
Cd_2,0.0034484182560995057
Cd_3,0.006019318501374576
Cd_4,0.009006500103850353
Cd_5,0.007539494457581959
Cd_6,0.012199575553153718
Zn_1,-0.010146964263533514
Zn_2,-0.005689551008362555
Zn_3,0.001264077306260925
Zn_4,0.006316793989856101
Zn_5,0.011708021503608288
Zn_6,0.01928595623882615
Cu_1,-0.00032333918448504406
Cu_2,0.0036226783485223727
Cu_3,0.01268411390575163
Cu_4,0.02164110374635093
Cu_5,0.032025071853490836
Cu_6,0.04456468507763902
Pb_1,-0.0059706178090799
Pb_2,-0.007252657304356038
Pb_3,-0.0011563000268010259
Pb_4,0.0088513174720333
Pb_5,0.0026521786682127428
Pb_6,0.0007692406403524698
