,A,NtrC
R2,,0.02313530370572503
xmin,,-5.0016790975
xmid,,
xmax,,2.3228636584999998
ystart,,-6.000210514597548
yend,,0.026108644868088504
control__wt_glc__1,0.0276851998155538,-0.06631495149999989
control__wt_glc__2,-0.0276851998155093,0.06631495149999989
fur__wt_dpd__1,-2.820198614063941,-0.9027221265000004
fur__wt_dpd__2,-3.0815291864950254,-0.8100453285000002
fur__wt_fe__1,-0.0120022108732763,0.3333157334999992
fur__wt_fe__2,-0.366692029292219,0.1918387794999994
fur__delfur_dpd__1,-2.2405823975568087,-0.9745198565000006
fur__delfur_dpd__2,-2.1998742418147743,-0.9791649365000009
fur__delfur_fe2__1,0.3778796649731014,-0.5153295755
fur__delfur_fe2__2,0.4223973232970318,-0.6166971005000006
acid__wt_ph5__1,-1.8303119602773723,-0.03020150050000048
acid__wt_ph5__2,-1.6481683588367708,-0.04181230749999987
acid__delgadx_ph5__2,-1.2314675157141246,0.09079596750000007
acid__delgadw_ph5__1,-1.6240240259004526,-0.1128848324999998
acid__delgadw_ph5__2,-1.3117366026661288,-0.15206082050000005
acid__delgade_ph5__1,-1.5820058040420817,0.00964439349999946
acid__delgade_ph5__2,-2.0477355003310738,0.0527451275000006
oxidative__wt_pq__1,-2.155153001803696,-0.3496920405000008
oxidative__wt_pq__2,-1.6099081950408245,-0.2896351934999988
oxidative__deloxyr_pq__1,-2.4002154245169813,-0.4274229505000005
oxidative__deloxyr_pq__2,-2.487559944001239,-0.4273335855000005
oxidative__delsoxr_pq__1,-1.27222831088181,-0.4371913215000003
oxidative__delsoxr_pq__2,-1.701742308650488,-0.4368724984999988
oxidative__delsoxs_pq__1,-2.2909926221410037,-0.1740475124999996
oxidative__delsoxs_pq__2,-1.9552456652831915,-0.08507181550000009
nac_ntrc__wt_csn__1,-1.0925381373970608,1.0903374364999996
nac_ntrc__wt_csn__2,-0.8872683444776911,1.1212646784999991
nac_ntrc__wt_cytd__1,4.080735491081524,2.1180870945
nac_ntrc__wt_cytd__2,4.589851454040506,2.1021411325
nac_ntrc__wt_gln__1,5.821139883283817,2.2411077535
nac_ntrc__wt_gln__2,5.682461986178022,2.2415717734999987
nac_ntrc__bw_delnac_csn__1,-3.621258002677377,1.3996019744999997
nac_ntrc__bw_delnac_csn__2,-4.797767557835468,1.7068628634999996
nac_ntrc__bw_delnac_cytd__1,2.7929532338504752,2.034409352500001
nac_ntrc__bw_delnac_cytd__2,3.212706032386274,1.9781382805
nac_ntrc__bw_delnac_gln__1,5.372144030882064,2.3228636584999998
nac_ntrc__bw_delnac_gln__2,5.30770739537746,2.2629229235
nac_ntrc__bw_delnac_nh4__1,-1.0160741799902129,-0.3211317545000005
nac_ntrc__bw_delnac_nh4__2,-1.002435173426156,-0.33999168049999984
misc__wt_no_te__1,-0.861797892799169,-0.8669320615000009
misc__wt_no_te__2,-0.0942717065339291,-0.4844581635000002
misc__bw_delcbl__1,-1.2616768492009165,-0.28719265550000017
misc__bw_delcbl__2,-1.200499096948303,-0.4352825115000005
misc__bw_delfabr__1,-1.3049293277515297,-0.4336975325000001
misc__bw_delfabr__2,-1.2138083893344396,-0.3983526615000006
misc__bw_delfadr__1,-1.6424437487378694,-0.7024347034999998
misc__bw_delfadr__2,-1.2079697387534511,-0.7518494535000002
misc__nitr_031__1,0.5212211952129799,1.8695830555
omics__wt_glu__1,-0.0928937937495479,-0.4930106595000003
omics__wt_glu__2,-1.0480340349316222,-0.4107867365000004
omics__wt_gly__1,-1.578930929149835,0.6424083654999997
omics__wt_gly__2,-1.3372106560565755,0.6454411234999995
omics__wt_thr__1,-3.468090767176084,0.4849992675000001
omics__wt_thr__2,-2.5601472984060525,0.3777853725
omics__bw_ac__1,-0.2785297662501653,-1.1329429855000006
omics__bw_ac__2,-0.4818909494247849,-0.9975638155000004
omics__bw_fum__1,-2.39186577115013,-1.1282836224999997
omics__bw_fum__2,-2.61216949328285,-1.0086983915000003
omics__bw_glc__1,-3.603264956839163,-0.21373389750000005
omics__bw_glc__2,-3.963576754067331,-0.19944722450000008
omics__bw_pyr__1,-2.559344657265137,-1.3713202664999995
omics__bw_pyr__2,-1.4352423770548264,-1.1621855385000002
ompr__wt_nacl__1,-2.161785973765128,-0.4742487524999994
ompr__wt_nacl__2,-2.6489846409199087,-0.36235043050000026
ompr__bw_delompr_nacl__1,-2.8246395393705024,-0.3721031904999999
ompr__bw_delompr_nacl__2,-2.802208384594053,-0.4593646905000002
minspan__wt_ade__1,0.2827152581055751,-2.1838632055000002
minspan__wt_glc__2,-0.1568033851922993,-0.9505896595000004
minspan__wt_glc__3,-0.4714633039791846,-0.9092726735000004
minspan__wt_glc__4,-1.8703085400768928,-0.7960748085000002
minspan__wt_glc_anaero__1,-5.598182187341803,-1.3021550304999998
minspan__wt_glc_anaero__2,-9.281249601265818,-1.5035946494999999
minspan__wt_trp__1,-2.5163342430795246,-0.9953353274999994
minspan__bw_delcra_glc__2,-1.826728820131206,-1.0402592784999998
minspan__bw_delcra_trp__1,-1.14293355564303,0.16517766650000001
minspan__bw_delmntr__1,-3.454631642666204,-0.5728476695000007
minspan__bw_delnac_ade__1,-0.8124537377669544,-1.321190606500001
minspan__bw_delnac_glc__1,0.0391465429409527,-1.0241365895000003
cra_crp__wt_ac__1,0.9003084057528389,-1.2950856365000003
cra_crp__wt_ac__2,0.8735403799907856,-1.2142403274999998
cra_crp__wt_fru__1,0.5867101026425853,-0.9904316025000002
cra_crp__wt_fru__2,0.4758232471366179,-1.1206215635000003
cra_crp__delcra_ac__1,-2.0027897160968413,-1.3056248495
cra_crp__delcra_ac__2,-1.3700107740557657,-1.2152266735
cra_crp__delcra_fru__1,-0.0870505406929502,-0.17993049050000032
cra_crp__delcra_fru__2,-0.6716183518715,-0.1304773895000002
cra_crp__delcra_glc__1,-0.8663404116756799,-0.2908591134999998
cra_crp__delcra_glc__2,-0.3914873046465655,-0.14171376050000006
rpoB__wt_031__1,-1.447261285298672,1.394999305499999
rpoB__wt_044__1,-1.752691822489897,1.5035136384999994
rpoB__wt_lb__1,3.3294982164982616,-0.9137006765000004
rpoB__wt_lb__2,2.872698875993141,-0.9558305525000002
rpoB__rpoBE546V_031__1,-1.2852063528143636,1.2908964935
rpoB__rpoBE546V_044__1,-0.858614427159508,1.2412249894999985
rpoB__rpoBE546V_lb__1,-1.627550726919545,-1.1203196115000011
rpoB__rpoBE546V_lb__2,-0.8327372010525198,-1.0573056784999997
rpoB__rpoBE546V_glc__1,-2.5338605139353314,-0.2110427684999987
rpoB__rpoBE672K_glc__1,0.4040082761857564,-0.05899533550000057
rpoB__rpoBE672K_glc__2,0.0765278234274742,-0.030604913500000382
rpoB__rpoBE672K_lb__1,-2.575523552921206,-1.6649322175000003
rpoB__rpoBE672K_lb__2,-2.810311621981008,-1.4809584065
crp__wt_fru__1,0.3931397002962379,-0.3250443155000005
crp__wt_glyc__1,1.5480092220796862,-0.6119121664999998
crp__wt_glyc__2,1.3132694012579365,-0.5592038884999999
crp__delar1_glyc__1,-1.9028431674662265,-0.5303713994999999
crp__delar1_glyc__2,-5.008574669953715,-0.43894030650000093
crp__delar1ar2_glyc__1,-0.4262967054389968,-0.7439360155000001
crp__delar1ar2_glyc__2,-0.4676437391324485,-0.7689202095000001
crp__delar1ar2_glyc__3,0.0841867522196257,-0.8432862454999999
crp__delar2_glyc__1,-4.399512107501042,-0.4887759914999998
crp__delar2_glyc__2,-4.035584551963675,-0.7579041665000004
crp__delar2_glyc__3,-5.206175642580029,-0.6376105734999999
crp__delcrp_fru__1,-2.8273591817215054,-0.26098109550000004
crp__delcrp_fru__2,-2.6284056302439063,-0.2192330834999998
crp__delcrp_fru__3,-2.4579101496747,-0.25187832750000005
