,msrB
Cr_1,0.004156298694891639
Cr_2,0.00984906080594557
Cr_3,0.016000294986064697
Cr_4,0.021966111740292626
Cr_5,0.0287890805535126
Cr_6,0.03420249442756965
Fe_1,-0.007873922984287109
Fe_2,-0.0147829036661836
Fe_3,-0.013485596837822442
Fe_4,-0.006679668370267457
Fe_5,0.011687580286872971
Fe_6,0.039371060930326864
Cd_1,0.002049609608812996
Cd_2,0.008694640894408608
Cd_3,0.017624492886740548
Cd_4,0.021758013209267183
Cd_5,0.01975485024950339
Cd_6,0.031957874678916635
Zn_1,0.004131888367327611
Zn_2,0.013534655748320728
Zn_3,0.019562236980537558
Zn_4,0.0295248405141098
Zn_5,0.0425262465140051
Zn_6,0.051261864692486066
Cu_1,0.004734129557416385
Cu_2,0.011543598216763002
Cu_3,0.01852338300143944
Cu_4,0.023537761844710417
Cu_5,0.028826155397234564
Cu_6,0.0379670563876048
Pb_1,0.007415626523635038
Pb_2,0.013518180139468584
Pb_3,0.020677778709400244
Pb_4,0.0335501712459344
Pb_5,0.0483207816991974
Pb_6,0.058660817411887216
