,sbmA
Cr_1,0.007036897864407954
Cr_2,0.014490141209812672
Cr_3,0.025093128445924952
Cr_4,0.036034235809339295
Cr_5,0.04577061375656315
Cr_6,0.05059846557631874
Fe_1,-0.008610168281749353
Fe_2,-0.029072937857424118
Fe_3,-0.0438247491714421
Fe_4,-0.06221495997559995
Fe_5,-0.07617443100013302
Fe_6,-0.08390249779680248
Cd_1,-0.0029988062843552986
Cd_2,0.003389519070359411
Cd_3,0.014663531742054418
Cd_4,0.02185038186023844
Cd_5,0.023252250314843237
Cd_6,0.031003129227847512
Zn_1,-0.010570754409446884
Zn_2,-0.009109731479959329
Zn_3,0.004203901961201762
Zn_4,0.018938509078669848
Zn_5,0.028216697281819438
Zn_6,0.033225231455671585
Cu_1,0.004031037512017757
Cu_2,0.01185532755098624
Cu_3,0.018885939694380616
Cu_4,0.025801433994693958
Cu_5,0.03558911208319972
Cu_6,0.04234299083211305
Pb_1,0.0035109412526388765
Pb_2,0.004138964630967539
Pb_3,0.013707442455978236
Pb_4,0.021188906894925787
Pb_5,0.02857927686798057
Pb_6,0.037335544063576524
