,0
gene_id,BSU_04140
name,pbpC
operon,Op309
gene_product,penicillin-binding lipoprotein 3%3B transpeptidase
cog,Cell wall/membrane/envelope biogenesis
regulator,<i>Not Available</i>
link,"<a href=""http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU_04140""><i>Subti</i>Wiki</a>"
