,BSU21880
M9exp_1,12.6032
M9exp_2,12.2681
M9exp_3,12.0406
M9tran_1,11.933
M9tran_2,12.2017
M9tran_3,12.2933
M9stat_1,10.2005
M9stat_2,9.8173
M9stat_3,9.7616
MG-0.1_1,12.2279
MG-0.1_2,11.6238
MG-0.1_3,12.7005
MG-0.2_2,11.9948
MG-0.2_3,12.4006
MG+5_1,12.425999999999998
MG+5_2,12.186
MG+5_3,11.9606
MG+10_1,12.5567
MG+10_2,12.2183
MG+10_3,12.0152
MG+15_1,11.5847
MG+15_2,12.7883
MG+15_3,12.4078
MG+25_1,12.2465
MG+25_2,11.9181
MG+25_3,12.5647
MG+45_1,12.1845
MG+45_2,11.6369
MG+45_3,12.7235
MG+60_2,12.144
MG+60_3,12.0816
MG+90_2,11.5643
MG+90_3,12.4361
MG+120_1,11.9171
MG+120_2,12.4438
MG+120_3,12.2889
MG+150_1,11.7887
MG+150_3,11.9488
GM-0.1_1,12.0055
GM-0.1_2,12.4977
GM-0.1_3,12.1798
GM-0.2_1,12.1564
GM-0.2_2,12.3036
GM-0.2_3,12.2701
GM+5_1,12.0855
GM+5_2,12.3426
GM+5_3,12.341
GM+10_2,12.2508
GM+10_3,11.1574
GM+15_1,12.1885
GM+15_2,12.159
GM+15_3,11.9446
GM+25_1,12.6197
GM+25_2,12.1995
GM+25_3,11.7614
GM+45_1,12.4638
GM+45_2,11.5678
GM+45_3,11.6877
GM+60_1,12.4238
GM+60_2,11.6582
GM+60_3,11.575
GM+90_1,12.501
GM+90_2,12.254
GM+90_3,11.7498
GM+120_1,11.5941
GM+120_3,11.9002
GM+150_1,12.1383
GM+150_2,11.8882
GM+150_3,12.0631
BT_1,11.8106
BT_2,11.2081
B36_1,12.0161
B36_2,12.0838
B60_1,11.6227
B60_2,11.7609
S0_1,11.6532
S0_2,11.598
S0_3,11.777
S1_1,13.0061
S1_2,13.1831
S1_3,13.1064
S2_1,12.9308
S2_2,12.894
S2_3,12.8962
S3_1,12.6588
S3_2,12.329
S4_1,11.928
S4_2,11.8623
S4_3,11.5981
S5_1,11.6128
S5_2,11.8408
S5_3,11.9609
S6_1,11.0155
S6_2,8.7012
S6_3,11.3308
S6/t_1,10.6787
S6/t_2,8.7213
S6_4,10.8132
S6_5,11.2351
S6_6,11.0782
S7_4,11.0628
S7_5,10.6646
S7_6,10.9767
S8_4,10.2454
S8_5,9.4359
G135_1,11.4578
G135_3,9.7218
G150_1,11.5088
G150_2,11.8054
G150_3,11.6243
G180_1,11.4766
G180_2,11.9625
G180_3,10.4146
T-5.40H_1,12.8418
T-4.40H_1,12.5511
T-3.40H_1,12.5982
T-2.40H_1,12.4075
T-1.40H_1,12.2001
T-1.10H_1,12.3123
T-0.40H_1,12.3249
T0.0H_1,12.1664
T0.30H_1,10.4417
T1.0H_1,10.937
T1.30H_1,10.7739
T2.0H_1,10.9387
T2.30H_1,11.9863
T3.0H_1,11.5448
T3.30H_1,11.8122
T4.0H_1,11.8899
T5.0H_1,11.2935
LBexp_1,12.1643
LBexp_2,12.0092
LBexp_3,11.7445
LBtran_1,12.4644
LBtran_2,12.1383
LBtran_3,12.2109
LBstat_1,12.7894
LBstat_2,12.3687
LBstat_3,12.2928
LBGexp_1,11.8397
LBGexp_2,12.0211
LBGexp_3,11.7492
LBGtran_2,12.3281
LBGtran_3,12.6943
LBGstat_1,11.0365
LBGstat_2,10.4288
LBGstat_3,11.9735
Mt0_1,12.3797
Mt0_3,12.4471
M0t45_1,12.8656
M0t45_2,12.2847
M0t45_3,13.3053
M0t90_1,12.0167
M0t90_2,12.9798
M0t90_3,12.7011
M40t45_1,12.4742
M40t45_2,12.7761
M40t45_3,13.2271
M40t90_1,12.2863
M40t90_2,12.4759
M40t90_3,12.8966
dia0_1,11.7828
dia0_2,11.9765
dia0_3,12.3929
dia5_1,13.6305
dia5_2,13.7127
dia5_3,13.844
dia15_1,14.345999999999998
dia15_2,13.9683
dia15_3,13.3429
C30_1,10.7351
C30_2,11.133
C90_1,12.69
C90_2,12.9802
SMM_1,11.9525
SMM_2,11.9795
SMM_3,12.0734
Salt_1,12.4083
Salt_2,12.2496
Salt_3,12.4068
M+G_1,12.231
M+G_2,11.9024
M+G_3,12.0272
Glu_1,12.5457
Glu_2,12.3606
Glu_3,12.4549
Fru_1,12.4079
Fru_2,12.5326
Fru_3,12.148
Mal_1,11.7161
Mal_2,11.9627
Mal_3,12.1866
G+S_2,12.3107
G+S_3,12.3803
Pyr_1,11.5334
Pyr_2,11.931
Pyr_3,11.9118
Gly_1,11.2215
Gly_2,11.7965
Gly_3,10.2058
Glucon_1,11.4511
Glucon_2,11.9343
Glucon_3,10.9799
BI_1,13.0703
BI_2,13.3914
BC_2,13.1991
BC/t_1,12.7718
BC/t_2,13.0406
BC_1,12.6958
Sw_1,12.952
Sw_2,13.5267
BMM_1,12.0807
BMM_2,11.8591
BMM_3,11.9923
Heat_1,12.9542
Heat_2,12.8268
Heat_3,12.4631
Cold_1,11.7209
Cold_2,10.9884
Cold_3,10.531
Etha_1,12.8758
Etha_2,12.39
Etha_3,12.9247
SMMPr_1,12.3424
SMMPr_2,12.4204
SMMPr_3,12.4564
HiTm_1,12.5168
HiTm_2,12.3579
HiTm_3,12.6213
LoTm_1,11.9562
LoTm_2,11.609000000000002
LoTm_3,11.697
HiOs_1,12.7462
HiOs_2,12.4115
HiOs_3,12.5406
Oxctl_1,11.2888
Oxctl_2,11.3122
Oxctl_3,11.8136
Diami_1,12.9293
Diami_2,13.6508
Diami_3,13.4305
Paraq_1,11.694
Paraq_2,12.2423
Paraq_3,10.8072
H2O2_1,12.9308
H2O2_2,13.1662
H2O2_3,13.1985
HPh_1,12.0118
HPh_2,11.7524
HPh_3,11.9315
LPh_1,12.1029
LPh_2,12.5639
LPh_3,11.9641
LPhT_1,12.9594
LPhT_2,12.6249
LPhT_3,12.8433
aero_1,12.2489
aero_2,11.429
aero_3,12.322
nit_1,12.0784
nit_2,12.3848
