,A,Fur
R2,,0.006055386366233817
xmin,,-9.893921886000001
xmid,,-1.3493798796683667
xmax,,2.690967163999998
ystart,,-3.3996676757068625
yend,,0.05139190487471357
control__wt_glc__1,-0.0909599382261653,-0.05856442000000151
control__wt_glc__2,0.0909599382261877,0.05856441999999973
fur__wt_dpd__1,5.141262152847137,-0.1957192190000008
fur__wt_dpd__2,5.2985884845457,-0.2143640890000018
fur__wt_fe__1,-1.376196914698243,-0.1279276850000013
fur__wt_fe__2,-3.195554635706713,-0.03605009300000184
fur__delfur_dpd__1,4.906863805202744,-9.893921886000001
fur__delfur_dpd__2,4.57293910320638,-9.018917862999999
fur__delfur_fe2__1,5.999135112660908,-9.893921886000001
fur__delfur_fe2__2,5.851255656888472,-9.893921886000001
acid__wt_ph5__1,-0.4267402292862903,-0.381853244000002
acid__wt_ph5__2,-0.8079374983180712,-0.42914538600000185
acid__delgadx_ph5__2,-1.784143862051887,-0.3711784620000014
acid__delgadw_ph5__1,-8.37459195417406,-0.4529754160000011
acid__delgadw_ph5__2,-8.480812033310814,-0.393817588000001
acid__delgade_ph5__1,-1.022458406488707,-0.3531133380000018
acid__delgade_ph5__2,-1.1062294662877028,-0.3876910010000003
oxidative__wt_pq__1,4.398582042335252,0.3589120039999987
oxidative__wt_pq__2,4.83094108782528,0.4246056039999981
oxidative__deloxyr_pq__1,4.782873619191946,0.7270403439999988
oxidative__deloxyr_pq__2,5.068870981177586,0.6809726839999986
oxidative__delsoxr_pq__1,5.829741711072677,-0.46000364200000204
oxidative__delsoxr_pq__2,5.573804174832162,-0.471555094000001
oxidative__delsoxs_pq__1,5.269500794953371,-0.492841931000001
oxidative__delsoxs_pq__2,5.298814665007771,-0.5371611600000019
nac_ntrc__wt_csn__1,-0.3859819220070363,0.3531389039999997
nac_ntrc__wt_csn__2,-0.4374129399174606,0.2175931039999988
nac_ntrc__wt_cytd__1,1.3624935051695255,0.34649922399999866
nac_ntrc__wt_cytd__2,1.0277725547320644,0.34524395399999896
nac_ntrc__wt_gln__1,-4.673480393586253,-0.10786336500000182
nac_ntrc__wt_gln__2,-5.402385173978998,-0.19360292800000067
nac_ntrc__bw_delnac_csn__1,0.5506396589597865,0.1898647839999992
nac_ntrc__bw_delnac_csn__2,3.23978312717997,0.3111435139999994
nac_ntrc__bw_delnac_cytd__1,0.3029283463656333,-0.028041380000001226
nac_ntrc__bw_delnac_cytd__2,0.2224047412360662,-0.16544115900000025
nac_ntrc__bw_delnac_gln__1,2.0752356857563536,-0.3585067980000005
nac_ntrc__bw_delnac_gln__2,2.059531232259287,-0.23765852300000034
nac_ntrc__bw_delnac_nh4__1,1.3694066583327285,-0.4802883460000018
nac_ntrc__bw_delnac_nh4__2,1.3291624412036267,-0.4589034900000009
misc__wt_no_te__1,5.196455799900819,-0.3809469990000007
misc__wt_no_te__2,5.6254825942189575,-0.4244144910000003
misc__bw_delcbl__1,3.950731549531031,-0.4613713430000015
misc__bw_delcbl__2,3.6533960515997577,-0.4243600530000009
misc__bw_delfabr__1,0.3511442958734821,-0.5693764170000009
misc__bw_delfabr__2,0.1170550654119502,-0.6130827070000002
misc__bw_delfadr__1,4.627085096576946,-0.4484904870000008
misc__bw_delfadr__2,5.011929997045782,-0.4407528980000013
misc__nitr_031__1,1.999011733829797,-0.5032798200000013
omics__wt_glu__1,-7.9221296453041905,-0.6301335670000014
omics__wt_glu__2,-7.8129225619682225,-0.5881912760000017
omics__wt_gly__1,-1.97049442466218,-0.9042790750000016
omics__wt_gly__2,-1.947011263312864,-0.9186470580000012
omics__wt_thr__1,-9.193940072022338,-0.5030991400000016
omics__wt_thr__2,-9.186308576728925,-0.6095045740000007
omics__bw_ac__1,-1.1174882241505475,-0.05943304700000063
omics__bw_ac__2,-0.7206372460796783,-0.031227748000000943
omics__bw_fum__1,-0.6214161871480247,-0.005709301000001332
omics__bw_fum__2,-0.7527067542947034,0.06492178399999915
omics__bw_glc__1,0.5569750068800254,-0.011917744000001562
omics__bw_glc__2,0.6389938072922462,0.042641121999999136
omics__bw_pyr__1,-0.3621163547741836,-0.1897242670000008
omics__bw_pyr__2,-0.4806873327488858,-0.11746483300000145
ompr__wt_nacl__1,2.993445959547797,-0.4003038250000017
ompr__wt_nacl__2,3.094708623380309,-0.5040656860000006
ompr__bw_delompr_nacl__1,0.8856591422364866,-0.6329631790000008
ompr__bw_delompr_nacl__2,0.9256624692544864,-0.5432963440000016
minspan__wt_ade__1,-8.266205348018755,0.1950769639999983
minspan__wt_glc__2,-6.4643550341656,-0.5062775780000006
minspan__wt_glc__3,-6.716471721535205,-0.4478649260000012
minspan__wt_glc__4,-5.809937594592335,-0.4159522540000005
minspan__wt_glc_anaero__1,-20.137953130079907,-0.8732856050000013
minspan__wt_glc_anaero__2,-20.942545460590704,-1.1573574430000022
minspan__wt_trp__1,-23.686670026832736,-0.8682358340000018
minspan__bw_delcra_glc__2,-18.63700012835964,-0.918542673000001
minspan__bw_delcra_trp__1,-23.160952046816675,-1.0050222800000004
minspan__bw_delmntr__1,-18.93863219866574,-0.6837856210000021
minspan__bw_delnac_ade__1,-3.320935828627699,-0.10771740100000038
minspan__bw_delnac_glc__1,-13.90787101339098,-0.4676162420000018
cra_crp__wt_ac__1,1.442292817981764,-0.4184685140000006
cra_crp__wt_ac__2,1.638629676904488,-0.4837280460000013
cra_crp__wt_fru__1,-1.914594072091452,-0.5927702050000008
cra_crp__wt_fru__2,-1.5170599348179763,-0.5684782950000002
cra_crp__delcra_ac__1,5.33334417288667,-0.24041298600000086
cra_crp__delcra_ac__2,5.363575985036591,-0.24856326700000156
cra_crp__delcra_fru__1,5.81719209442803,-0.4804104860000002
cra_crp__delcra_fru__2,5.712318487726195,-0.45491749600000203
cra_crp__delcra_glc__1,1.51816479249907,-0.5044518310000008
cra_crp__delcra_glc__2,1.6201815199265364,-0.5782221740000004
rpoB__wt_031__1,-3.822416041504623,-0.0639623620000016
rpoB__wt_044__1,-2.6394371337259366,-0.4813517700000016
rpoB__wt_lb__1,-3.511867092080202,-0.4097031700000002
rpoB__wt_lb__2,-3.19585333501471,-0.4397556490000003
rpoB__rpoBE546V_031__1,-4.260296678742537,-0.02818371500000083
rpoB__rpoBE546V_044__1,-3.4425389910017192,-0.1231944390000006
rpoB__rpoBE546V_lb__1,-2.230490245672464,-0.354521452000002
rpoB__rpoBE546V_lb__2,-2.4569722072565905,-0.3362111970000008
rpoB__rpoBE546V_glc__1,2.7252884849570456,-0.3201136900000012
rpoB__rpoBE672K_glc__1,2.2415691569574965,-0.3851041260000017
rpoB__rpoBE672K_glc__2,2.126227165096146,-0.29302495700000186
rpoB__rpoBE672K_lb__1,-3.4643015079237323,-0.5939588210000011
rpoB__rpoBE672K_lb__2,-3.331143834892817,-0.6341407580000009
crp__wt_fru__1,-0.8166432044097084,-0.2600379380000017
crp__wt_glyc__1,-1.7141406667948014,-0.3221976040000012
crp__wt_glyc__2,-0.686265692879843,-0.2873658260000003
crp__delar1_glyc__1,3.3279615425866744,-0.4691205860000007
crp__delar1_glyc__2,3.960170285585428,-0.3487315320000004
crp__delar1ar2_glyc__1,-2.5785850423755106,-0.1273671140000019
crp__delar1ar2_glyc__2,-0.9588017898311136,-0.20766186300000025
crp__delar1ar2_glyc__3,0.0086944148176378,-0.21472747900000044
crp__delar2_glyc__1,-4.678106814841525,-0.40980044600000204
crp__delar2_glyc__2,-5.567889878138184,-0.3176280980000019
crp__delar2_glyc__3,-7.1664078335358825,-0.2172634550000012
crp__delcrp_fru__1,0.7055992712801377,-0.3561060850000004
crp__delcrp_fru__2,0.9033872074984104,-0.41211249100000025
crp__delcrp_fru__3,0.7702036138941406,-0.3683071580000004
crp__delcrp_glc__1,0.9446632636993876,-0.3107869630000017
crp__delcrp_glc__2,1.4769681793496343,-0.20313099300000026
crp__delcrp_glc__3,1.3339247164792511,-0.11371775700000165
crp__delcrp_glyc__1,5.157115823992187,-0.3108162630000013
crp__delcrp_glyc__2,5.5214025566160965,-0.2724169870000015
crp__delcrp_glyc__3,5.069564048773864,-0.17298061400000184
glu__glu_ale3__1,1.984151880223581,-0.11348783900000114
glu__glu_ale4__1,3.0047125612206638,-0.4042317080000011
glu__glu_ale5__1,2.7356175668282408,-0.5413718180000018
glu__glu_ale6__1,-5.561772367697424,-0.5107351970000007
glu__glu_ale8__1,0.6288334083623756,-0.17424917300000153
glu__glu_ale9__1,-0.6352631914648494,-0.4486836690000011
glu__glu_ale10__1,-1.843296403847178,-0.3418371710000017
42c__wt_42c__1,0.3933092507429326,-0.6408752710000005
42c__42c_ale1__1,-10.366395903248318,-0.33499931300000085
42c__42c_ale2__1,3.019085748741887,-0.7000506260000012
42c__42c_ale3__1,2.628484747615903,-0.4270892910000015
42c__42c_ale4__1,6.711152324283986,-0.4444651490000009
42c__42c_ale5__1,0.1268775581475896,-0.4817193690000003
42c__42c_ale6__1,-9.715051209919354,0.29714986399999965
42c__42c_ale8__1,5.642857637494792,0.2008749839999986
42c__42c_ale9__1,1.252214235717404,-0.5284417600000015
42c__42c_ale10__1,5.263056488188421,0.18875615399999826
ssw__wt_ac__1,3.1810045873432524,-0.3096302940000015
ssw__wt_glc__1,0.7027361325826409,-0.2624254890000017
ssw__wt_glyc__1,-10.76532342580061,-0.3403528810000012
