,yeaV
Cr_1,0.0041845870608297146
Cr_2,0.005981240763627868
Cr_3,0.008799571262471828
Cr_4,0.008857235070542709
Cr_5,0.005590336418303039
Cr_6,0.005028462782649669
Fe_1,-0.007077250511249025
Fe_2,-0.02208001396182964
Fe_3,-0.031077917289968227
Fe_4,-0.037090489328486895
Fe_5,-0.043183651938664185
Fe_6,-0.04219052213142707
Cd_1,0.001577718544720768
Cd_2,-0.0005524751876419535
Cd_3,-0.00014434344621436525
Cd_4,-0.002544002354877028
Cd_5,-0.007112232486222446
Cd_6,-0.006300415660177625
Zn_1,-0.004296192906119668
Zn_2,-0.0013346689255916786
Zn_3,0.01094746663281131
Zn_4,0.021022188663750677
Zn_5,0.030823928111118976
Zn_6,0.031052620555362436
Cu_1,0.008428290915939638
Cu_2,0.016737212005900632
Cu_3,0.021681595499281395
Cu_4,0.026494515549708983
Cu_5,0.032903145833475735
Cu_6,0.04088591515370465
Pb_1,0.004067410897241882
Pb_2,0.012012331398201823
Pb_3,0.022249575011421312
Pb_4,0.026621926872187097
Pb_5,0.031410660828415
Pb_6,0.041504224154049724
