,A,GbdR
R2,,0.007476835558075656
xmin,,-2.266810446666666
xmid,,
xmax,,4.350037528666666
ystart,,-1.4894205247383852
yend,,1.55068852264356
ALE:GalactoseA5:1.0,2.3139714741239303,1.9077518614999995
ALE:GalactoseA5:2.0,1.5561860949074957,1.859825247499999
ALE:GalactoseA6:1.0,2.570787656601266,1.6019968874999997
ALE:GalactoseA6:2.0,1.912662537052594,1.5648997244999991
ALE:GalactoseA8:1.0,3.4844708879454225,1.2786304874999992
ALE:GalactoseA8:2.0,3.626598737471665,1.3118285714999995
ALE:IL_Control:1.0,-0.918215046420514,-0.3242200835000002
ALE:IL_Control:2.0,-0.146698659558018,0.0744360854999994
ALE:IL_Control:3.0,0.3418222718970461,0.2196246334999996
ALE:IL_Control:4.0,0.7230914323764872,0.0301593644999993
ALE:IL_TEOH_OAc:1.0,-3.3181712954064526,0.2745112934999989
ALE:IL_TEOH_OAc:2.0,0.6767187277654628,1.188856305499999
ALE:IL_TEA_HS:1.0,0.0183324517260453,0.8987526914999995
ALE:IL_TEA_HS:2.0,-1.1755476474395357,0.3591497094999996
ALE:IL_Mixed:1.0,1.7062929419001298,1.1107978904999998
ALE:IL_Mixed:2.0,0.7352989152506327,1.0036530304999998
ALE:IL_PP5350:1.0,-2.881694898690061,-2.1301202855000008
ALE:IL_PP5350:2.0,-2.4814348515451945,-1.8482060275000007
ALE:IL_T8:1.0,-1.99319759697557,-0.7442195615000005
ALE:IL_T8:2.0,-1.5808333743776506,-0.6166757405000007
ALE:IL_T9:1.0,2.724820739290044,-0.5700126145000004
ALE:IL_T9:2.0,2.1275595032032,-0.2465595635000008
ALE:IL_Control2:1.0,-0.15854265757848,-0.4939371115000011
ALE:IL_Control2:2.0,-1.1770470863032767,-0.2093156195000007
ALE:IL_Glc+Ace:1.0,-1.2546234306845625,0.1253260894999996
ALE:IL_Glc+Ace:2.0,-0.6603550424085651,0.2030276744999994
ALE:XyloseA1:1.0,2.866125637240976,1.9852185754999996
ALE:XyloseA1:2.0,3.002480455870682,2.0311377975
ALE:XyloseA2:1.0,3.5141884345040624,2.0441954934999997
ALE:XyloseA2:2.0,4.57202093239404,2.3065798484999998
ALE:XyloseA3:1.0,4.836747145228248,2.235730534499999
ALE:XyloseA3:2.0,4.947639701799769,2.3138841015
ALE:XyloseA4:1.0,3.611654006198692,2.0980826315
ALE:XyloseA4:2.0,3.25867428526315,2.0986989714999997
Aromatic:Coumarate:1.0,1.2538948422457554,2.033812202
Aromatic:Coumarate:2.0,2.175011163287121,2.3584772949999997
Aromatic:Coumarate:3.0,1.672838864015762,1.8352690849999995
Aromatic:Coumarate+ferulate:1.0,1.90606694094704,1.546681294
Aromatic:Coumarate+ferulate:2.0,1.634709653205229,1.2017291379999993
Aromatic:Coumarate+ferulate:3.0,0.6981196580296873,1.3619541709999998
Aromatic:Ferulate:1.0,2.164925890861934,2.156558561
Aromatic:Ferulate:2.0,2.087224434079625,1.932214633
Aromatic:Ferulate:3.0,0.889367136499402,1.817806456
Aromatic:Glucose:1.0,-0.7395667046181562,-0.1336846789999999
Aromatic:Glucose:2.0,0.1375525267003093,0.1921895979999996
Aromatic:Glucose:3.0,0.6020141770535978,-0.0585049190000006
Bioreactor1:24h:1.0,-2.595864212845088,-0.1305443715000009
Bioreactor1:24h:2.0,2.595864212897868,0.1305443714999992
Bioreactor2:S_0min:1.0,-0.712445832983087,-0.1603335183333332
Bioreactor2:S_15min:1.0,-0.9723475125843828,0.2400154566666668
Bioreactor2:P1_15min:1.0,-0.3163678170738234,0.261628305666667
Bioreactor2:P3_15min:1.0,-0.3354850635735883,0.6772444256666672
Bioreactor2:P5_15min:1.0,0.8613182354302374,1.049452438666667
Bioreactor2:S_1h:1.0,-0.6650250362248005,0.0183102876666669
Bioreactor2:S_3h:1.0,-0.7368695662054899,0.1104469376666665
Bioreactor2:S_9h:1.0,0.4227417134373152,0.2307561636666664
Bioreactor2:S_25h:1.0,-1.6890313702689717,0.2185514026666668
Bioreactor2:P1_25h:1.0,-1.012102128268442,0.2322966536666664
Bioreactor2:P3_25h:1.0,-0.0003424270243155,0.6517394456666672
Bioreactor2:P5_25h:1.0,2.601709355393404,1.050539028666667
Bioreactor2:S_0min:2.0,1.5193725747310018,0.2246512276666665
Bioreactor2:S_15min:2.0,-0.0054360032488879,-0.0442463523333334
Bioreactor2:P1_15min:2.0,0.1919287341327915,-0.0188725843333328
Bioreactor2:P3_15min:2.0,-0.3226670437103983,0.9931874506666664
Bioreactor2:P5_15min:2.0,0.7873684833476565,1.1826016286666672
Bioreactor2:S_1h:2.0,-0.7622916172316416,0.0076224336666665
Bioreactor2:S_3h:2.0,-0.5476733750999646,0.0618030166666665
Bioreactor2:S_9h:2.0,-0.1635724803462672,0.1928304316666667
Bioreactor2:S_25h:2.0,-0.2657735592070905,-0.0005351913333333
Bioreactor2:P1_25h:2.0,-0.0513759181749486,0.0691450226666665
Bioreactor2:P3_25h:2.0,0.4843262429261514,0.5545602586666671
Bioreactor2:P5_25h:2.0,2.7323643696425943,1.2077459646666666
Bioreactor2:S_0min:3.0,-0.8069267422158076,-0.0643177093333333
Bioreactor2:S_15min:3.0,-1.4624727524729395,0.2931990166666667
Bioreactor2:P1_15min:3.0,-1.1568745664664828,0.0585734956666668
Bioreactor2:P3_15min:3.0,-0.0938244861294382,0.5629201766666672
Bioreactor2:P5_15min:3.0,0.6446504086865051,1.212561547666667
Bioreactor2:S_1h:3.0,-0.799924360931656,0.2429072416666668
Bioreactor2:S_3h:3.0,-1.421097041686208,0.2939443326666664
Bioreactor2:S_9h:3.0,-1.1698437543854625,0.3578454856666671
Bioreactor2:S_25h:3.0,-1.426924788052136,0.0231043176666672
Bioreactor2:P1_25h:3.0,-1.017489329249765,0.1218019356666664
Bioreactor2:P3_25h:3.0,0.381105322187407,0.6100479066666669
Bioreactor2:P5_25h:3.0,1.751036088105384,1.1239325776666664
Carbon:Citrate:1.0,2.560248987390384,0.6904395645000001
Carbon:Citrate:2.0,1.8177218071251,0.9941187674999998
Carbon:Citrate:3.0,1.081994223306561,0.3163046715000002
Carbon:Ferulate:1.0,2.5928550555407752,0.2008993884999999
Carbon:Ferulate:2.0,3.253797998407433,0.2843694475000005
Carbon:Ferulate:3.0,2.7031631808820564,0.1387666625000001
Carbon:Glucose:1.0,-0.9166303482290994,0.0655912325000001
Carbon:Glucose:2.0,0.9166303479178356,-0.0655912325000001
Carbon:Serine:1.0,1.8787509324483005,2.4494935835
Carbon:Serine:2.0,2.0519623906433053,2.1864190325
Carbon:Serine:3.0,2.9980752836142,1.5639349965000005
Carbon2:Glucose:1.0,-0.4281738788941378,0.0092072989999998
Carbon2:Glucose:2.0,0.1968615867554255,-0.0004889330000006
Carbon2:Glucose:3.0,0.2313122935166693,-0.008718366
Carbon2:Coumarate:1.0,-2.5064225910492426,0.2001378019999995
Carbon2:Coumarate:2.0,-1.4287466179019972,0.1929478800000001
Carbon2:Coumarate:3.0,-1.9458341028221349,0.3898012619999997
