,cysB
Cr_1,0.0063136600819779275
Cr_2,0.018513513488381813
Cr_3,0.03414985324299494
Cr_4,0.044680267050717225
Cr_5,0.052644001272432135
Cr_6,0.05942121469269484
Fe_1,-0.006708306012975644
Fe_2,-0.009591384530832315
Fe_3,-0.012920450839364512
Fe_4,-0.022491074395397697
Fe_5,-0.031003401209052324
Fe_6,-0.03822622882059158
Cd_1,0.0040232560467612566
Cd_2,0.009876113546905816
Cd_3,0.01535050820560665
Cd_4,0.02180427106052839
Cd_5,0.021460118095598498
Cd_6,0.02708262384958814
Zn_1,-0.002494503176944105
Zn_2,0.008376955959119655
Zn_3,0.032556834633621884
Zn_4,0.059893822100907934
Zn_5,0.08858543877345182
Zn_6,0.11447997682532834
Cu_1,-0.0012344373326084186
Cu_2,0.003474713276836333
Cu_3,0.010146112099869268
Cu_4,0.011731394027947494
Cu_5,0.01534285096607604
Cu_6,0.02062153519946832
Pb_1,0.008484978362900509
Pb_2,0.01817361878383042
Pb_3,0.02774935752886735
Pb_4,0.04242918994955222
Pb_5,0.05728506493997774
Pb_6,0.07610141418450751
