,hcp
Cr_1,-0.006108130379338696
Cr_2,-0.006743683612478866
Cr_3,-0.004476088495143028
Cr_4,0.0009959469142704152
Cr_5,0.0009453214971449133
Cr_6,-0.004644362259124639
Fe_1,-0.020078213771742164
Fe_2,-0.051028803705274926
Fe_3,-0.08512344014746177
Fe_4,-0.11967090211450995
Fe_5,-0.14763929582109933
Fe_6,-0.160344535488464
Cd_1,0.007172157757404903
Cd_2,0.009423936617174094
Cd_3,0.012310861853546023
Cd_4,0.011602680894230256
Cd_5,0.012169928531347915
Cd_6,0.02224655543686429
Zn_1,-0.0011022894321517892
Zn_2,1.5699393084248555e-05
Zn_3,0.0062538793386526315
Zn_4,0.007075972202784444
Zn_5,0.017644874708487374
Zn_6,0.02200724499340365
Cu_1,0.0030600944808153604
Cu_2,0.0061567325049748135
Cu_3,0.01270324882202165
Cu_4,0.016608320425966296
Cu_5,0.022707023505721013
Cu_6,0.026333564870266613
Pb_1,-0.005863693969463442
Pb_2,-0.010506149693434491
Pb_3,-0.007783195144098808
Pb_4,-0.008202437185068735
Pb_5,-0.001465678373913625
Pb_6,3.808313513544295e-05
