,fadL
Cr_1,-0.002942605584033336
Cr_2,-0.01366567528868539
Cr_3,-0.025047269910006883
Cr_4,-0.025426699158604224
Cr_5,-0.02198194259584186
Cr_6,-0.008116411512123433
Fe_1,-0.015091530653365963
Fe_2,-0.021893742832045503
Fe_3,-0.014587451723745128
Fe_4,-0.012055427835493418
Fe_5,-0.015220876269842937
Fe_6,-0.02114570352932059
Cd_1,0.004331262694997658
Cd_2,0.0041981315507743245
Cd_3,0.0060981394131994025
Cd_4,0.005433109147984424
Cd_5,0.0052895882931819575
Cd_6,0.012968099477622176
Zn_1,-0.004378755894464831
Zn_2,-0.010107624653090152
Zn_3,-0.013387322412874826
Zn_4,-0.010387126935789909
Zn_5,-0.0045925816086633845
Zn_6,0.0047539142194280145
Cu_1,-0.0026735018568021514
Cu_2,0.0046896339716320365
Cu_3,0.017127697676125073
Cu_4,0.023279194070485544
Cu_5,0.02722808257896841
Cu_6,0.03717671339025682
Pb_1,-0.0010213410303116382
Pb_2,0.0046359053396124025
Pb_3,0.01236216695230373
Pb_4,0.01796927185109983
Pb_5,0.026771668193979786
Pb_6,0.03825853857129485
