,BSU27550
M9exp_1,13.8582
M9exp_2,13.3493
M9exp_3,13.1337
M9tran_1,12.9308
M9tran_2,12.9292
M9tran_3,13.1817
M9stat_1,9.4592
M9stat_2,8.9377
M9stat_3,8.7397
MG-0.1_1,13.4779
MG-0.1_2,12.4816
MG-0.1_3,13.9453
MG-0.2_2,13.2771
MG-0.2_3,13.3668
MG+5_1,13.4193
MG+5_2,13.3473
MG+5_3,13.2679
MG+10_1,13.7497
MG+10_2,13.5481
MG+10_3,12.598
MG+15_1,12.968
MG+15_2,13.9375
MG+15_3,13.6269
MG+25_1,13.5463
MG+25_2,13.0952
MG+25_3,13.5808
MG+45_1,13.1482
MG+45_2,12.939
MG+45_3,14.0191
MG+60_2,13.4906
MG+60_3,13.5452
MG+90_2,13.1757
MG+90_3,13.5763
MG+120_1,12.9124
MG+120_2,13.5923
MG+120_3,13.0371
MG+150_1,13.075
MG+150_3,13.0175
GM-0.1_1,13.1668
GM-0.1_2,13.8629
GM-0.1_3,13.4436
GM-0.2_1,13.2156
GM-0.2_2,13.3219
GM-0.2_3,13.3829
GM+5_1,12.896
GM+5_2,13.4077
GM+5_3,13.4063
GM+10_2,13.3389
GM+10_3,12.3621
GM+15_1,13.4597
GM+15_2,13.124
GM+15_3,12.9033
GM+25_1,13.8208
GM+25_2,13.3476
GM+25_3,12.8422
GM+45_1,13.6778
GM+45_2,12.6873
GM+45_3,12.649
GM+60_1,13.715
GM+60_2,12.8112
GM+60_3,12.4766
GM+90_1,13.7587
GM+90_2,13.9431
GM+90_3,12.9309
GM+120_1,12.909
GM+120_3,13.3778
GM+150_1,13.3132
GM+150_2,12.645
GM+150_3,13.3454
BT_1,12.5883
BT_2,11.8992
B36_1,12.1438
B36_2,12.1173
B60_1,10.9843
B60_2,10.6621
S0_1,13.0477
S0_2,13.0137
S0_3,13.1251
S1_1,14.9415
S1_2,14.7739
S1_3,14.7935
S2_1,12.8479
S2_2,13.3228
S2_3,12.9653
S3_1,13.1889
S3_2,13.1287
S4_1,12.8861
S4_2,12.7191
S4_3,12.3409
S5_1,12.6743
S5_2,12.678
S5_3,12.7509
S6_1,11.7523
S6_2,9.9908
S6_3,11.6577
S6/t_1,11.4468
S6/t_2,9.608
S6_4,11.4375
S6_5,12.1649
S6_6,12.3534
S7_4,11.8398
S7_5,11.6117
S7_6,11.9375
S8_4,11.126
S8_5,10.7266
G135_1,13.6824
G135_3,11.8056
G150_1,13.2174
G150_2,13.9261
G150_3,13.9856
G180_1,13.4783
G180_2,13.7207
G180_3,12.7444
T-5.40H_1,13.4126
T-4.40H_1,13.3411
T-3.40H_1,13.2992
T-2.40H_1,13.0076
T-1.40H_1,12.9221
T-1.10H_1,13.2399
T-0.40H_1,12.7707
T0.0H_1,12.7675
T0.30H_1,10.2361
T1.0H_1,10.7438
T1.30H_1,10.1004
T2.0H_1,10.4081
T2.30H_1,11.1486
T3.0H_1,10.6383
T3.30H_1,11.0508
T4.0H_1,11.0908
T5.0H_1,10.636
LBexp_1,13.3654
LBexp_2,13.2685
LBexp_3,13.1034
LBtran_1,12.9803
LBtran_2,13.7983
LBtran_3,14.1618
LBstat_1,11.8833
LBstat_2,11.7321
LBstat_3,11.6719
LBGexp_1,13.7722
LBGexp_2,13.6101
LBGexp_3,13.7497
LBGtran_2,13.5134
LBGtran_3,13.8136
LBGstat_1,11.6217
LBGstat_2,11.0318
LBGstat_3,12.4317
Mt0_1,13.2274
Mt0_3,13.4062
M0t45_1,14.8215
M0t45_2,13.3809
M0t45_3,14.5194
M0t90_1,11.994000000000002
M0t90_2,12.3362
M0t90_3,12.4542
M40t45_1,14.4921
M40t45_2,13.6874
M40t45_3,14.5892
M40t90_1,12.4014
M40t90_2,12.2137
M40t90_3,12.5425
dia0_1,13.077
dia0_2,13.3506
dia0_3,13.6121
dia5_1,12.6973
dia5_2,12.7643
dia5_3,12.9794
dia15_1,12.3725
dia15_2,13.3208
dia15_3,12.8531
C30_1,11.6936
C30_2,12.0662
C90_1,14.3481
C90_2,14.5173
