,ybjP
Cr_1,-0.002358301554307409
Cr_2,-0.0021028014536090714
Cr_3,0.0035900483226288726
Cr_4,0.010167690259843126
Cr_5,0.014057395405248224
Cr_6,0.014368872056507963
Fe_1,-0.012827856559517178
Fe_2,-0.044981354962482116
Fe_3,-0.08874088235694791
Fe_4,-0.13308309896696388
Fe_5,-0.16633879429463527
Fe_6,-0.1988641533308963
Cd_1,0.0007708218146442009
Cd_2,0.003223170754605386
Cd_3,0.00695659117985971
Cd_4,0.012135019769979018
Cd_5,0.010941452266118713
Cd_6,0.013416191980651538
Zn_1,-0.006832788888065588
Zn_2,-0.0164991461687531
Zn_3,-0.02052509072372348
Zn_4,-0.020701460115806848
Zn_5,-0.012644863943630765
Zn_6,-0.004945885872132881
Cu_1,0.001995625287248772
Cu_2,0.013178171479842364
Cu_3,0.027009313170231017
Cu_4,0.03119236883635312
Cu_5,0.0411972594254296
Cu_6,0.04706068573644163
Pb_1,0.010227852345229788
Pb_2,0.02180482791079829
Pb_3,0.03912065138564472
Pb_4,0.05689103748327076
Pb_5,0.06932597269147163
Pb_6,0.08370831213730258
