,condition,A_avg,A_std,n,rep1_idx,rep1_A,rep2_idx,rep2_A,rep3_idx,rep3_A,rep4_idx,rep4_A,rep5_idx,rep5_A,rep6_idx,rep6_A,rep7_idx,rep7_A,rep8_idx,rep8_A,rep9_idx,rep9_A,rep10_idx,rep10_A,rep11_idx,rep11_A,rep12_idx,rep12_A,rep13_idx,rep13_A,rep14_idx,rep14_A,rep15_idx,rep15_A,rep16_idx,rep16_A,rep17_idx,rep17_A,rep18_idx,rep18_A,rep19_idx,rep19_A,rep20_idx,rep20_A,rep21_idx,rep21_A
0,ME_vs_LE__THY_None_WT_earlylog-planktonic,0.0,1.7219288717219654,3.0,0.0,0.6664940008,1.0,1.2890594902,2.0,-1.955553491,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,ME_vs_LE__THY_None_WT_latelog-planktonic,23.655041423733334,4.787871025105196,3.0,3.0,26.2093828973,4.0,26.6240705975,5.0,18.1316707764,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,ME_vs_LE__THY_None_WT_earlystationary-planktonic,22.638930737933336,2.253015901320969,3.0,6.0,21.2229038886,7.0,21.456909342,8.0,25.2369789832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,ME_vs_S__THY_None_WT_mid-exponential_OD1.0,-4.7618628616960666e-12,2.7645474575807234,21.0,9.0,0.0165258276,10.0,1.097714111,11.0,0.2699448806,12.0,0.7670574329000001,13.0,-1.8568717336,14.0,-2.4618220123,15.0,-1.4549957741,16.0,-2.8548433743,17.0,-4.0093093878,18.0,5.7536698774,19.0,3.6301402476,20.0,-1.1890010169,21.0,-2.4780282384,22.0,-3.204013825,23.0,-0.0206015826,24.0,3.6923176441,25.0,-2.1192854903,26.0,0.42318607420000004,27.0,4.9575959318,28.0,-1.4305523288,29.0,2.4711727368
4,ME_vs_S__THY_None_WT_early-stationary_OD1.8,17.07428917076667,1.6440861030527003,21.0,30.0,16.2552984116,31.0,19.0862563425,32.0,17.8130016205,33.0,16.5339588767,34.0,22.3116267105,35.0,16.3096223266,36.0,16.1504193765,37.0,16.510807193,38.0,16.7587375609,39.0,16.6872105062,40.0,15.4329545525,41.0,17.4648536657,42.0,16.5026457113,43.0,16.0917374261,44.0,17.0136186065,45.0,17.4520028815,46.0,20.1157323333,47.0,16.8990432808,48.0,15.6661559436,49.0,15.8623177746,50.0,15.6420714852
5,WT_vs_Del_ccpA__THY_None_WT_exponential,3.33333360913457e-11,0.1707399541122953,3.0,51.0,-0.1860533023,52.0,0.036544278300000003,53.0,0.1495090241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,WT_vs_Del_ccpA__THY_None_Del-ccpA_exponential,27.207998696500002,0.3628813383597206,4.0,54.0,27.7172744447,55.0,27.2176903465,56.0,26.9269592417,57.0,26.9700707531,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,WT_vs_Del_covR__THY_None_WT_late-exponential,-2.4999946557358044e-11,1.118226468685242,4.0,58.0,-1.0187423728,59.0,-0.4313962234,60.0,1.5841099281000002,61.0,-0.133971332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,WT_vs_Del_covR__THY_None_covR-D53A_late-exponential,7.3544041108250005,0.6978456563323947,4.0,62.0,8.2711621477,63.0,6.7037180988,64.0,6.9369995571,65.0,7.5057366397,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,WT_vs_Del_covR__THY_None_covS-E281A_late-exponential,5.9621451065,0.4569091545077571,4.0,66.0,6.5702229493,67.0,5.9582164388,68.0,5.8524577797,69.0,5.4676832582,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
