,A,CcpA
R2,,0.09239116492936739
xmin,,-9.0289511447
xmid,,
xmax,,1.2431356953
ystart,,27.09205102215525
yend,,4.5390630854101435
S. pyogenes_THY_ME_vs_LE:THY_None_WT_earlylog-planktonic:1.0,0.6664940008,-0.2807680215
S. pyogenes_THY_ME_vs_LE:THY_None_WT_earlylog-planktonic:2.0,1.2890594902,0.3377657942
S. pyogenes_THY_ME_vs_LE:THY_None_WT_earlylog-planktonic:3.0,-1.955553491,-0.0569977728
S. pyogenes_THY_ME_vs_LE:THY_None_WT_latelog-planktonic:1.0,26.2093828973,-0.329928143
S. pyogenes_THY_ME_vs_LE:THY_None_WT_latelog-planktonic:2.0,26.6240705975,-0.2906949592
S. pyogenes_THY_ME_vs_LE:THY_None_WT_latelog-planktonic:3.0,18.1316707764,-0.025623930700000002
S. pyogenes_THY_ME_vs_LE:THY_None_WT_earlystationary-planktonic:1.0,21.2229038886,-0.9686044904000001
S. pyogenes_THY_ME_vs_LE:THY_None_WT_earlystationary-planktonic:2.0,21.456909342,-0.9101280236
S. pyogenes_THY_ME_vs_LE:THY_None_WT_earlystationary-planktonic:3.0,25.2369789832,-0.3401792181
S. pyogenes_THY_ME_vs_S:THY_None_WT_mid-exponential_OD1.0:1.0,0.0165258276,0.0930622998
S. pyogenes_THY_ME_vs_S:THY_None_WT_mid-exponential_OD1.0:2.0,1.097714111,0.1994891543
S. pyogenes_THY_ME_vs_S:THY_None_WT_mid-exponential_OD1.0:3.0,0.2699448806,-0.6174295959
S. pyogenes_THY_ME_vs_S:THY_None_WT_mid-exponential_OD1.0:4.0,0.7670574329000001,0.4127087393
S. pyogenes_THY_ME_vs_S:THY_None_WT_mid-exponential_OD1.0:5.0,-1.8568717336,0.15337862200000002
S. pyogenes_THY_ME_vs_S:THY_None_WT_mid-exponential_OD1.0:6.0,-2.4618220123,-0.2251262078
S. pyogenes_THY_ME_vs_S:THY_None_WT_mid-exponential_OD1.0:7.0,-1.4549957741,-0.0755792399
S. pyogenes_THY_ME_vs_S:THY_None_WT_mid-exponential_OD1.0:8.0,-2.8548433743,-0.5375920895
S. pyogenes_THY_ME_vs_S:THY_None_WT_mid-exponential_OD1.0:9.0,-4.0093093878,-0.6990690522
S. pyogenes_THY_ME_vs_S:THY_None_WT_mid-exponential_OD1.0:10.0,5.7536698774,0.8498944340000001
S. pyogenes_THY_ME_vs_S:THY_None_WT_mid-exponential_OD1.0:11.0,3.6301402476,0.5839759090000001
S. pyogenes_THY_ME_vs_S:THY_None_WT_mid-exponential_OD1.0:12.0,-1.1890010169,0.2588821029
S. pyogenes_THY_ME_vs_S:THY_None_WT_mid-exponential_OD1.0:13.0,-2.4780282384,-0.0761188094
S. pyogenes_THY_ME_vs_S:THY_None_WT_mid-exponential_OD1.0:14.0,-3.204013825,-0.42649660570000003
S. pyogenes_THY_ME_vs_S:THY_None_WT_mid-exponential_OD1.0:15.0,-0.0206015826,-0.1276440452
S. pyogenes_THY_ME_vs_S:THY_None_WT_mid-exponential_OD1.0:16.0,3.6923176441,0.5769617767
S. pyogenes_THY_ME_vs_S:THY_None_WT_mid-exponential_OD1.0:17.0,-2.1192854903,-0.0413643228
S. pyogenes_THY_ME_vs_S:THY_None_WT_mid-exponential_OD1.0:18.0,0.42318607420000004,0.26121929720000003
S. pyogenes_THY_ME_vs_S:THY_None_WT_mid-exponential_OD1.0:19.0,4.9575959318,0.14485477830000001
S. pyogenes_THY_ME_vs_S:THY_None_WT_mid-exponential_OD1.0:20.0,-1.4305523288,-0.4374039514
S. pyogenes_THY_ME_vs_S:THY_None_WT_mid-exponential_OD1.0:21.0,2.4711727368,-0.2706031939
S. pyogenes_THY_ME_vs_S:THY_None_WT_early-stationary_OD1.8:1.0,16.2552984116,-0.6230912759
S. pyogenes_THY_ME_vs_S:THY_None_WT_early-stationary_OD1.8:2.0,19.0862563425,-0.09415964360000001
S. pyogenes_THY_ME_vs_S:THY_None_WT_early-stationary_OD1.8:3.0,17.8130016205,-0.4042412013
S. pyogenes_THY_ME_vs_S:THY_None_WT_early-stationary_OD1.8:4.0,16.5339588767,-0.4450121802
S. pyogenes_THY_ME_vs_S:THY_None_WT_early-stationary_OD1.8:5.0,22.3116267105,0.24360068880000002
S. pyogenes_THY_ME_vs_S:THY_None_WT_early-stationary_OD1.8:6.0,16.3096223266,-0.1996179843
S. pyogenes_THY_ME_vs_S:THY_None_WT_early-stationary_OD1.8:7.0,16.1504193765,-0.5236293891
S. pyogenes_THY_ME_vs_S:THY_None_WT_early-stationary_OD1.8:8.0,16.510807193,-0.3203825342
S. pyogenes_THY_ME_vs_S:THY_None_WT_early-stationary_OD1.8:9.0,16.7587375609,-0.6837131686
S. pyogenes_THY_ME_vs_S:THY_None_WT_early-stationary_OD1.8:10.0,16.6872105062,-0.4212554764
S. pyogenes_THY_ME_vs_S:THY_None_WT_early-stationary_OD1.8:11.0,15.4329545525,-0.3463772752
S. pyogenes_THY_ME_vs_S:THY_None_WT_early-stationary_OD1.8:12.0,17.4648536657,-0.40162297900000005
S. pyogenes_THY_ME_vs_S:THY_None_WT_early-stationary_OD1.8:13.0,16.5026457113,-0.4646041967
S. pyogenes_THY_ME_vs_S:THY_None_WT_early-stationary_OD1.8:14.0,16.0917374261,-0.6271136081
S. pyogenes_THY_ME_vs_S:THY_None_WT_early-stationary_OD1.8:15.0,17.0136186065,-0.4606200754
S. pyogenes_THY_ME_vs_S:THY_None_WT_early-stationary_OD1.8:16.0,17.4520028815,-0.3465394627
S. pyogenes_THY_ME_vs_S:THY_None_WT_early-stationary_OD1.8:17.0,20.1157323333,-2.1860887462
S. pyogenes_THY_ME_vs_S:THY_None_WT_early-stationary_OD1.8:18.0,16.8990432808,-0.5972222734
S. pyogenes_THY_ME_vs_S:THY_None_WT_early-stationary_OD1.8:19.0,15.6661559436,-1.1676243202
S. pyogenes_THY_ME_vs_S:THY_None_WT_early-stationary_OD1.8:20.0,15.8623177746,-0.9975755907
S. pyogenes_THY_ME_vs_S:THY_None_WT_early-stationary_OD1.8:21.0,15.6420714852,-1.1086585150000001
S. pyogenes_THY_WT_vs_Del_ccpA:THY_None_WT_exponential:1.0,-0.1860533023,0.097841728
S. pyogenes_THY_WT_vs_Del_ccpA:THY_None_WT_exponential:2.0,0.036544278300000003,-0.1023126313
S. pyogenes_THY_WT_vs_Del_ccpA:THY_None_WT_exponential:3.0,0.1495090241,0.0044709033000000006
S. pyogenes_THY_WT_vs_Del_ccpA:THY_None_Del-ccpA_exponential:1.0,27.7172744447,-7.0967049851
S. pyogenes_THY_WT_vs_Del_ccpA:THY_None_Del-ccpA_exponential:2.0,27.2176903465,-9.0289511447
S. pyogenes_THY_WT_vs_Del_ccpA:THY_None_Del-ccpA_exponential:3.0,26.9269592417,-8.3801909578
S. pyogenes_THY_WT_vs_Del_ccpA:THY_None_Del-ccpA_exponential:4.0,26.9700707531,-8.5621667031
S. pyogenes_THY_WT_vs_Del_covR:THY_None_WT_late-exponential:1.0,-1.0187423728,-0.1034421667
