,ftsH
Cr_1,0.009640832695592173
Cr_2,0.012496224078599134
Cr_3,0.010634984366753765
Cr_4,0.005664207031669399
Cr_5,-0.002295750881826887
Cr_6,-0.0099559689954746
Fe_1,-0.003059283117657289
Fe_2,-0.026001577095637683
Fe_3,-0.04702840594411275
Fe_4,-0.06323004300648677
Fe_5,-0.06737515120239207
Fe_6,-0.07267496755683849
Cd_1,-0.010685387398323769
Cd_2,-0.0017067776620089418
Cd_3,0.006342431515399508
Cd_4,0.027959738327497548
Cd_5,0.02941752704483836
Cd_6,0.00814967624177216
Zn_1,0.0010824873913487184
Zn_2,-0.0046106136143329495
Zn_3,-0.006177305718862128
Zn_4,-0.005336802686598256
Zn_5,-0.002380635572352183
Zn_6,-0.003004939340303018
Cu_1,-0.001978574802123274
Cu_2,0.0007294848463696482
Cu_3,0.0011670009456050561
Cu_4,0.000932250887829224
Cu_5,0.0007311103648439439
Cu_6,0.013604536235863869
Pb_1,0.00791987370373655
Pb_2,0.00903493888576226
Pb_3,0.009963756344657916
Pb_4,0.013675170364990266
Pb_5,0.02294028172266122
Pb_6,0.03137547403849754
