,yoaB
Cr_1,0.0092245470275057
Cr_2,0.018598869172550245
Cr_3,0.02904294173079648
Cr_4,0.03572664323802738
Cr_5,0.041530000350806506
Cr_6,0.049137590869998894
Fe_1,-0.008086312066870513
Fe_2,-0.01938265389322371
Fe_3,-0.026458795877570863
Fe_4,-0.03318539574012282
Fe_5,-0.036222829892825215
Fe_6,-0.03303952120129261
Cd_1,0.00421243004535717
Cd_2,0.009934387742746027
Cd_3,0.01527693128939781
Cd_4,0.015988754365620424
Cd_5,0.014710887379103152
Cd_6,0.01974287807042061
Zn_1,-0.0072874183304520185
Zn_2,-0.018641152749153768
Zn_3,-0.021624484437178317
Zn_4,-0.017600000318662972
Zn_5,-0.014048764353994748
Zn_6,-0.011392163316265616
Cu_1,0.0043314412649707755
Cu_2,0.005905539366328005
Cu_3,0.011348535149409592
Cu_4,0.02165460446563404
Cu_5,0.033291563343078395
Cu_6,0.04498088685664607
Pb_1,0.008772119482502727
Pb_2,0.019764386709329337
Pb_3,0.035662055647143184
Pb_4,0.05766340964107384
Pb_5,0.08042569804532833
Pb_6,0.10314621530793297
