,cysP
Cr_1,-0.0018567134596415094
Cr_2,0.001433618775882292
Cr_3,0.005517151883538762
Cr_4,0.0077010785254045516
Cr_5,0.007606808174148851
Cr_6,0.0036396294656926204
Fe_1,-0.00702184449740485
Fe_2,-0.014728024688834447
Fe_3,-0.026117896673610967
Fe_4,-0.04087258257362514
Fe_5,-0.04596421438054825
Fe_6,-0.046606325812401865
Cd_1,-0.003149473606147109
Cd_2,-0.0030638441684720965
Cd_3,-0.0033816139822016745
Cd_4,-0.004524439955816785
Cd_5,-0.009204643841725191
Cd_6,-0.012304880993059241
Zn_1,0.0002235567951250277
Zn_2,-0.004442429981155243
Zn_3,-0.009977648988607042
Zn_4,-0.011255988086018884
Zn_5,-0.0033508814478232945
Zn_6,0.005753294373564299
Cu_1,-0.0010024798737287724
Cu_2,0.0007550296058587722
Cu_3,0.004510484851128035
Cu_4,0.003681746849569215
Cu_5,0.001575635595640949
Cu_6,0.002252714550295997
Pb_1,0.005202496078151021
Pb_2,0.011074498577041509
Pb_3,0.016176793737740336
Pb_4,0.02218926683137304
Pb_5,0.03100539524593758
Pb_6,0.04020572703171444
