sample,BSU_tRNA_83
LBexp_1,10.3737
LBexp_2,10.7214
LBexp_3,10.0743
LBtran_1,9.704
LBtran_2,10.1508
LBtran_3,8.6947
LBstat_1,10.7574
LBstat_2,10.3512
LBstat_3,12.3852
LBGexp_1,9.4454
LBGexp_2,9.8179
LBGexp_3,9.6494
LBGtran_2,9.4806
LBGtran_3,9.6107
LBGstat_1,9.6708
LBGstat_2,9.1693
LBGstat_3,9.394
S0_1,11.941
S0_2,10.9698
S0_3,11.397
S1_1,13.0437
S1_2,14.1626
S1_3,11.2808
S2_1,10.9942
S2_2,10.8106
S2_3,11.057
S3_1,13.9634
S3_2,11.526
S4_1,11.2306
S4_2,11.9947
S4_3,11.4744
S5_1,13.3755
S5_2,11.7829
S5_3,12.0482
S6_1,12.0588
S6_2,12.3306
S6_3,11.2165
S6/t_1,10.8216
S6/t_2,10.7048
S6_4,12.5648
S6_5,12.7953
S6_6,12.7883
S7_4,13.423
S7_5,13.3355
S7_6,12.9928
S8_4,12.9152
S8_5,13.519
G135_1,9.8288
G135_3,9.147
G150_1,9.6533
G150_2,10.8573
G150_3,9.5232
G180_1,9.9189
G180_2,10.5943
G180_3,10.4477
C30_1,10.6879
C30_2,11.4244
C90_1,10.7763
C90_2,11.0196
BI_1,10.387
BI_2,10.566
BC_2,11.7713
BC/t_1,12.73
BC/t_2,13.1274
BC_1,11.2203
Sw_1,12.4714
Sw_2,12.4177
BT_1,11.9682
BT_2,12.1797
B36_1,11.128
B36_2,10.6045
B60_1,10.2992
B60_2,10.8017
M9exp_1,10.935
M9exp_2,10.5733
M9exp_3,10.2951
M9tran_1,10.1112
M9tran_2,10.1238
M9tran_3,10.6095
M9stat_1,9.9723
M9stat_2,9.9756
M9stat_3,10.4489
M+G_1,10.2385
M+G_2,11.4395
M+G_3,11.4318
Glu_1,11.9195
Glu_2,11.626
Glu_3,11.9591
Fru_1,12.3074
Fru_2,12.4874
Fru_3,10.7856
Mal_1,10.4078
Mal_2,11.7332
Mal_3,10.5924
G+S_2,12.2227
G+S_3,12.1925
Pyr_1,11.1682
Pyr_2,12.6751
Pyr_3,12.728
Gly_1,10.8324
Gly_2,12.5664
Gly_3,12.0466
Glucon_1,10.7437
Glucon_2,10.6292
Glucon_3,9.5096
aero_1,11.4796
aero_2,9.824
aero_3,10.9574
nit_1,11.5209
nit_2,12.2782
nit_3,10.8178
ferm_1,10.4196
ferm_2,10.4341
ferm_3,11.718
T-5.40H_1,11.7727
T-4.40H_1,11.8489
T-3.40H_1,11.4897
T-2.40H_1,10.9111
T-1.40H_1,11.0632
T-1.10H_1,10.8836
T-0.40H_1,11.322
T0.0H_1,10.6263
T0.30H_1,11.732
T1.0H_1,10.970999999999998
T1.30H_1,10.6954
T2.0H_1,9.7148
T2.30H_1,10.300999999999998
T3.0H_1,10.104
T3.30H_1,10.5984
T4.0H_1,10.243
T5.0H_1,9.8781
HPh_1,12.0093
HPh_2,11.6275
HPh_3,12.6386
LPh_1,11.4664
LPh_2,11.5993
LPh_3,11.671
LPhT_1,12.7625
LPhT_2,12.4064
LPhT_3,13.014
SMMPr_1,10.5961
SMMPr_2,10.2854
SMMPr_3,10.6844
HiTm_1,12.1145
HiTm_2,11.7501
HiTm_3,12.2547
LoTm_1,10.8923
LoTm_2,10.5598
LoTm_3,10.7411
HiOs_1,11.6357
HiOs_2,12.7303
HiOs_3,12.056
BMM_1,10.781
BMM_2,10.3874
BMM_3,10.4654
Heat_1,11.4459
Heat_2,11.2552
Heat_3,10.6688
Cold_1,12.5822
Cold_2,11.8562
Cold_3,11.4645
Etha_1,9.5119
Etha_2,8.7305
Etha_3,8.8587
SMM_1,10.8122
SMM_2,11.323
SMM_3,10.9283
Salt_1,11.0853
Salt_2,10.6987
Salt_3,10.6319
Mt0_1,11.5213
Mt0_3,10.9875
M0t45_1,9.7727
M0t45_2,10.893
M0t45_3,11.6358
M0t90_1,8.3216
M0t90_2,12.5518
M0t90_3,8.3727
M40t45_1,8.6503
M40t45_2,11.3727
M40t45_3,10.5949
M40t90_1,8.552
M40t90_2,9.4387
M40t90_3,9.7436
dia0_1,9.9916
dia0_2,10.3583
dia0_3,10.6995
dia5_1,9.2388
dia5_2,9.7645
dia5_3,9.8687
dia15_1,10.1647
dia15_2,11.0208
dia15_3,9.7584
Diami_1,9.1375
Diami_2,8.6991
Diami_3,9.2247
Paraq_1,10.9602
Paraq_2,11.6184
Paraq_3,9.481
H2O2_1,10.5072
H2O2_2,10.8456
H2O2_3,10.4295
Oxctl_1,10.6409
Oxctl_2,10.8264
Oxctl_3,11.3705
GM-0.1_1,11.074000000000002
GM-0.2_1,10.6478
GM+5_1,11.0289
GM+15_1,11.0752
GM+25_1,11.1489
GM+45_1,12.1336
GM+60_1,11.6474
GM+90_1,11.1808
GM+120_1,10.2677
GM+150_1,10.733
GM-0.1_2,10.9807
GM-0.2_2,10.7355
GM+5_2,11.4471
GM+10_2,11.0374
GM+15_2,11.4647
GM+25_2,11.0934
GM+45_2,10.4634
GM+60_2,10.2747
GM+90_2,10.8915
GM+150_2,10.4959
GM-0.1_3,11.0129
GM-0.2_3,10.8176
GM+5_3,11.3554
GM+10_3,10.0313
GM+15_3,11.425
GM+25_3,11.0675
GM+45_3,10.4491
GM+60_3,10.7342
GM+90_3,10.1678
GM+120_3,10.6524
GM+150_3,10.5039
MG-0.1_1,11.494000000000002
MG+5_1,10.7333
MG+10_1,11.2307
MG+15_1,10.7166
MG+25_1,10.8648
MG+45_1,12.2082
MG+120_1,9.9797
MG+150_1,10.5589
MG-0.1_2,9.7321
MG-0.2_2,11.3886
MG+5_2,10.6922
MG+10_2,10.9876
MG+15_2,10.7756
MG+25_2,10.784
MG+45_2,10.3299
MG+60_2,10.678
MG+90_2,10.0966
MG+120_2,10.657
MG-0.1_3,11.8749
MG-0.2_3,11.706
MG+5_3,10.6069
MG+10_3,9.9368
MG+15_3,11.1881
MG+25_3,11.0941
MG+45_3,11.4955
MG+60_3,10.4475
MG+90_3,11.1569
MG+120_3,10.3091
MG+150_3,11.6885
