,BSU17250
M9exp_1,10.3539
M9exp_2,10.0746
M9exp_3,9.7491
M9tran_1,10.5073
M9tran_2,10.6173
M9tran_3,10.9049
M9stat_1,8.8177
M9stat_2,8.6745
M9stat_3,8.4397
MG-0.1_1,9.5
MG-0.1_2,8.6777
MG-0.1_3,9.41
MG-0.2_2,9.0518
MG-0.2_3,9.0783
MG+5_1,9.7342
MG+5_2,9.2817
MG+5_3,9.0192
MG+10_1,9.8337
MG+10_2,9.3769
MG+10_3,8.9991
MG+15_1,9.1359
MG+15_2,9.8852
MG+15_3,9.2263
MG+25_1,9.5756
MG+25_2,9.3216
MG+25_3,9.2082
MG+45_1,9.5789
MG+45_2,9.1011
MG+45_3,9.653
MG+60_2,9.4012
MG+60_3,9.3556
MG+90_2,9.3523
MG+90_3,9.6689
MG+120_1,10.2118
MG+120_2,10.48
MG+120_3,9.9635
MG+150_1,10.5415
MG+150_3,10.3032
GM-0.1_1,9.8817
GM-0.1_2,9.6964
GM-0.1_3,10.1984
GM-0.2_1,9.9611
GM-0.2_2,9.4963
GM-0.2_3,10.0632
GM+5_1,9.5455
GM+5_2,9.5898
GM+5_3,10.4245
GM+10_2,9.6404
GM+10_3,9.4318
GM+15_1,10.0652
GM+15_2,9.5305
GM+15_3,10.0776
GM+25_1,10.1898
GM+25_2,9.271
GM+25_3,9.6878
GM+45_1,10.4137
GM+45_2,8.9591
GM+45_3,10.4031
GM+60_1,10.3975
GM+60_2,9.3457
GM+60_3,9.632
GM+90_1,10.7835
GM+90_2,10.2819
GM+90_3,10.2816
GM+120_1,10.09
GM+120_3,10.3618
GM+150_1,10.4914
GM+150_2,10.3524
GM+150_3,10.8496
BT_1,9.7879
BT_2,9.3432
B36_1,9.7792
B36_2,9.6546
B60_1,9.4185
B60_2,9.3859
S0_1,9.2904
S0_2,9.3482
S0_3,9.3132
S1_1,10.9847
S1_2,10.7842
S1_3,10.9667
S2_1,10.9156
S2_2,10.9748
S2_3,10.9078
