,sseB
Cr_1,-0.01770701167657581
Cr_2,-0.014513145596874031
Cr_3,-0.0062983527382548705
Cr_4,0.00943557902382812
Cr_5,0.02671077712904193
Cr_6,0.07804299185223662
Fe_1,0.00715525835752388
Fe_2,0.00729652336461863
Fe_3,0.003258917077037477
Fe_4,0.012438814573068087
Fe_5,0.02932713506373
Fe_6,0.045462752389131264
Cd_1,0.00017920323021119693
Cd_2,0.0009009810175543984
Cd_3,0.0017477537753744165
Cd_4,0.007075771778162447
Cd_5,0.005262192194721065
Cd_6,0.011594170311639623
Zn_1,0.006874814964271344
Zn_2,0.02273634259052667
Zn_3,0.0470626228181744
Zn_4,0.08041014709134398
Zn_5,0.10430233553935196
Zn_6,0.08999836470001486
Cu_1,-0.0031954839739093506
Cu_2,-0.006345389835862217
Cu_3,-0.009346542472101576
Cu_4,-0.010702380383473223
Cu_5,-0.01315024093504766
Cu_6,-0.008766289014512004
Pb_1,0.0041445587341891795
Pb_2,0.001985526109647625
Pb_3,0.014790507345119594
Pb_4,0.02833634066900668
Pb_5,0.041034873636484934
Pb_6,0.0585704335957416
