,yibK
Cr_1,-0.007490474764356981
Cr_2,-0.005528993881423061
Cr_3,0.0026812683566817498
Cr_4,0.008162485117147065
Cr_5,0.025349011289675483
Cr_6,0.01835577451845213
Fe_1,-0.02130116910521194
Fe_2,-0.019801184821119484
Fe_3,0.008098566891770763
Fe_4,0.027380378047413296
Fe_5,0.03613258111694091
Fe_6,0.053199492069050766
Cd_1,-0.004067203838456331
Cd_2,0.0020189492143953608
Cd_3,0.012501724941576458
Cd_4,0.017160171793728432
Cd_5,0.023812099355226653
Cd_6,0.029108814959626757
Zn_1,-0.010504949531989915
Zn_2,-0.02940830763718608
Zn_3,-0.03423337188257697
Zn_4,-0.017097377430940287
Zn_5,-0.039253587163577255
Zn_6,-0.04898789877372795
Cu_1,0.0018937071230512496
Cu_2,0.006162712402738377
Cu_3,0.019603965289140067
Cu_4,0.036309207649708616
Cu_5,0.0537658765057707
Cu_6,0.06444345844108157
Pb_1,0.007822373725465669
Pb_2,0.01825976477192866
Pb_3,0.03375716401163094
Pb_4,0.04266262510742984
Pb_5,0.056415659417944485
Pb_6,0.06438863718916768
