,A,PSPTO_5267
R2,,0.0
xmin,,-1.1490576154
xmid,,
xmax,,2.2905920388
ystart,,-0.8649398379762375
yend,,-0.8649398379762375
algU_regulon__empty_vector__1.0,0.7344014178,0.2793598122
algU_regulon__algU_overexpression__1.0,-1.284285391,0.3401780585
algU_regulon__empty_vector__2.0,-0.3808877328,-0.029176046
algU_regulon__algU_overexpression__2.0,-1.089546964,0.2111874608
algU_regulon__empty_vector__3.0,-0.353513685,-0.2501837662
algU_regulon__algU_overexpression__3.0,-0.2088382349,-0.2057315684
co_culture__c_viol_40__1.0,0.9460661938,2.2905920388
co_culture__c_viol_12.5__1.0,-5.633814714,-0.0235161722
co_culture__b_thai_30__1.0,-5.4861737312,0.2589410401
co_culture__b_thai_25__1.0,-7.1434955709,0.1657014162
co_culture__mono_30__1.0,-2.0341896841,0.8417050228
co_culture__b_thai_12.5__1.0,-7.4942581479,0.6125740123
co_culture__b_thai_35__1.0,-5.6443296651,0.2785776528
co_culture__mono_25__1.0,3.4397959890000003,0.9192625161
co_culture__c_viol_30__1.0,-2.8198006896,1.2210986263999999
co_culture__c_viol_35__1.0,-1.702393119,1.9383690342
co_culture__b_thai_40__1.0,-6.8723465984,0.250678719
co_culture__b_thai_45__1.0,-6.8414709745,0.3589027662
co_culture__b_thai_c_viol_40__1.0,-3.2362410907,1.1808499199
co_culture__mono_35__1.0,3.467903089,1.1426733698
co_culture__c_viol_40__2.0,2.2927512357,2.241507819
co_culture__b_thai_c_viol_45__1.0,-2.5438862558,1.3587961593
co_culture__b_thai_25__2.0,-5.9218755352,0.1039997093
co_culture__c_viol_25__1.0,-1.8373073991000002,1.0217163632
co_culture__mono_45__1.0,-2.0216309781,0.7433109910000001
co_culture__b_thai_c_viol_40__2.0,-4.0809135499,2.1814209944
co_culture__mono_30__2.0,-0.35905465400000003,1.2502288229
co_culture__mono_40__1.0,-3.1125508034,0.4988805518
co_culture__mono_35__2.0,-0.7313750596,0.8772302102
co_culture__mono_45__2.0,1.28872417,0.8042044285000001
co_culture__b_thai_c_viol_35__1.0,-4.5335001738,0.7681582006000001
co_culture__mono_40__2.0,0.8780813983,0.8014579305
co_culture__b_thai_c_viol_35__2.0,-4.9976555218000005,1.9955629537
co_culture__c_viol_12.5__2.0,-5.2372084593,0.0848069409
co_culture__b_thai_c_viol_45__2.0,-4.728378843,1.6154944176
co_culture__b_thai_c_viol_25__1.0,-5.1541380791,1.340118009
co_culture__b_thai_c_viol_30__1.0,-4.9359556029,1.7113261308
co_culture__mono_12.5__1.0,-3.9086973735,-0.1131540634
co_culture__mono_25__2.0,-1.0974495798,1.3142483313
co_culture__c_viol_45__1.0,3.7756360359,1.6735799560000002
co_culture__c_viol_40__3.0,3.1364492624,2.0555625533
co_culture__c_viol_30__2.0,-1.7006147183,1.3798285116
co_culture__c_viol_25__2.0,-0.10077198030000001,1.3730723942
co_culture__c_viol_45__2.0,3.0644891319,1.8429106215000002
co_culture__b_thai_c_viol_30__2.0,-7.4533593016,0.8774250542
co_culture__b_thai_c_viol_45__3.0,-6.8202439868999996,0.7857996104
co_culture__mono_12.5__2.0,-1.0354449811,-0.1452643956
co_culture__b_thai_c_viol_12.5__1.0,-5.9371825928,-0.8186408571
co_culture__b_thai_35__2.0,-4.8771886927,1.1255610682000001
co_culture__b_thai_25__3.0,-4.0870845586,1.2656433998
co_culture__b_thai_45__2.0,-4.4237345846,1.185283707
co_culture__b_thai_30__2.0,-4.4464848351,1.4213599395
co_culture__c_viol_35__2.0,-0.1845084921,1.8522005432
co_culture__b_thai_40__2.0,-5.3998984165,1.0820281318
co_culture__b_thai_12.5__2.0,-8.2198103691,0.18492259390000002
co_culture__b_thai_c_viol_12.5__2.0,-8.2078575461,-0.6326359591
co_culture__mono_35__3.0,-0.5403177391,1.1014927822
co_culture__mono_12.5__3.0,-0.2799190989,-0.0523211586
co_culture__b_thai_c_viol_45__4.0,-4.5183157996,1.1369257269
co_culture__b_thai_c_viol_35__3.0,-5.381527355,0.4302610611
co_culture__b_thai_c_viol_30__3.0,-6.672970337,0.34603550590000004
