,pfkA
Cr_1,-0.002977169710075951
Cr_2,-0.0039087831711459645
Cr_3,0.0028108461654227854
Cr_4,0.011126309877999832
Cr_5,0.015056717356430544
Cr_6,0.014258900144549103
Fe_1,-0.013838248405856492
Fe_2,-0.0315200403020405
Fe_3,-0.044063163071360725
Fe_4,-0.06913122738787597
Fe_5,-0.08445768794945824
Fe_6,-0.10350735757580896
Cd_1,-0.005194139373531178
Cd_2,-0.011946473335162671
Cd_3,-0.016315136300722087
Cd_4,-0.022577963547280862
Cd_5,-0.02315692026572845
Cd_6,-0.014934816825317809
Zn_1,-1.9335312909570105e-05
Zn_2,0.007500976792344103
Zn_3,0.02882284690225148
Zn_4,0.05147041823782661
Zn_5,0.06926807791896378
Zn_6,0.08229081180029303
Cu_1,-0.0034995302439077038
Cu_2,-0.0009837002619440694
Cu_3,0.0016640051052749833
Cu_4,0.007291616968049726
Cu_5,0.0063066171617858656
Cu_6,0.01170990904195381
Pb_1,0.002591045961166553
Pb_2,0.00900698542383171
Pb_3,0.018884915666169674
Pb_4,0.014546720603772047
Pb_5,0.01564182062672895
Pb_6,0.024991897221524558
