,yehZ
Cr_1,0.002959884663271798
Cr_2,0.013424374487658049
Cr_3,0.029262007953211024
Cr_4,0.045679778138290834
Cr_5,0.06208233457928632
Cr_6,0.07465014020671898
Fe_1,-0.08833462609590174
Fe_2,-0.12458533982955106
Fe_3,-0.12188560884839213
Fe_4,-0.10628105223685616
Fe_5,-0.040641530309502544
Fe_6,-0.020383954773028963
Cd_1,0.007786344725490215
Cd_2,0.01546854436260074
Cd_3,0.02059558062978661
Cd_4,0.02068725856973596
Cd_5,0.016614041751261615
Cd_6,0.021978793335166225
Zn_1,0.0484082276039622
Zn_2,0.1094097443647442
Zn_3,0.16147014899994522
Zn_4,0.1890697357518312
Zn_5,0.1813066808147803
Zn_6,0.13803238689209155
Cu_1,0.0034903500133031252
Cu_2,0.00786342706464137
Cu_3,0.017378831061624626
Cu_4,0.027447056040354932
Cu_5,0.0293296422924696
Cu_6,0.032822278423737736
Pb_1,0.006137117623666755
Pb_2,0.015048923127415703
Pb_3,0.03567379879825884
Pb_4,0.05484690162395338
Pb_5,0.06972734743916999
Pb_6,0.08185178056700787
