,condition,X_avg,X_std,n,rep1_idx,rep1_X,rep2_idx,rep2_X,rep3_idx,rep3_X
0,Chrom__sac_log,0.2431873130892721,0.4191126982148205,2.0,0.0,0.5395447440783627,1.0,-0.053170117899818514,,
1,Chrom__sac_sta,0.9186056063436158,0.18320079891383853,2.0,2.0,1.048148133574384,3.0,0.7890630791128475,,
2,Chrom__sac_MW001,0.0,0.14051274230626565,2.0,4.0,0.09935751292787832,5.0,-0.09935751292787832,,
3,Chrom__sac_fadR,-0.15660144319790614,0.0134531606164565,2.0,6.0,-0.16611426429819431,7.0,-0.14708862209761794,,
4,FadR__wt_p,-4.440892098500626e-16,0.09710234828239186,2.0,8.0,0.06866172893961675,9.0,-0.06866172893961764,,
5,FadR__ko_p,-0.06806192345794404,0.08998643185426611,2.0,10.0,-0.13169193963687675,11.0,-0.004431907279011328,,
6,GDGT__75_2.4_log,-2.7755575615628914e-16,0.18185336158523974,3.0,12.0,-0.20373464466106214,27.0,0.14591038130098702,50.0,0.05782426336007429
7,GDGT__80_3.5_stat,-0.13941662504188587,0.13809968011761833,3.0,13.0,-0.14931590723687638,20.0,-0.27230030650322057,42.0,0.003366338614439357
8,GDGT__80_2.4_log,-0.028879122036139588,0.22901295005484118,3.0,14.0,-0.2869224253587399,37.0,0.05007086597603117,41.0,0.15021419327428998
9,GDGT__75_3.5_stat,-0.19669898029859326,0.14114137239455363,3.0,15.0,-0.3410805930789253,24.0,-0.05903795610192564,28.0,-0.18997839171492886
10,GDGT__80_1.6_stat,0.03354982415577634,0.23085996204060422,3.0,16.0,-0.02067393439677101,17.0,-0.1653718340789032,33.0,0.28669524094300325
11,GDGT__75_2.4_stat,-0.4250593903898725,0.12802654345260409,3.0,18.0,-0.5539412187690367,26.0,-0.42333132626831294,31.0,-0.2979056261322679
12,GDGT__80_2.4_stat,-0.9165130635939853,0.07266482467426717,3.0,19.0,-0.9986343120630714,29.0,-0.8605443154885135,30.0,-0.890360563230371
13,GDGT__80_1.6_log,-0.6326645663015595,0.36147199667077284,2.0,21.0,-0.37706526624661496,39.0,-0.8882638663565041,,
14,GDGT__65_3.5_stat,0.8743117892293671,0.14121764566200248,3.0,22.0,1.0211998280889365,23.0,0.7395460650262224,34.0,0.8621894745729426
15,GDGT__75_1.6_stat,0.13383106265751837,0.11040335747971591,3.0,25.0,0.2271904300572833,32.0,0.16233064958345889,38.0,0.011972108331812949
16,GDGT__75_1.6_log,-0.18326477728818746,0.11156297451776544,2.0,35.0,-0.2621517130990414,36.0,-0.10437784147733352,,
17,GDGT__65_2.4_stat,1.043547273530587,0.4490495984621173,3.0,40.0,0.560148975189505,46.0,1.4476967404899783,49.0,1.122796104912278
18,GDGT__65_2.4_log,0.7972462400346189,0.2083574203806469,3.0,43.0,1.037414053005592,44.0,0.6895065968820484,47.0,0.6648180702162163
19,GDGT__80_3.5_log,-0.08192751023424184,0.10905870573232385,3.0,45.0,-0.20605581083169436,51.0,-0.03824609746562668,52.0,-0.0014806224054044748
20,GDGT__65_1.6_log,0.7617706760681152,0.07292830670633839,3.0,48.0,0.7972057293193755,53.0,0.8102105803921829,54.0,0.6778957184927874
21,NutLim__t0,-8.881784197001252e-16,0.25594465101108876,2.0,55.0,0.18098019833836432,56.0,-0.1809801983383661,,
22,NutLim__t05,0.1809053821651657,0.36492969010835286,3.0,57.0,0.08579276876645281,58.0,0.5839738149614089,59.0,-0.12705043723236464
23,NutLim__t1,0.11941882210936268,0.40416433569528815,3.0,60.0,0.1101181247110663,61.0,0.5281532375804421,62.0,-0.28001489596342033
24,NutLim__t15,-0.05972229999326235,0.19865685804681482,3.0,63.0,-0.0516491148140048,64.0,0.134774895498202,65.0,-0.26229268066398426
25,NutLim__t2,0.07053774790813054,0.13536465369174636,3.0,66.0,-0.08331402250544251,67.0,0.17135534767338534,68.0,0.12357191855644878
26,NutLim__t4,0.3473861688139728,0.15040476385449197,2.0,69.0,0.24103394036970016,70.0,0.4537383972582454,,
27,UV_irr__wt0,5.926971876254091e-16,0.06437071697273196,3.0,71.0,-0.055840084206892016,72.0,0.07040536839863876,73.0,-0.014565284191744963
28,UV_irr__wt1,0.04345731036435474,0.1587513905257893,3.0,74.0,0.08830760236851454,75.0,0.17495858338847015,76.0,-0.13289425466392046
29,UV_irr__wt2,0.1735638170183685,0.19579739653881,3.0,77.0,0.3654572874471498,78.0,0.18115109793623674,79.0,-0.025916934328281016
30,UV_irr__mut0,0.11978661286958392,0.05980314811771264,3.0,80.0,0.14882867084559415,81.0,0.05100845830182088,82.0,0.15952270946133673
31,UV_irr__mut1,0.5632869032170623,0.19986897826159025,3.0,83.0,0.3398353320762304,84.0,0.6250161390329971,85.0,0.7250092385419595
32,UV_irr__mut2,0.704778062912799,0.0768419528680827,3.0,86.0,0.6163395784983123,87.0,0.7552151485108087,88.0,0.7427794617292758
33,YtrA__overexpr,0.1528152408859853,0.0814148896827968,3.0,89.0,0.14307673951885658,90.0,0.07670760934132481,91.0,0.2386613737977745
34,YtrA__wt,2.9721595555069297e-16,0.12540943491630974,3.0,92.0,-0.10714855637971787,93.0,0.1379360972511794,94.0,-0.030787540871460625
