locus,comp,gene_name,product,operon,TF,Abh,CodY,PhoP,TnrA,ComA,SigA,CcpA,Spx,PerR,link
BSU07560,0.18623129,pel,pectate lyase C,,"ComA, TnrA, CcpA",False,False,False,True,True,False,True,False,False,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU07560
BSU03480,0.183261158,srfAA,surfactin synthetase / competence,,"PerR, Spx, SigA, Abh, PhoP, ComA, CodY",True,True,True,False,True,True,False,True,True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU03480
new_376667_376967,0.18071015,S126,5'UTR of srfAA,,"PerR, Spx, SigA, Abh, PhoP, ComA, CodY",True,True,True,False,True,True,False,True,True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/new_376667_376967
BSU03520,0.17594450399999997,srfAD,surfactin synthetase / competence,,"PerR, Spx, SigA, Abh, PhoP, ComA, CodY",True,True,True,False,True,True,False,True,True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU03520
BSU03500,0.17017056,comS,antiadaptor protein (anti-MecA),,"PerR, Spx, SigA, Abh, PhoP, ComA, CodY",True,True,True,False,True,True,False,True,True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU03500
BSU03510,0.169859323,srfAC,surfactin synthetase / competence,,"PerR, Spx, SigA, Abh, PhoP, ComA, CodY",True,True,True,False,True,True,False,True,True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU03510
BSU03490,0.169035563,srfAB,surfactin synthetase / competence,,"PerR, Spx, SigA, Abh, PhoP, ComA, CodY",True,True,True,False,True,True,False,True,True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU03490
