,-0.13305430640625,-0.11531373221874999,-0.09757315803125,-0.07983258384375,-0.06209200965625,-0.044351435468750006,-0.02661086128125001,-0.008870287093750012,0.008870287093749984,0.02661086128124998,0.04435143546874998,0.062092009656249975,0.07983258384374997,0.09757315803124997,0.11531373221874996,0.13305430640625,0.15079488059374996,0.16853545478124993,0.18627602896874995,0.20401660315624998
thresh,-0.1419245935,0.1419245935,32,,,,,,,,,,,,,,,,,
unreg,0,0,0,1,1,7,90,1419,1353,89,5,0,0,0,0,0,0,0,0,0
ComA,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
Abh,0,0,0,0,0,0,2,6,3,0,0,0,0,0,0,0,0,0,0,0
Spx,0,0,0,0,0,0,0,6,5,0,0,0,0,0,0,0,0,0,0,0
PerR,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
CodY,0,0,0,0,0,0,5,32,16,3,0,0,0,0,0,0,0,0,0,0
PhoP,0,0,0,0,0,0,0,5,6,0,0,0,0,0,0,0,0,0,0,0
SigA,0,0,0,0,0,6,26,322,344,18,2,2,0,0,0,0,0,0,0,0
CcpA,0,0,0,0,0,2,2,14,38,3,0,0,0,0,0,0,0,0,0,0
TnrA,0,0,0,0,0,0,0,14,18,1,0,0,0,0,0,0,0,0,0,0
ComA and CodY,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
ComA and SigA,0,0,0,0,0,0,0,2,4,2,0,0,0,1,0,0,0,0,0,0
ComA and CcpA,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
Abh and CcpA,0,0,0,0,0,0,0,5,2,0,0,0,0,0,0,0,0,0,0,0
Spx and SigA,0,0,0,0,0,0,0,16,14,0,0,0,0,0,0,0,0,0,0,0
PerR and SigA,0,0,0,0,0,0,0,12,4,1,0,0,0,0,0,0,0,0,0,0
CodY and PhoP,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
CodY and SigA,0,0,0,0,0,0,23,28,22,8,0,0,0,0,0,0,0,0,0,0
CodY and TnrA,0,0,0,0,0,0,2,8,6,0,0,0,0,0,0,0,0,0,0,0
PhoP and SigA,0,0,0,0,0,0,0,18,16,0,0,0,0,0,0,0,0,0,0,0
PhoP and CcpA,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
SigA and CcpA,0,0,0,0,0,0,8,65,67,14,0,0,0,0,0,0,0,0,0,0
SigA and TnrA,0,0,0,0,0,0,2,3,13,0,0,0,0,0,0,0,0,0,0,0
"PhoP, SigA, and CcpA",0,0,0,0,0,2,0,4,6,0,0,0,0,0,0,0,0,0,0,0
"CodY, SigA, and CcpA",0,0,0,0,0,0,3,6,3,0,0,0,0,0,0,0,0,0,0,0
"CodY, SigA, CcpA, and TnrA",0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0
"CodY, SigA, and TnrA",0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0
"PhoP, SigA, and TnrA",0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"SigA, CcpA, and TnrA",0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
"ComA, CodY, SigA, and CcpA",0,0,0,0,0,0,0,0,1,0,0,0,3,0,1,0,0,0,0,0
"ComA, Abh, Spx, PerR, CodY, PhoP, and SigA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0
"ComA, CcpA, and TnrA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
unreg_genes,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
ComA_genes,[],[],[],[],[],[],[],[],[],[],['ywhH'],['ycxA'],[],[],[],[],[],[],[],[]
Abh_genes,[],[],[],[],[],[],['yolJ' 'bdbA'],['bdbB' 'slrR' 'sunT' 'yflA' 'ylaE' 'sunA'],['ywoF' 'pnbA' 'ycdA'],[],[],[],[],[],[],[],[],[],[],[]
Spx_genes,[],[],[],[],[],[],[],['coaX' 'trxB' 'ytxK' 'yacC' 'ytvA' 'yacD'],['yugJ' 'yugT' 'yjbH' 'tpx' 'yjbI'],[],[],[],[],[],[],[],[],[],[],[]
PerR_genes,[],[],[],[],[],[],[],['katA' 'yjbC'],[],[],[],[],[],[],[],[],[],[],[],[]
CodY_genes,[],[],[],[],[],[],['BSU_misc_RNA_24' 'bcd' 'ypmP' 'bkdAA' 'ptb'],"['bcaP' 'ylmA' 'pksE' 'pksI' 'pksD' 'pksF' 'buk' 'acpK' 'pksM' 'pksJ'
 'pksH' 'pksG' 'rocC' 'bacG' 'bkdAB' 'pksL' 'ybgE' 'lpdV' 'bkdR' 'rocA'
 'pksN' 'yuiC' 'bkdB' 'rocB' 'yhjB' 'rocD' 'ykfB' 'yhjC' 'thrD' 'ykfA'
 'yxbD' 'ykfC']","['pksR' 'ilvA' 'mpr' 'metN' 'rocE' 'yxbC' 'metP' 'ilvD' 'rocF' 'ycgA'
 'guaB' 'metQ' 'ybfJ' 'ykfD' 'pksC' 'nprE']",['ywaA' 'hag' 'guaC'],[],[],[],[],[],[],[],[],[],[]
PhoP_genes,[],[],[],[],[],[],[],['rapK' 'hpf' 'yxiO' 'ydjN' 'phrK'],['yycQ' 'yjdB' 'yurI' 'ydjM' 'yycO' 'yycP'],[],[],[],[],[],[],[],[],[],[],[]
