,A,CcpA,PhoP,TnrA,Spx,ComA,Abh,SigA,CodY,PerR
R2,,0.25370919194042796,0.23091027762407312,0.12384446722429598,0.10439338323391167,0.063529349978512,0.04364539205960516,0.04102240929805223,0.01825499503055028,0.017712670751961257
xmin,,9.9242,9.0352,7.8426,12.3397,8.0124,9.8852,10.6334,10.4476,10.8308
xmid,,,,,,13.104897969501947,,,,13.795896890842842
xmax,,14.2719,15.1638,14.3757,16.4711,13.8501,14.9425,14.8203,15.0188,15.2945
ystart,,12.450553641548211,-6.232576234749068,-3.0913217679414053,-2.8946552224364197,2.356276565405551,5.494765524619876,8.486109734236859,6.233047268831083,2.542487866486617
yend,,-3.2643710905887104,12.02459659858193,11.732333884243062,7.986607553721441,14.241622318991801,-0.48464254575498344,0.019030976460580717,0.6858383904241663,7.024202036812213
LBexp_1,-3.3068115011,13.797,11.9383,9.7548,14.3859,12.6428,14.8847,13.9229,13.9905,12.588799999999999
LBexp_2,-2.7315945150000003,13.1615,12.0364,10.2473,15.3592,12.7101,14.9425,13.6986,13.9023,13.3853
LBexp_3,-3.1324071165,12.7059,11.5358,9.6129,14.9727,12.3361,14.7857,13.5366,13.6442,13.0415
LBtran_1,4.5270837791,12.5493,14.4076,11.0498,15.5098,12.2895,13.1201,13.5861,11.2128,14.2527
LBtran_2,3.204794514,12.3574,13.3857,10.1692,15.3435,11.8204,13.9076,13.6947,12.8546,13.8758
LBtran_3,1.4867400964000002,12.2857,13.0809,9.5051,15.3872,11.9937,13.9333,13.6814,13.2594,14.003
LBstat_1,6.7299630336,12.0787,13.4627,10.5426,15.4883,12.9236,11.6282,13.746,14.4019,13.6892
LBstat_2,7.075471485,11.5717,12.8477,10.0035,15.0865,12.5427,11.2824,13.8294,14.4324,13.4588
LBstat_3,6.8473595058,11.3853,13.0773,9.802,14.8934,12.1911,10.7408,13.7637,14.2735,13.2822
LBGexp_1,0.3004284961,13.3582,11.2985,9.1402,14.0234,12.3433,14.6714,14.0966,14.3469,12.9293
LBGexp_2,-1.5659788642999999,13.1662,11.6045,9.5952,14.4146,12.5418,14.8621,13.9632,13.8316,12.909
LBGexp_3,-2.1462977185,13.3967,11.1862,8.9451,14.5814,12.4425,14.8677,14.2782,14.4358,12.7646
LBGtran_2,0.2388441623,12.3418,11.8554,9.2633,14.4164,11.8642,13.4444,13.6213,13.3598,12.9233
LBGtran_3,0.6883795248,13.0045,12.5182,9.3078,14.8676,12.4718,14.3086,13.9309,13.7671,13.8764
LBGstat_1,5.200085153,11.3051,10.9838,7.8693,12.8183,9.4377,12.7445,13.8958,14.6161,12.4908
LBGstat_2,8.4463901044,10.6981,10.4194,7.8426,13.537,9.1289,12.1752,13.2182,13.3261,12.7251
LBGstat_3,3.0464806988,11.2644,11.4899,8.6751,13.211,10.7063,12.0485,12.9318,13.732,12.527
S0_1,13.001026887,12.6449,11.9092,12.1588,14.5469,12.0298,12.747,13.7975,13.8856,11.6074
S0_2,9.2637889944,12.6027,11.8755,12.1555,14.2439,12.09,12.9473,13.5336,13.9526,12.0399
S0_3,10.7869405067,12.4492,12.4533,12.1433,14.4254,12.0598,12.8102,13.7362,14.1331,12.1735
S1_1,9.735562807800001,13.2494,13.231,11.708,14.6397,13.3622,12.7385,14.1328,13.3919,11.9418
S1_2,10.8938567163,13.0213,13.3387,11.8747,14.4222,13.3993,12.6438,14.2092,13.2397,11.9758
S1_3,8.9027221413,13.0393,13.6179,11.8722,14.3618,13.6692,12.688,14.064,13.3889,12.1337
S2_1,17.5588277113,12.0649,12.1553,11.4386,14.663,13.8501,11.0799,12.1327,13.3442,11.763
S2_2,17.8169176928,12.0151,12.2381,10.8028,14.4541,13.6955,10.938,12.2083,12.8932,11.8345
S2_3,18.8949862675,11.854,12.1413,10.6251,14.8721,13.5262,10.7004,11.9224,13.2642,12.1235
S3_1,14.6927300212,11.9803,13.8684,11.5181,14.0928,13.7198,10.4247,13.7874,14.6173,11.9915
S3_2,14.8770157561,12.2435,14.0433,11.7173,13.5981,13.6582,10.6009,12.9115,14.2788,12.1575
S4_1,13.5200582701,12.717600000000001,14.2989,11.4865,14.4568,13.6216,10.5715,13.3174,14.56,11.973
S4_2,15.2730292306,12.1507,13.9814,10.9294,14.7581,13.2879,10.5094,13.6235,14.4249,11.9758
S4_3,15.3389853723,11.9571,13.6651,10.4841,14.5754,12.7223,10.5037,13.5395,14.4157,11.6809
S5_1,11.999954384,12.3901,13.8701,11.1827,14.6617,13.0137,10.2686,13.9484,14.1253,11.5954
S5_2,14.2049038616,12.7341,14.2978,11.7726,15.2201,13.0867,11.0372,14.1419,14.4036,11.9037
S5_3,11.706941502,12.5828,14.2916,11.5689,14.841,13.3034,10.9599,13.9735,14.4665,12.1622
S6_1,12.7743743688,11.6917,13.4664,10.3084,14.7789,11.5183,10.8082,14.1058,13.9195,11.7931
S6_2,1.1624096361,10.8814,12.4532,9.3347,16.2588,8.2343,12.2479,14.8051,11.8782,12.1002
S6_3,12.8250006937,11.6091,13.3896,10.2414,14.7971,12.3736,11.1711,13.7208,13.9144,11.2081
S6/t_1,12.2058985289,11.5769,13.2178,10.4181,14.4739,11.2503,10.6814,14.058,13.5507,11.3398
S6/t_2,-1.3307159965,10.5646,11.4977,8.6925,15.6633,8.0124,11.0748,14.1715,11.597,11.6715
S6_4,10.8508590111,11.4914,12.2265,9.8818,13.9966,11.6517,10.388,13.8429,13.3404,10.8308
S6_5,11.8536191729,11.9513,12.8766,10.2057,14.6885,12.295,11.0363,14.2173,13.7412,11.5627
S6_6,12.3793860515,12.376,12.9764,10.2612,14.6545,12.4169,10.7262,14.1053,13.975,11.515
S7_4,8.7515795391,11.8847,12.7495,10.6665,14.6759,12.1652,10.8811,13.8537,13.5006,11.6382
S7_5,8.7175778956,11.6243,12.6442,10.6123,14.5549,11.541,10.8422,13.728,13.1636,11.3662
S7_6,7.7618984672,11.788,12.5797,10.4394,14.3942,11.9797,10.549,13.6696,13.5133,11.5772
S8_4,7.9867302374,11.1753,12.1832,10.2677,14.1733,11.574,10.3923,13.1727,12.7485,11.2551
S8_5,-3.5571713286,10.9266,11.7989,10.2335,15.4561,9.3252,11.6382,13.7501,12.086,11.9626
G135_1,-7.2900509642,13.2791,10.823,9.5542,13.7276,11.5024,12.4948,14.5319,14.5718,12.9157
G135_3,-8.7476331195,11.7413,9.0362,8.5803,12.3397,9.8736,10.8696,12.9564,12.8517,11.6028
G150_1,-4.3223069959,13.3299,11.0348,8.9828,13.1369,11.565,12.821,13.5516,13.7143,12.2658
G150_2,-2.0228178492,13.6925,11.2902,9.7798,13.8588,12.0608,13.6143,14.3711,14.4415,12.7589
G150_3,-2.5763305786,13.8904,11.3412,9.292300000000001,13.1911,11.7587,12.868500000000001,14.2475,14.3732,12.206
G180_1,-10.9559248208,13.2516,10.677,9.581,13.3452,11.7767,13.2191,14.2981,14.2263,12.1265
G180_2,-10.246994172600001,13.6539,11.041,9.9321,13.7344,12.1696,13.5384,14.6324,14.5368,12.2285
G180_3,-12.2300644709,12.6262,9.8904,9.0395,12.6975,11.0707,12.6659,13.5078,13.6664,12.2877
C30_1,-11.4451935286,12.5675,10.2917,10.0344,13.39,11.2504,11.3568,13.9429,13.97,13.3484
C30_2,-10.5135720075,12.8053,10.4946,10.0009,13.4533,11.3674,11.4333,13.9782,14.388,13.7505
C90_1,4.5123089228,12.6199,12.2744,10.8288,15.3416,11.792,13.4215,13.9492,12.6686,14.7294
C90_2,4.7964508669,12.8766,12.6136,11.156,15.3268,11.8946,13.6311,14.0178,12.7106,14.7902
BI_1,5.592926339,13.2898,12.7591,10.7586,15.1171,12.0803,12.5415,13.9966,13.5454,14.5068
BI_2,4.8754805628,13.2832,12.9042,10.6147,15.2693,12.2878,12.8297,14.2096,13.7254,14.5531
BC_2,11.213015245,12.6386,13.2073,11.8241,15.7866,12.7223,13.2205,14.5882,12.6714,15.1138
BC/t_1,14.5396583726,12.3724,12.471,11.1348,15.54,11.4517,12.7362,14.4731,12.6095,14.7815
BC/t_2,11.3192275053,12.4993,12.9243,11.8819,15.8889,12.3861,13.5216,14.5832,12.6049,15.046
BC_1,12.4667444077,12.1312,12.543800000000001,10.9988,15.3839,11.4055,12.604800000000001,14.0031,12.3198,14.416
Sw_1,9.8181531512,12.4131,11.9656,10.3034,16.2335,9.8993,12.188,14.5375,12.3203,14.5904
Sw_2,8.0537408199,12.7188,12.6522,10.5531,16.1335,10.6623,12.1028,14.5394,12.6832,14.8785
BT_1,15.2846485374,10.9107,11.7113,12.2585,15.2842,11.1138,12.4464,14.0683,14.2113,12.3693
BT_2,14.1761839374,10.5779,10.7939,11.5416,14.6074,10.5222,12.2659,13.4581,13.6894,11.898
B36_1,10.1348436929,10.7933,12.2607,8.927,16.4186,9.7955,12.9329,13.5848,13.9315,12.7067
B36_2,11.5726923446,11.1482,12.0409,9.0451,15.9535,10.096,12.7049,13.206,13.6552,12.270199999999999
B60_1,7.2328491513,10.6665,12.7677,9.7432,16.4711,10.6969,13.1997,12.6109,13.2609,12.7386
B60_2,7.957427862,10.8283,12.8649,11.1647,16.4578,11.538499999999999,13.1222,12.0737,12.7768,12.8705
M9exp_1,0.1955178913,13.6424,12.0491,10.8527,14.5747,12.8864,12.1948,13.9416,13.6188,12.0594
M9exp_2,-0.5937215382000001,13.2049,11.7419,10.5916,14.2051,12.5904,11.894400000000001,13.5344,13.1838,11.787
M9exp_3,0.39820364680000003,12.9817,11.5667,10.3151,13.9945,12.4445,11.4894,12.9987,13.0586,11.6808
M9tran_1,6.1348671953,12.4146,11.8588,10.252,13.8328,12.3464,11.2504,12.9718,13.1631,11.8638
M9tran_2,7.2797187613,12.4707,11.8419,10.4915,14.2405,12.3215,11.2507,12.9986,13.5347,11.4766
M9tran_3,6.9108293454,12.7632,11.9373,10.7395,14.0304,12.5121,11.4573,13.2089,13.0523,11.7307
M9stat_1,10.7527110427,10.364,13.4952,10.0901,14.3142,10.8533,12.0889,11.1238,11.809,11.2755
M9stat_2,8.1931807937,10.1983,13.2129,9.8405,15.2206,10.5059,11.6215,10.8989,10.7569,11.9764
M9stat_3,9.5062577905,9.9242,13.2118,9.7346,15.0584,10.368,11.3582,10.6334,10.4476,11.5847
