,yneH
Cr_1,-0.001443925297672545
Cr_2,-0.009075616089727723
Cr_3,-0.014542121473213172
Cr_4,-0.015049469113825781
Cr_5,-0.011748082732984092
Cr_6,-0.00308620434265367
Fe_1,-0.02946409412190538
Fe_2,-0.05039854980132859
Fe_3,-0.056146980189665234
Fe_4,-0.06676938490124193
Fe_5,-0.059239225290739474
Fe_6,-0.05687795064583295
Cd_1,0.0020342065116435667
Cd_2,0.003988636902820953
Cd_3,0.011891331647980685
Cd_4,0.01943651446654314
Cd_5,0.01861650208579389
Cd_6,0.02252090768770017
Zn_1,-0.008556683510175056
Zn_2,-0.02108597700904928
Zn_3,-0.007804766326104641
Zn_4,0.0067745171716455535
Zn_5,0.008913882443365023
Zn_6,0.007252613416740405
Cu_1,0.003055587064876849
Cu_2,0.011570391302524428
Cu_3,0.01930246520765166
Cu_4,0.022003209652635698
Cu_5,0.02722609837756968
Cu_6,0.033705712121610165
Pb_1,-0.0001016879916923966
Pb_2,0.010257729022563531
Pb_3,0.03208991922017075
Pb_4,0.0421651329645272
Pb_5,0.060772553031821275
Pb_6,0.0768938849075838
