,condition,A_avg,A_std,n,rep1_idx,rep1_A,rep2_idx,rep2_A,rep3_idx,rep3_A,rep4_idx,rep4_A,rep5_idx,rep5_A,rep6_idx,rep6_A,rep7_idx,rep7_A,rep8_idx,rep8_A,rep9_idx,rep9_A,rep10_idx,rep10_A,rep11_idx,rep11_A,rep12_idx,rep12_A,rep13_idx,rep13_A,rep14_idx,rep14_A
0,algU_regulon__empty_vector,0.0,0.9697870962775158,3.0,0.0,1.0573624975,2.0,-0.2093453382,4.0,-0.8480171593,,,,,,,,,,,,,,,,,,,,,,
1,algU_regulon__algU_overexpression,-0.5419503368333333,0.8038987171734765,3.0,1.0,-1.359103159,3.0,0.2480039661,5.0,-0.5147518176,,,,,,,,,,,,,,,,,,,,,,
2,co_culture__c_viol_40,-8.29970722815,1.2552582254831808,4.0,6.0,-8.1113875713,20.0,-7.6913102401,40.0,-7.2831398028,63.0,-10.1129912984,,,,,,,,,,,,,,,,,,,,
3,co_culture__c_viol_12.5,-5.179359764425,0.6283608645505441,4.0,7.0,-5.480257191,33.0,-5.9083303173,81.0,-4.7914312322,82.0,-4.5374203172000005,,,,,,,,,,,,,,,,,,,,
4,co_culture__b_thai_30,-14.128147421425,2.8826041571991086,4.0,8.0,-13.0571826815,51.0,-17.2504930263,65.0,-15.5446006072,76.0,-10.6603133707,,,,,,,,,,,,,,,,,,,,
5,co_culture__b_thai_25,-11.122808093400002,4.435130636106673,3.0,9.0,-9.2388565333,22.0,-7.9406562507,49.0,-16.1889114962,,,,,,,,,,,,,,,,,,,,,,
6,co_culture__mono_30,-0.4085293754,0.04851338158918033,2.0,10.0,-0.3742252343,26.0,-0.4428335165,,,,,,,,,,,,,,,,,,,,,,,,
7,co_culture__b_thai_12.5,-4.283054459666666,3.1716512911877786,3.0,11.0,-3.5045817217,54.0,-1.5731204461,83.0,-7.7714612112,,,,,,,,,,,,,,,,,,,,,,
8,co_culture__b_thai_35,-16.51894593605,1.929415749081009,4.0,12.0,-16.6458942279,48.0,-18.455476921,64.0,-17.1108894427,78.0,-13.8635231526,,,,,,,,,,,,,,,,,,,,
9,co_culture__mono_25,-0.62674935535,0.3977070132201504,4.0,13.0,-0.3722047626,38.0,-0.6973994287,67.0,-1.1590485342,72.0,-0.2783446959,,,,,,,,,,,,,,,,,,,,
