,A,PSPTO_3698
R2,,0.5687632076541376
xmin,,-2.4047561584
xmid,,
xmax,,1.0514287522
ystart,,-21.958948158602443
yend,,6.6088110036621535
algU_regulon__empty_vector__1.0,1.0573624975,0.41585421980000004
algU_regulon__algU_overexpression__1.0,-1.359103159,0.1244153301
algU_regulon__empty_vector__2.0,-0.2093453382,-0.3202283267
algU_regulon__algU_overexpression__2.0,0.2480039661,0.6582674868
algU_regulon__empty_vector__3.0,-0.8480171593,-0.0956258931
algU_regulon__algU_overexpression__3.0,-0.5147518176,0.1745916438
co_culture__c_viol_40__1.0,-8.1113875713,-0.0443864027
co_culture__c_viol_12.5__1.0,-5.480257191,0.0512698929
co_culture__b_thai_30__1.0,-13.0571826815,-1.0555544138
co_culture__b_thai_25__1.0,-9.2388565333,-1.0812115464
co_culture__mono_30__1.0,-0.3742252343,-0.19709452460000002
co_culture__b_thai_12.5__1.0,-3.5045817217,0.3891035605
co_culture__b_thai_35__1.0,-16.6458942279,-2.0197546361
co_culture__mono_25__1.0,-0.3722047626,0.040662919000000006
co_culture__c_viol_30__1.0,-7.066353647,-0.3370222053
co_culture__c_viol_35__1.0,-7.7364308779,-0.3008082794
co_culture__b_thai_40__1.0,-16.8711735566,-1.3442248899
co_culture__b_thai_45__1.0,-17.2011142546,-1.4357510137
co_culture__b_thai_c_viol_40__1.0,-24.1726758649,-1.1090911817
co_culture__mono_35__1.0,-0.8899274774,0.2752727048
co_culture__c_viol_40__2.0,-7.6913102401,-0.0868850469
co_culture__b_thai_c_viol_45__1.0,-24.4027519345,-1.7189663193
co_culture__b_thai_25__2.0,-7.9406562507,-0.9614305474
co_culture__c_viol_25__1.0,-7.5653351738,-0.5185929061
co_culture__mono_45__1.0,-1.382331762,0.1788426665
co_culture__b_thai_c_viol_40__2.0,-24.6333371842,-2.0872516133
co_culture__mono_30__2.0,-0.4428335165,-0.1034100835
co_culture__mono_40__1.0,-1.5175900631,0.1585943321
co_culture__mono_35__2.0,-1.6760680854999999,0.6818543862
co_culture__mono_45__2.0,-1.4207851561,0.0203636816
co_culture__b_thai_c_viol_35__1.0,-22.8768743348,-1.1824816723
co_culture__mono_40__2.0,-1.0243316338,0.300859611
co_culture__b_thai_c_viol_35__2.0,-24.2580628243,-1.6942207492999999
co_culture__c_viol_12.5__2.0,-5.9083303173,0.0678710587
co_culture__b_thai_c_viol_45__2.0,-23.7407650566,-1.8174857627
co_culture__b_thai_c_viol_25__1.0,-21.1158083563,-1.7030509821000002
co_culture__b_thai_c_viol_30__1.0,-23.3670477927,-1.4674366016
co_culture__mono_12.5__1.0,-0.1349126715,0.20626363860000002
co_culture__mono_25__2.0,-0.6973994287,0.1667168698
co_culture__c_viol_45__1.0,-7.9063654845,0.0709597201
co_culture__c_viol_40__3.0,-7.2831398028,0.37641220540000003
co_culture__c_viol_30__2.0,-7.2296694568,-0.0781901567
co_culture__c_viol_25__2.0,-8.25028516,-0.1194775857
co_culture__c_viol_45__2.0,-8.0235105081,0.1382295948
co_culture__b_thai_c_viol_30__2.0,-23.2484254569,-1.5888864146000001
co_culture__b_thai_c_viol_45__3.0,-24.691523425,-1.4861217429
co_culture__mono_12.5__2.0,-0.0614510637,-0.0877808734
co_culture__b_thai_c_viol_12.5__1.0,-6.309660609,-0.7942938722
co_culture__b_thai_35__2.0,-18.455476921,-1.7302170232
co_culture__b_thai_25__3.0,-16.1889114962,-0.3758452145
co_culture__b_thai_45__2.0,-19.626048523,-1.8223129678
co_culture__b_thai_30__2.0,-17.2504930263,-1.2769762938
co_culture__c_viol_35__2.0,-7.6022212802,-0.1348272932
co_culture__b_thai_40__2.0,-18.8826946123,-2.4047561584
co_culture__b_thai_12.5__2.0,-1.5731204461,0.4349450516
co_culture__b_thai_c_viol_12.5__2.0,-7.9071040948,-0.38282983740000004
co_culture__mono_35__3.0,-1.6757264019,0.6597215769
co_culture__mono_12.5__3.0,0.3454483443,-0.0234891126
co_culture__b_thai_c_viol_45__4.0,-23.856253422400002,-1.860911945
co_culture__b_thai_c_viol_35__3.0,-23.6514695575,-1.3843879941
co_culture__b_thai_c_viol_30__3.0,-22.011912001,-0.6756275481
co_culture__b_thai_c_viol_30__4.0,-20.4367899551,-0.35995401800000004
co_culture__b_thai_c_viol_40__3.0,-23.0505211992,-2.2662595555
co_culture__c_viol_40__4.0,-10.1129912984,0.3637426614
co_culture__b_thai_35__3.0,-17.1108894427,-1.8665656659
co_culture__b_thai_30__3.0,-15.5446006072,-1.2774455274
