,-0.22564062741666668,-0.19909467125000002,-0.17254871508333336,-0.1460027589166667,-0.11945680275000004,-0.09291084658333337,-0.06636489041666671,-0.03981893425000005,-0.013272978083333387,0.013272978083333276,0.03981893424999994,0.0663648904166666,0.09291084658333326,0.11945680274999992,0.1460027589166666,0.17254871508333325,0.1990946712499999,0.22564062741666657,0.25218658358333323,0.2787325397499999
thresh,-0.0796378685,0.0796378685,2,,,,,,,,,,,,,,,,,
unreg,1,1,0,1,3,3,7,77,2811,2927,70,1,0,0,0,0,0,0,0,0
PSPTO_3698,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0
unreg_genes,['fdhD'],['PSPTO_5407'],[],['moaA'],['PSPTO_3237' 'cysI' 'PSPTO_2729'],['PSPTO_RS14105' 'fnr-1' 'PSPTO_1824'],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
PSPTO_3698_genes,[],[],[],[],[],[],[],[],[],[],[],['guaD'],['xdhC'],[],[],['xdhB'],[],['xdhA'],[],[]
