,condition,A_avg,A_std,n,rep1_idx,rep1_A,rep2_idx,rep2_A,rep3_idx,rep3_A,rep4_idx,rep4_A,rep5_idx,rep5_A,rep6_idx,rep6_A,rep7_idx,rep7_A,rep8_idx,rep8_A,rep9_idx,rep9_A,rep10_idx,rep10_A,rep11_idx,rep11_A,rep12_idx,rep12_A,rep13_idx,rep13_A,rep14_idx,rep14_A,rep15_idx,rep15_A,rep16_idx,rep16_A,rep17_idx,rep17_A,rep18_idx,rep18_A,rep19_idx,rep19_A,rep20_idx,rep20_A,rep21_idx,rep21_A
0,ME_vs_LE__THY_None_WT_earlylog-planktonic,0.0,4.886852108184596,3.0,0.0,3.7261846748,1.0,-5.5329675879,2.0,1.8067829131000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,ME_vs_LE__THY_None_WT_latelog-planktonic,-1.0834136538333332,1.0897315797607978,3.0,3.0,-1.7055095433,4.0,-1.7196050897,5.0,0.1748736715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,ME_vs_LE__THY_None_WT_earlystationary-planktonic,-3.609396059133333,0.1521666700933087,3.0,6.0,-3.4363949575,7.0,-3.7224984823,8.0,-3.6692947376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,ME_vs_S__THY_None_WT_mid-exponential_OD1.0,-1.057355261547768e-17,1.2945248636295192,21.0,9.0,-1.5990584044,10.0,0.46116824900000003,11.0,1.5204763278,12.0,0.3461445207,13.0,0.6134561597,14.0,0.07995533440000001,15.0,-0.0533249213,16.0,2.2388712945,17.0,2.1089542197,18.0,-2.0318475897,19.0,-0.7783135848,20.0,2.0382092081,21.0,-0.4039123698,22.0,-0.1101369412,23.0,-1.1946900022,24.0,-1.5692028960000002,25.0,-0.6698310350000001,26.0,-2.0557564053,27.0,-0.2003202926,28.0,0.5676966895000001,29.0,0.6914624389
4,ME_vs_S__THY_None_WT_early-stationary_OD1.8,-6.323753989290476,1.0956307898000197,21.0,30.0,-5.6679140656,31.0,-6.8526598687,32.0,-5.9370736945,33.0,-5.837803157,34.0,-6.4510189294,35.0,-7.8928022189,36.0,-6.8316052063,37.0,-7.3917394051,38.0,-5.9603989287,39.0,-4.8791894883,40.0,-3.3242216335,41.0,-6.2857163003,42.0,-5.7004379239,43.0,-6.8514962487,44.0,-5.3936120321,45.0,-7.2946574276,46.0,-7.6537593257,47.0,-5.8747899482,48.0,-7.6567338019,49.0,-7.3997417193,50.0,-5.6614624514
5,WT_vs_Del_ccpA__THY_None_WT_exponential,2.7755575615628914e-17,1.1458902357222431,3.0,51.0,1.0284771568,52.0,-1.2351688702999999,53.0,0.2066917135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,WT_vs_Del_ccpA__THY_None_Del-ccpA_exponential,-5.02322200795,8.35400290218861,4.0,54.0,-17.4309055979,55.0,0.4306195635,56.0,-0.6816813987,57.0,-2.4109205987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,WT_vs_Del_covR__THY_None_WT_late-exponential,0.0,0.11052571503827366,4.0,58.0,-0.0481290911,59.0,0.1333571056,60.0,0.0377457053,61.0,-0.1229737198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,WT_vs_Del_covR__THY_None_covR-D53A_late-exponential,-0.144228984725,0.2378053228415183,4.0,62.0,0.17617193690000002,63.0,-0.1550676677,64.0,-0.2016306984,65.0,-0.39638950970000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,WT_vs_Del_covR__THY_None_covS-E281A_late-exponential,-0.21269754454999998,0.6144957714432203,4.0,66.0,-1.1126829982,67.0,0.2019686404,68.0,-0.0987350379,69.0,0.1586592175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,WT_vs_Del_covR__THY_None_covS-T284A_late-exponential,-0.05992433670000001,0.23565082256150965,4.0,70.0,-0.11012350030000001,71.0,0.2640415572,72.0,-0.09277414290000001,73.0,-0.3008412608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,WT_vs_Del_dahA__THY_None_WT_mid-exponential,1.6666964105146082e-11,9.634096074807028,6.0,74.0,8.8820669024,75.0,7.9404849913,76.0,7.6766454592,86.0,-1.8381501772000002,88.0,-10.0924988688,90.0,-12.5685483068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,WT_vs_Del_dahA__THY_None_WT_early-stationary,-0.9189497719666666,4.873550507388022,6.0,77.0,3.7555626965,78.0,3.2560663569,79.0,3.5285849154999998,87.0,-4.7449353823,89.0,-5.3333504757,91.0,-5.9756267427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,WT_vs_Del_dahA__THY_None_Del_dahA_mid-exponential,-5.8964012725,5.280507306742272,3.0,80.0,-4.4802318324,82.0,-11.7405940039,84.0,-1.4683779812,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,WT_vs_Del_dahA__THY_None_Del_dahA_early-stationary,-8.2738439825,1.203565570851209,3.0,81.0,-9.6547061499,83.0,-7.4474539369,85.0,-7.7193718607,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,WT_vs_Del_fabT__THY_35°C_WT_mid-exponential_OD1.0,0.0,0.5164063004772369,3.0,92.0,-0.3135655939,93.0,0.5960241098,94.0,-0.2824585159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,WT_vs_Del_fabT__THY_35°C_Del_fabT_mid-exponential_OD1.0,0.34256194926666667,0.7541499709981259,3.0,95.0,-0.5237870086,96.0,0.8520370911,97.0,0.6994357653000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,WT_vs_Del_fabT__THY_40°C_WT_mid-exponential_OD1.0,-0.4806158392666666,0.42518732728874425,3.0,98.0,-0.5223768109,99.0,-0.0360889452,100.0,-0.8833817617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,WT_vs_Del_fabT__THY_40°C_Del_fabT_mid-exponential_OD1.0,-0.44497438100000003,0.4876719508271265,3.0,101.0,-1.0079299123,102.0,-0.1518891196,103.0,-0.17510411110000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,WT_vs_Del_fabT__THY_35°C_WT_stationary,-4.407868352366666,0.7170109514014057,3.0,104.0,-5.1705431552,105.0,-4.3055471929,106.0,-3.747514709,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,WT_vs_Del_fabT__THY_35°C_Del_fabT_stationary,-4.987540615566666,0.39310284157363884,3.0,107.0,-5.3256342314000005,108.0,-4.5561974595,109.0,-5.0807901558,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,WT_vs_Del_fabT__THY_40°C_WT_stationary,-4.3281040482,0.3029911966745255,3.0,110.0,-4.1896415685,111.0,-4.6755883591,112.0,-4.119082217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,WT_vs_Del_fabT__THY_40°C_Del_fabT_stationary,-6.669086894766667,0.8624582349199417,3.0,113.0,-7.6636285258,114.0,-6.2165308988,115.0,-6.1271012597,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
