,-0.10994338072666668,-0.09423718348000001,-0.07853098623333335,-0.06282478898666669,-0.04711859174000002,-0.03141239449333336,-0.015706197246666692,-2.7755575615628914e-17,0.015706197246666637,0.0314123944933333,0.047118591739999965,0.06282478898666663,0.0785309862333333,0.09423718347999996,0.10994338072666662,0.1256495779733333,0.14135577521999995,0.15706197246666662,0.17276816971333328,0.18847436695999994
thresh,-0.11779647935000001,0.11779647935000001,1,,,,,,,,,,,,,,,,,
unreg,0,1,7,10,37,141,402,602,311,139,38,18,7,2,3,2,2,0,1,0
unreg_genes,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],['rpmB' 'secE'],['salA' 'rpsT'],[],['rpsU'],[]
