,dusB
Cr_1,0.010385889184601435
Cr_2,0.028149028249846712
Cr_3,0.03812055865387785
Cr_4,0.044684983324308016
Cr_5,0.045720147200479136
Cr_6,0.05356722366379217
Fe_1,-0.031010519616368713
Fe_2,0.01507437381175901
Fe_3,0.10343779104619953
Fe_4,0.14993433384141014
Fe_5,0.18596160743189669
Fe_6,0.21744577205884294
Cd_1,-0.0025638385357357623
Cd_2,-0.002740881619494516
Cd_3,0.007668664774210461
Cd_4,0.02559444855351812
Cd_5,0.03899077250878736
Cd_6,0.0524128203801067
Zn_1,0.02121427117991376
Zn_2,0.05464397159507521
Zn_3,0.08849272828078256
Zn_4,0.0994436921828249
Zn_5,0.0946466077836684
Zn_6,0.08352662642254294
Cu_1,0.002694050355598868
Cu_2,0.01244983117876815
Cu_3,0.02373157880016246
Cu_4,0.03159556860104787
Cu_5,0.03730983889512865
Cu_6,0.041973053640265885
Pb_1,0.01181574465567333
Pb_2,0.020289568164764408
Pb_3,0.034010210040149064
Pb_4,0.049420367724836364
Pb_5,0.055352342526095374
Pb_6,0.06469744012652456
