,yidX
Cr_1,0.009031450363494372
Cr_2,-0.00043901465553496593
Cr_3,-0.001050785299079151
Cr_4,0.012528792546228644
Cr_5,0.03352138762915028
Cr_6,0.047279120765180656
Fe_1,-0.022855877748660047
Fe_2,-0.05175700746111575
Fe_3,-0.07541125345733844
Fe_4,-0.09860655517838143
Fe_5,-0.11696332745419227
Fe_6,-0.1366160860733128
Cd_1,0.019609883525549186
Cd_2,0.041954507429766655
Cd_3,0.07576464390388626
Cd_4,0.11933039469745314
Cd_5,0.16998679109008938
Cd_6,0.23241424108357614
Zn_1,0.007533352534132248
Zn_2,-0.008085702874002778
Zn_3,0.05168912035569614
Zn_4,0.1072353014611776
Zn_5,0.129898829787243
Zn_6,0.1474799348712442
Cu_1,0.003090636132864069
Cu_2,0.009752360505059815
Cu_3,0.01907345332397549
Cu_4,0.02535851694226221
Cu_5,0.031057365341231692
Cu_6,0.03649481683871855
Pb_1,0.012210724829766637
Pb_2,0.01018295206615842
Pb_3,0.01871926373015914
Pb_4,0.03491330605587749
Pb_5,0.04577032427052994
Pb_6,0.06440458763954579
