,yagI
Cr_1,0.015346584810319997
Cr_2,0.021506899388037428
Cr_3,0.015008369557192825
Cr_4,0.011088372836284464
Cr_5,-0.00263185286479257
Cr_6,-0.02305121592287179
Fe_1,-0.023568936812049846
Fe_2,-0.009661482788849669
Fe_3,0.04371127434817662
Fe_4,0.0989849247478591
Fe_5,0.1459696186265183
Fe_6,0.1922536730478225
Cd_1,0.002378923243277737
Cd_2,0.0026106150283523076
Cd_3,0.00135554596951825
Cd_4,0.003511963645412955
Cd_5,-0.00027062018076160047
Cd_6,-0.0005602574058209114
Zn_1,-0.009519771357996792
Zn_2,-0.004157672826789304
Zn_3,0.02129098075856921
Zn_4,0.04911172570091838
Zn_5,0.0845110543825598
Zn_6,0.10542257213322456
Cu_1,-0.002742298721577093
Cu_2,-0.0030506581719269297
Cu_3,0.002444009573896702
Cu_4,0.010986584221755745
Cu_5,0.018058132618112267
Cu_6,0.029606453167024024
Pb_1,0.014977832870529768
Pb_2,0.02749099900745287
Pb_3,0.051934922714312486
Pb_4,0.0813139303948042
Pb_5,0.09843726646275006
Pb_6,0.11390433737133507
