,mcrB
Cr_1,-0.00789497341790755
Cr_2,-0.015644714529765454
Cr_3,-0.026612553785125014
Cr_4,-0.0385945444010234
Cr_5,-0.0463004103238459
Cr_6,-0.058980989608097674
Fe_1,-0.006756000733761226
Fe_2,-0.02068473627447
Fe_3,-0.03926116269330993
Fe_4,-0.0600410741347234
Fe_5,-0.06970548232874685
Fe_6,-0.07488752825410452
Cd_1,0.0017707193925772344
Cd_2,0.008842644651210376
Cd_3,0.009463083449935584
Cd_4,0.010825116783957216
Cd_5,0.012375014982780128
Cd_6,0.015172894883351759
Zn_1,-0.0031938414075056475
Zn_2,-0.003959012185707036
Zn_3,0.004292704991390306
Zn_4,0.006120761397881626
Zn_5,0.010163909576868564
Zn_6,0.02147890538764781
Cu_1,-0.13553521773367866
Cu_2,-0.12538212217378272
Cu_3,-0.10639337873512653
Cu_4,0.43994613640039415
Cu_5,0.9457164567522056
Cu_6,1.1938388037061423
Pb_1,0.010490040894375531
Pb_2,0.03033508271522263
Pb_3,0.04565338843397783
Pb_4,0.06335740854797188
Pb_5,0.07722073385749575
Pb_6,0.09305295460130228
