,A,PsrA
R2,,0.4812153901579953
xmin,,-0.9152398559
xmid,,
xmax,,2.935372931
ystart,,-6.883771504873003
yend,,27.73848738895978
algU_regulon__empty_vector__1.0,-0.2131716781,0.0283230646
algU_regulon__algU_overexpression__1.0,2.7015327793,0.22668856850000002
algU_regulon__empty_vector__2.0,-0.5831879234,-0.2123955749
algU_regulon__algU_overexpression__2.0,2.2709520436,-0.24239566740000001
algU_regulon__empty_vector__3.0,0.7963596015000001,0.18407251030000002
algU_regulon__algU_overexpression__3.0,0.4709707536,0.1424771004
co_culture__c_viol_40__1.0,0.8857798143000001,0.6138884643
co_culture__c_viol_12.5__1.0,-0.82975678,-0.3037128469
co_culture__b_thai_30__1.0,17.9648580114,0.7904645268
co_culture__b_thai_25__1.0,14.1069822529,0.44724985310000004
co_culture__mono_30__1.0,4.4840548762,1.0538394684
co_culture__b_thai_12.5__1.0,7.9115140404,1.166422672
co_culture__b_thai_35__1.0,21.3685393369,0.9419716986000001
co_culture__mono_25__1.0,2.5259901545,0.7412349563
co_culture__c_viol_30__1.0,1.2439459065,0.2715216026
co_culture__c_viol_35__1.0,1.40148175,0.6907491669
co_culture__b_thai_40__1.0,22.5090077305,0.9481504228000001
co_culture__b_thai_45__1.0,21.2140433235,0.6105128781
co_culture__b_thai_c_viol_40__1.0,24.0970429115,1.3657486784000001
co_culture__mono_35__1.0,3.3628170486,0.6496410023
co_culture__c_viol_40__2.0,2.9497559175,1.0030729076
co_culture__b_thai_c_viol_45__1.0,25.5376650263,1.4885528654
co_culture__b_thai_25__2.0,11.8347010006,0.7114010828
co_culture__c_viol_25__1.0,-0.23066434200000002,0.1593609873
co_culture__mono_45__1.0,1.8941963966,0.7062170461
co_culture__b_thai_c_viol_40__2.0,15.8290990587,0.130371174
co_culture__mono_30__2.0,2.0227361589,0.7389653389
co_culture__mono_40__1.0,0.8565305521000001,0.6952785597000001
co_culture__mono_35__2.0,3.3896793922,0.7551172889000001
co_culture__mono_45__2.0,4.0129538513,0.8493091807
co_culture__b_thai_c_viol_35__1.0,16.6562236251,1.1734483078
co_culture__mono_40__2.0,2.0394415427,0.7004478423
co_culture__b_thai_c_viol_35__2.0,14.8307867146,0.1720968116
co_culture__c_viol_12.5__2.0,-0.700790637,-0.10990858190000001
co_culture__b_thai_c_viol_45__2.0,17.4365331788,0.3069605864
co_culture__b_thai_c_viol_25__1.0,13.3633728941,0.6486595267
co_culture__b_thai_c_viol_30__1.0,12.691468507,0.053809161
co_culture__mono_12.5__1.0,0.0649344411,0.058476568900000005
co_culture__mono_25__2.0,1.7314080087,0.6073382301
co_culture__c_viol_45__1.0,7.7411219868,1.3449977707
co_culture__c_viol_40__3.0,4.5711353733,0.9802295086
co_culture__c_viol_30__2.0,0.3686053832,0.3571188704
co_culture__c_viol_25__2.0,0.2056770316,0.2802176735
co_culture__c_viol_45__2.0,4.7592309103,1.1186946753
co_culture__b_thai_c_viol_30__2.0,12.3500196948,0.6038332663
co_culture__b_thai_c_viol_45__3.0,11.6758920405,-0.2172200984
co_culture__mono_12.5__2.0,0.44208957800000004,-0.0116041567
co_culture__b_thai_c_viol_12.5__1.0,3.8188319092,-0.0970684792
co_culture__b_thai_35__2.0,23.0141766208,1.5873508351
co_culture__b_thai_25__3.0,21.439768548,2.935372931
co_culture__b_thai_45__2.0,19.9454870846,0.5059811195
co_culture__b_thai_30__2.0,22.260584163,2.0892104254
co_culture__c_viol_35__2.0,1.6390731490000001,0.7224551734
co_culture__b_thai_40__2.0,21.0891788895,0.9534385081000001
co_culture__b_thai_12.5__2.0,4.4915578431,0.6559246628000001
co_culture__b_thai_c_viol_12.5__2.0,4.4286147089,-0.014779630600000001
co_culture__mono_35__3.0,4.2466882163,1.2492329848
co_culture__mono_12.5__3.0,-0.5071938519,-0.1649804355
co_culture__b_thai_c_viol_45__4.0,28.7961851507,1.3390354517
co_culture__b_thai_c_viol_35__3.0,20.7312075395,1.2208202358
co_culture__b_thai_c_viol_30__3.0,13.8313750438,1.0689272815
co_culture__b_thai_c_viol_30__4.0,12.4962619246,0.7388202441
co_culture__b_thai_c_viol_40__3.0,27.438184235,1.3977894367
co_culture__c_viol_40__4.0,2.8443583666,0.6597633598
co_culture__b_thai_35__3.0,14.6690861063,0.1431992598
co_culture__b_thai_30__3.0,15.4217058193,0.3975127055
co_culture__b_thai_45__3.0,17.5696553042,0.3140926672
co_culture__mono_25__3.0,3.1669332499,0.9777615434
co_culture__mono_45__3.0,4.7555871204999995,1.116618443
co_culture__mono_40__3.0,6.8335486908,1.4838077802
co_culture__c_viol_25__3.0,1.5777022926000002,0.231066033
co_culture__c_viol_35__3.0,1.9367219197,0.5242203403
co_culture__mono_25__4.0,2.5814386536000002,0.9602584738000001
co_culture__mono_35__4.0,2.8927637946,0.5824004639
co_culture__mono_45__4.0,8.8075932533,0.9195209999999999
co_culture__mono_40__4.0,2.4593456089,0.8134683947
co_culture__b_thai_30__4.0,20.3619273693,1.2361564316
co_culture__b_thai_40__3.0,29.3337593329,1.6156400289000001
co_culture__b_thai_35__4.0,25.6589075738,1.5836566247000001
co_culture__c_viol_25__4.0,0.2037220442,0.2974577261
co_culture__c_viol_35__4.0,2.009814966,0.7413370235000001
co_culture__c_viol_12.5__3.0,-0.6246557805,-0.2006428248
co_culture__c_viol_12.5__4.0,-0.34094663470000003,-0.16651857720000002
co_culture__b_thai_12.5__3.0,12.3310413495,1.9098534756
co_culture__mono_12.5__4.0,0.0001698328,0.1181080234
co_culture__c_viol_30__3.0,1.2906341951,0.3516607491
co_culture__b_thai_c_viol_35__4.0,12.3554785206,0.2883468612
immunity_2__WT_sid2__1.0,-0.4989381478,-0.0646493205
immunity_2__WT_pad4__1.0,-0.0037190644,0.32470417890000003
immunity_2__WT_PS__1.0,-0.8297714333,-0.0299246381
immunity_2__WT_sid2__2.0,-0.3084119289,0.029967454600000002
immunity_2__WT_pad4__2.0,-0.1560446447,0.26623661060000003
immunity_2__WT_PS__2.0,-0.792940882,0.12960529910000002
immunity_2__WT_sid2__3.0,0.8073500767,0.034681866
immunity_2__WT_pad4__3.0,-0.1387853226,0.5944714913
immunity_2__WT_PS__3.0,-0.9175218049,0.38747374360000003
immunity_in_vitro__WT_MM__1.0,0.036925481100000004,0.0504064183
immunity_in_vitro__WT_MM__2.0,0.6623368105,-0.1266302748
immunity_in_vitro__WT_MM__3.0,-0.9019225796,0.1795199525
immunity_in_vitro__WT_MM__4.0,0.2026602879,-0.10329609590000001
immunity_isolated__WT_DE__1.0,-1.8741620344,0.0062431547000000006
immunity_isolated__WT_DEPS__1.0,-0.8193832167,0.016336604
immunity_isolated__WT_WT__1.0,-0.0716866548,-0.3401732145
immunity_isolated__WT_npr1__1.0,-0.5168203832,-0.1106248301
immunity_isolated__WT_DE__2.0,0.3326628976,0.0650588111
immunity_isolated__WT_DEPS__2.0,-0.3343487013,0.0219165523
immunity_isolated__AvrRpt2_WT__1.0,0.060523318900000005,0.12358381500000001
immunity_isolated__AvrRpt2_npr1__1.0,0.8227570717,-0.2076395076
immunity_isolated__AvrRpt2_DE__1.0,0.8263905250000001,0.0470324494
immunity_isolated__AvrRpt2_DEPS__1.0,0.30873318110000003,0.09549692030000001
immunity_isolated__WT_WT__2.0,-1.069446686,-0.12011828540000001
immunity_isolated__WT_pad4__1.0,-1.2571829877,0.0448114318
immunity_isolated__WT_PS__1.0,-2.373799998,-0.343146595
immunity_isolated__AvrRpt2_WT__2.0,-0.2251761388,0.1638928931
immunity_isolated__AvrRpt2_sid2__1.0,-0.7990780247,-0.2421689093
immunity_isolated__AvrRpt2_pad4__1.0,-0.5012640642,-0.3643614826
immunity_isolated__AvrRpt2_PS__1.0,-1.4758086057,0.0975746643
immunity_isolated__WT_WT__3.0,0.6690375121000001,-0.4300927936
immunity_isolated__WT_sid2__1.0,1.3837370847,0.0227405086
immunity_isolated__WT_pad4__2.0,-0.92344571,-0.1240343314
immunity_isolated__WT_PS__2.0,1.1133789493,0.0699914242
immunity_isolated__AvrRpt2_WT__3.0,-0.15822660400000002,-0.5366588109
immunity_isolated__AvrRpt2_sid2__2.0,-0.11029674900000001,0.1776574472
immunity_isolated__AvrRpt2_pad4__2.0,0.9003295249000001,-0.344911583
immunity_isolated__AvrRpt2_PS__2.0,0.045211743400000004,-0.3263812102
immunity_isolated__WT_WT__4.0,-0.7835183809,0.1624221328
immunity_isolated__WT_npr1__2.0,-0.8379296508,-0.22325982600000002
immunity_isolated__AvrRpt2_WT__4.0,0.0793585774,0.2036757791
immunity_isolated__AvrRpt2_npr1__2.0,-0.3173491844,-0.2471984921
immunity_isolated__AvrRpt2_DE__2.0,0.3314503428,0.1760656146
immunity_isolated__WT_WT_mock__1.0,-0.4809644648,-0.18711798270000002
immunity_isolated__WT_WT__5.0,0.2329075977,0.1898941855
immunity_isolated__WT_SP__1.0,-0.7881204526000001,0.1263003594
immunity_isolated__AvrRpt2_b2b3__1.0,0.35190099280000003,0.2589998283
immunity_isolated__WT_WT__6.0,0.6012881699,0.0376953497
immunity_isolated__WT_SP__2.0,-0.41379472240000004,0.0773126851
immunity_isolated__AvrRpt2_WT__5.0,-0.49737772760000004,0.07355099600000001
