k,name,in_iM,gene_weight,regulator,function,category
6,Iron,False,-0.007105521792545914,,,
11,Chromium,False,-0.006930051324889064,,,
3,Cadmium,False,-0.005849024332128465,,,
10,Copper,False,-0.003905042719561607,,,
14,UC-7,False,-0.0023413944803178308,,,
7,Zinc - Steady,False,-0.001838577735470608,,,
4,UC-4,False,-0.001463434814941138,,,
2,UC-3,False,-0.0008956132031744346,,,
9,UC-5,False,-0.000819766648879544,,,
0,UC-1,False,0.0007674821611726657,,,
12,Zinc - Intermediate,False,0.000761887428549915,,,
1,UC-2,False,0.0007202206546207889,,,
13,UC-6,False,-0.00041479910927591843,,,
5,Lead,False,-6.699305820802693e-05,,,
8,Zinc - Fast,False,-4.416194962232112e-05,,,
